epoch_id,period,physical_state_sha256,gate,E,U,M,delta_E,delta_U,delta_M
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,G0_SPATIAL,11813,85,85,0,0,0
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,G1_PASSENGER,7129,52,52,4684,33,33
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,G2_STRUCTURAL,3027,19,19,4102,33,33
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,G3_EVIDENCE,1550,10,10,1477,9,9
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,TOPK_COMPRESSION,96,10,10,1454,0,0
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,ROUTE_RETURNED,96,10,10,0,0,0
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,G4_PATIENCE,3,1,1,93,9,9
1730,EVENING_PEAK,becbcfd46e6dc3040e3da73ac59d21bfcd98f1af2412dced2f031bbb7c6e07a7,G5_SOLVER,3,1,1,0,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,G0_SPATIAL,13462,94,94,0,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,G1_PASSENGER,9582,63,63,3880,31,31
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,G2_STRUCTURAL,4081,26,26,5501,37,37
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,G3_EVIDENCE,1815,12,12,2266,14,14
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,TOPK_COMPRESSION,109,12,12,1706,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,ROUTE_RETURNED,109,12,12,0,0,0
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,G4_PATIENCE,0,0,0,109,12,12
1800,EVENING_PEAK,b9ff74fb53c2605b56a7cbc861b242e18d8ee7ece82e7a130ffc4b3cd050e80d,G5_SOLVER,0,0,0,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,G0_SPATIAL,11162,80,80,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,G1_PASSENGER,7638,57,57,3524,23,23
