split,date,target,model,count,mae,rmse,pearson,spearman,history_recent_gate_mean
validation_model,20161022,pace_sec_per_m,horizon_gate,242193,0.030008870590314016,0.06559350708580113,0.5137537243170125,0.714989304080268,0.6923289005514539
validation_model,20161022,pace_sec_per_m,ordinary_concatenation,242193,0.029875902204159144,0.06521513105087065,0.5219779313536874,0.7157911935417478,0.5
validation_model,20161022,pace_sec_per_m,without_recent,242193,0.02995893082037934,0.0652717678642011,0.5200781852236891,0.7155184540343961,0.0
validation_model,20161022,pace_sec_per_m,without_profile,242193,0.03002394189891343,0.06511876061495862,0.5228240642974458,0.715638846181752,1.0
validation_model,20161023,pace_sec_per_m,horizon_gate,241839,0.027377667937775844,0.04878800578012983,0.6207662063741669,0.7265688014381936,0.6899631282785916
validation_model,20161023,pace_sec_per_m,ordinary_concatenation,241839,0.027284928756298243,0.048681111039365337,0.6230243698297084,0.7266224241754383,0.5
validation_model,20161023,pace_sec_per_m,without_recent,241839,0.027382696240950976,0.048520786842183576,0.6259446870517353,0.7261659682039875,0.0
validation_model,20161023,pace_sec_per_m,without_profile,241839,0.027502422720347756,0.048563554444251644,0.6252102678104466,0.7258250547618972,1.0
calibration,20161024,pace_sec_per_m,horizon_gate,237564,0.028532281723620607,0.057294612736335966,0.573197179925664,0.7273569142877966,0.6958947152533425
calibration,20161024,pace_sec_per_m,ordinary_concatenation,237564,0.028414267697501563,0.057506011120363666,0.5693317283654112,0.7277301885946579,0.5
calibration,20161024,pace_sec_per_m,without_recent,237564,0.028874232462660313,0.20269734921024218,0.4191577668903417,0.7270123735485784,0.0
calibration,20161024,pace_sec_per_m,without_profile,237564,0.030139172837279474,0.7929219622823281,0.3504168302758516,0.7275409850781,1.0
evaluation,20161025,pace_sec_per_m,horizon_gate,237553,0.029218353042954406,0.05678478955798526,0.5861293850393525,0.7305151225700807,0.6968979687731979
evaluation,20161025,pace_sec_per_m,ordinary_concatenation,237553,0.02911011329469033,0.057136950461079014,0.5798724469235779,0.7313821143444755,0.5
evaluation,20161025,pace_sec_per_m,without_recent,237553,0.08807359603686143,28.701332031657856,0.285979828651472,0.7304372785000045,0.0
evaluation,20161025,pace_sec_per_m,without_profile,237553,0.02930985430908583,0.06511537177579878,0.5717086698169002,0.7302089002137291,1.0
evaluation,20161026,pace_sec_per_m,horizon_gate,238711,0.028932272850859295,0.06336330294171957,0.5215393466492285,0.7271489259165314,0.6971761769758544
evaluation,20161026,pace_sec_per_m,ordinary_concatenation,238711,0.028776788241930088,0.06202952338809093,0.5480725224126058,0.7274396427133083,0.5
evaluation,20161026,pace_sec_per_m,without_recent,238711,0.19327836024016987,80.32051918018519,0.0022920300150128517,0.7270474377340144,0.0
evaluation,20161026,pace_sec_per_m,without_profile,238711,0.03194934451879466,1.4730060964068572,0.017249430894141903,0.7268695715146789,1.0
evaluation,20161027,pace_sec_per_m,horizon_gate,237196,0.028449521871894166,0.05190731024361401,0.6094353717464783,0.7343217580533883,0.6976919824632991
evaluation,20161027,pace_sec_per_m,ordinary_concatenation,237196,0.028351259581208734,0.05165367534244638,0.6145378767136187,0.7342389123906822,0.5
evaluation,20161027,pace_sec_per_m,without_recent,237196,0.02840619047731385,0.05117918905318144,0.6231016232983108,0.7340914765772919,0.0
evaluation,20161027,pace_sec_per_m,without_profile,237196,0.028513676050824246,0.054319708454672586,0.5714247698363648,0.7336793697622069,1.0
