split,date,left_model,right_model,left_minus_right_absolute_error,ci95,replicates,order_count
validation_model,20161022,rc_mstnet_v5_mean,hist_gradient_boosting,-0.0011003914455422438,"[-0.0011661483301473874, -0.0010439276328856801]",500,10000
validation_model,20161023,rc_mstnet_v5_mean,hist_gradient_boosting,-0.0012370344452096033,"[-0.0012875411996403786, -0.0011870276918768206]",500,10000
calibration,20161024,rc_mstnet_v5_mean,hist_gradient_boosting,-0.0011095536663345222,"[-0.0011598660222897578, -0.001056531703705617]",500,10000
evaluation,20161025,rc_mstnet_v5_mean,hist_gradient_boosting,-0.0011601968704591083,"[-0.0012117252728141626, -0.0011044366994169244]",500,10000
evaluation,20161026,rc_mstnet_v5_mean,hist_gradient_boosting,-0.0011093236870289506,"[-0.0011700407776864812, -0.0010547617562125474]",500,10000
evaluation,20161027,rc_mstnet_v5_mean,hist_gradient_boosting,-0.001105415689857982,"[-0.001156979936308381, -0.0010513974032972668]",500,10000
