window,left_dataset,right_dataset,union_cell_count,left_occupied_cell_count,right_occupied_cell_count,total_variation_distance,jensen_shannon_divergence,spearman_occupied_share,top_10pct_hotspot_jaccard
ALL_DAY,FULL_TEST31,REPLAY_30K,81,81,80,0.05403129148492318,0.004395193286746002,0.9653782312160804,0.8888888888888888
ALL_DAY,REPLAY_30K,SELECTED_FLEET_STARTS,80,80,80,0.31814959494171113,0.08855458695092239,0.6407746567042879,0.45454545454545453
ALL_DAY,FULL_TEST31,SELECTED_FLEET_STARTS,81,81,80,0.2883453144161615,0.07190963185471097,0.7422723002036652,0.4166666666666667
MORNING_PEAK,FULL_TEST31,REPLAY_30K,80,80,80,0.07657624294991645,0.007959962824921629,0.9154084450107103,0.6
MORNING_PEAK,REPLAY_30K,SELECTED_FLEET_STARTS,80,80,77,0.26896602697320937,0.07481205194240094,0.6265643800698752,0.45454545454545453
MORNING_PEAK,FULL_TEST31,SELECTED_FLEET_STARTS,80,80,77,0.2379818737024622,0.060185437306190415,0.7453615807132419,0.45454545454545453
EVENING_17_1859,FULL_TEST31,REPLAY_30K,81,81,80,0.07791616526750451,0.007468467971946187,0.9468665997420097,0.5454545454545454
EVENING_17_1859,REPLAY_30K,SELECTED_FLEET_STARTS,80,80,79,0.3383662675254465,0.10972093854888584,0.5466899181133202,0.3333333333333333
EVENING_17_1859,FULL_TEST31,SELECTED_FLEET_STARTS,81,81,79,0.3089535147634378,0.09240489989043758,0.6448653920882625,0.5454545454545454
