routing_mode,arc_count,wall_time_s,arcs_per_second,peak_rss_mb,failure_count,failure_rate,cache_behavior,protocol_interpretation
SINGLE_SOURCE_MATRIX,5000,6.095713299997442,820.2485507318886,225.46875,0,0.0,DISABLED_UNIQUE_ARC_SPIKE,REUSED_STRONGER_5000_ARC_SPIKE
SCALAR_ROUTE,5000,5.406585800003086,924.7980490751014,222.5703125,0,0.0,DISABLED_UNIQUE_ARC_SPIKE,REUSED_STRONGER_5000_ARC_SPIKE
