orders,completed_orders,cancelled_orders,match_rate,av_assignment_share,routing_query_count,routing_cache_hit_count,routing_cache_hit_rate,vehicle_leg_count,plan_revision_count,offer_count,replication_id,strategy,operation,request_time_scenario,max_orders,max_vehicles,output_path,candidate_maximum,operating_contribution,scenario_net_profit,economy_audit_status
1000,612,388,0.612,0.0,1175552,1009229,0.8585149784952091,1224,612,612,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
1000,617,382,0.617,0.0,990147,851155,0.8596248839818734,1234,618,618,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
1000,617,383,0.617,0.0,990147,851155,0.8596248839818734,1234,618,618,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,102280,12076,0.8943999440344188,0.0,32992038,25317415,0.7673795416942718,204560,102459,102459,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,102269,12087,0.894303753191787,0.0,33048279,25356535,0.7672573509803642,209153,107047,102432,1,ODD-Gated Price-Aware,O3,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O3\RT-Base,120.0,,,
1000,701,299,0.701,0.1554921540656205,224423,169426,0.7549404472803589,1402,701,701,1,ODD-Gated Price-Aware,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O0\RT-Base,120.0,,,
114356,105427,8929,0.9219192696491658,0.0287876919574682,14312247,9163333,0.6402441908667451,210854,105427,105427,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,120.0,,,
114356,104655,9701,0.9151684214208262,0.0303091108881563,14795085,9556427,0.645919033246514,209310,104655,104655,1,ODD-Gated Price-Aware,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O0\RT-Base,120.0,,,
114356,104755,9601,0.9160428836265696,0.033554484272827,14094520,8914998,0.6325151903009113,214014,109259,104755,1,ODD-Gated Price-Aware,O1,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O1\RT-Base,120.0,,,
114356,105433,8923,0.9219717373815104,0.0395416994679085,26646351,18669709,0.7006478673196191,210866,105609,105609,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,105297,9059,0.9207824687816992,0.0405044778103839,26265170,18420604,0.7013319921401613,215141,110012,105465,1,ODD-Gated Price-Aware,O3,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O3\RT-Base,120.0,,,
114356,87124,27232,0.7618664521319388,0.049423809742436,104996411,85310420,0.8125079627721752,174248,87688,87688,1,Three-Stakeholder Balanced,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Three-Stakeholder_Balanced\operation=O2\RT-Base,120.0,,,
114356,87213,27143,0.7626447234950505,0.0506117207297077,120032749,98789527,0.8230214489214106,174426,87809,87809,1,Three-Stakeholder Balanced,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Three-Stakeholder_Balanced\operation=O2\RT-Base,200.0,,,
1000,711,289,0.711,0.1729957805907173,275734,209381,0.7593586572566314,1422,714,714,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,105344,9012,0.9211934660183988,0.0382840978128797,16198357,9811637,0.605718036711995,210688,105521,105521,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,105430,8926,0.921945503515338,0.0421796452622593,15981451,9619910,0.6019422141331222,215363,110079,105576,1,ODD-Gated Price-Aware,O3,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O3\RT-Base,120.0,,,
1000,710,290,0.71,0.1732394366197183,276950,210378,0.7596244809532406,1420,714,714,1,Three-Stakeholder Balanced,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Three-Stakeholder_Balanced\operation=O2\RT-Base,120.0,,,
114356,105653,8703,0.923895554234146,0.0335059108591332,11246789,6913597,0.6147174095646322,211306,105653,105662,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,80.0,1648809.017792327,1596014.017792327,PASS
114356,105621,8735,0.923615726328308,0.0335444655892294,11372471,7028142,0.6179960362176347,211242,105621,105631,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,80.0,1647935.230366362,1594980.230366362,PASS
114356,104848,9508,0.9168561334779112,0.0360903403021516,11528110,7210191,0.6254443269538545,209696,104848,104851,1,ODD-Gated Price-Aware,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O0\RT-Base,80.0,1615866.0989355573,1559046.0989355573,PASS
114356,105064,9292,0.918744971842317,0.0489320794944034,10886271,6656189,0.6114296621864365,212926,107862,105066,1,ODD-Gated Price-Aware,O1,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O1\RT-Base,80.0,1648412.9797328038,1589735.5590372654,PASS
114356,104900,9456,0.9173108538248976,0.0416873212583412,11065199,6016809,0.5437596739109708,209800,115372,110138,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,80.0,1614026.1289554208,1552230.1289554208,PASS
114356,104954,9402,0.9177830634159991,0.042361415477256706,10967033,5895852,0.5375977258388845,209908,115688,110322,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,80.0,1616607.0419190365,1554951.0419190365,PASS
