date,order_id,route_link_count,route_transition_count,direction_gap_count,direction_gap_share,all_gaps_bridgeable,maximum_bridge_distance_m,maximum_bridge_link_count,interpolated_link_count,interpolated_link_share,interpolated_distance_m,interpolated_distance_share,matched_route_length_m,route_length_ratio,u_turn_count,repeated_link_count,repeated_link_share,mean_match_confidence,fallback_point_share,matcher_version,gps_length_m,unreasonable_detour_count,p50_projection_distance_m,p90_projection_distance_m,p95_projection_distance_m,origin_projection_error_m,destination_projection_error_m,core_direction_continuous,core_no_unreasonable_detour,core_fallback_share_ok,core_projection_ok,core_route_length_ratio_ok,core_interpolation_ok,core_origin_error_ok,core_destination_error_ok,core_confidence_ok,core_u_turn_ok,core_repeated_link_ok,core_all_thresholds_pass,core_route_link_count_ok,extended_direction_continuous,extended_no_unreasonable_detour,extended_fallback_share_ok,extended_projection_ok,extended_route_length_ratio_ok,extended_interpolation_ok,extended_origin_error_ok,extended_destination_error_ok,extended_confidence_ok,extended_u_turn_ok,extended_repeated_link_ok,extended_all_thresholds_pass,extended_route_link_count_ok,route_quality_class,formal_training_eligible,robustness_only_eligible,quality_reason,route_quality_class_v4_final,formal_analysis_eligible,strict_evaluation_eligible,quality_weight,hard_error_flags,soft_quality_flags,data_limitation_flags,exclusion_reason,contains_bridge,contains_tunnel,contains_nonzero_layer,maximum_route_node_degree,road_context_stratum,confidence_band,distance_band,route_feature_stratum,sampling_stratum,reviewer_id,review_status,review_class,route_correct,major_error,minor_error,wrong_road_level,wrong_direction,wrong_parallel_road,wrong_bridge_or_tunnel,unreasonable_detour,od_endpoint_error,data_limitation,comments
20161019,0d6f4bb7240ad5bbcfdc4373804f6d37,12,11,0,0.0,False,,,1,0.08333333333333333,0.0,0.0,2431.4331105661913,1.1265498140190806,0,0,0.0,0.8137475411838151,0.0,hmm_viterbi,2158.300574292234,0,2.9087350445738682,4.915693426031836,7.619344630607978,4.904882151842801,0.6492161791269022,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,True,False,True,4,bridge,high,short,ordinary,core|high|short|ordinary|bridge,,pending,,,,,,,,,,,,
20161019,1f4c70629ba8d9d84610be534ce89ea7,25,24,0,0.0,False,,,1,0.04,31.18599275345469,0.005188658530365294,6010.4153262248155,1.2249659065421734,0,0,0.0,0.6676032389758961,0.0,hmm_viterbi,4906.598048259956,0,5.330347846866399,11.505851061210208,11.618868504847947,0.1458154088364295,11.533230694054565,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,4,ordinary_road,mid_high,long,ordinary,core|mid_high|long|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,30e48d402c5ff215de4024994ccdd9e8,4,3,0,0.0,False,,,0,0.0,0.0,0.0,1914.2510014935565,1.8125302484035262,0,0,0.0,0.6183643632767809,0.0,hmm_viterbi,1056.1208582199529,0,7.15948737181383,12.178031364722997,21.537236778270167,3.6299422046503027,21.55615201400232,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,4,ordinary_road,mid_low,short,ordinary,core|mid_low|short|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,33c71368f87c48ac10697779065abfb1,12,11,0,0.0,False,,,0,0.0,0.0,0.0,3175.8372741871995,1.4599831691633147,0,0,0.0,0.6815552785208792,0.0,hmm_viterbi,2175.2560860048848,0,6.9380726685525715,9.30397476154061,10.089884895690554,3.7264845501567634,9.092102068623095,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,4,ordinary_road,mid_high,short,ordinary,core|mid_high|short|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,357a5e4f52554b4692761d0763f84e53,13,12,0,0.0,False,,,4,0.3076923076923077,61.12681657413881,0.08630472953649679,708.267286189563,1.379715088107774,0,0,0.0,0.7118483470971468,0.0,hmm_viterbi,513.3431476500879,0,3.200297629605707,6.92490420573694,8.807503318986745,8.59264921786945,3.5914951585933377,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,True,False,True,4,bridge,mid_high,short,ordinary,core|mid_high|short|ordinary|bridge,,pending,,,,,,,,,,,,
20161019,3dc03769e74085f8ea414d14fe99f62e,16,15,0,0.0,False,,,2,0.125,33.96827496361608,0.014884651721143146,2282.1007572092058,1.077685395358487,0,0,0.0,0.7933409974702116,0.0,hmm_viterbi,2117.594584688675,0,1.3773988359519231,11.774179313891116,12.544650503066011,5.821925162695843,1.1931419848818419,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,5,ordinary_road,high,short,ordinary,core|high|short|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,3f617805bf90ed10a2691a6f8ab7574c,3,2,0,0.0,False,,,0,0.0,0.0,0.0,737.0517772203326,1.1310626368551777,0,0,0.0,0.7170047274219967,0.0,hmm_viterbi,651.6454113183702,0,4.602951947810813,8.590165789016854,8.618383091285125,6.6902363956094835,8.569670690072497,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,4,ordinary_road,mid_high,short,ordinary,core|mid_high|short|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,46cd117216b37e87b43e8596622a871b,10,9,0,0.0,False,,,1,0.1,12.405389360154894,0.006664648470184959,1861.3718961550294,1.1647430860954113,0,0,0.0,0.6363786071416391,0.0,hmm_viterbi,1598.096540237847,0,7.9857175722774505,8.467561093998233,8.74521124425429,4.695842410260764,8.107995679547564,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,4,ordinary_road,mid_low,short,ordinary,core|mid_low|short|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,58dbfa267da167fa76697a8a3c8311c4,3,2,0,0.0,False,,,0,0.0,0.0,0.0,1095.8921069259318,1.5489486794019907,0,0,0.0,0.9298286181391113,0.0,hmm_viterbi,707.5070475214374,0,0.2505145739801502,3.6009634139315745,5.289741567071664,7.006802348071027,0.23502463600191464,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,4,ordinary_road,high,short,ordinary,core|high|short|ordinary|ordinary_road,,pending,,,,,,,,,,,,
20161019,772fc92ddb49b53ae85fcb41f13b156f,37,36,0,0.0,False,,,11,0.2972972972972973,1053.7274612031797,0.1843120132043072,5717.085082431051,1.1432898178406303,0,4,0.10810810810810811,0.6853513961491188,0.0,hmm_viterbi,5000.556283470713,0,5.150160962366445,8.552659303179327,9.4592660071619,13.44110634389729,5.682051182421453,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,strict_core,True,True,1.0,,,,,False,False,False,5,ordinary_road,mid_high,long,ordinary,core|mid_high|long|ordinary|ordinary_road,,pending,,,,,,,,,,,,
