scenario_id,experiment_block,execution_commit,S5B_registry_commit,FleetPy_commit,scenario_config_sha256,execution_timestamp,execution_end_timestamp,horizon_start,horizon_end,H_base_exact,profile_id,gamma_policy,acceptance_seed,request_count,matched,completed,patience_expired,service_rate,first_window_match_rate,carry_over_entry_rate,carry_over_recovery_rate,critical_recovery,critical_order_count,request_to_pickup_mean,request_to_pickup_p50,request_to_pickup_p90,request_to_pickup_p95,HV_assignments,AV_assignments,HV_assignment_share,AV_assignment_share,requested_q_A,achieved_q_A,AV_vehicle_count,target_HV_vehicle_hours,achieved_HV_vehicle_hours,HV_vehicle_hour_error_pct,selected_HV_session_count,target_p_A,accepted_order_count,realized_accepted_order_share,mean_attempts,expanded_radius_match_share,normalized_operating_cost_total,normalized_operating_cost_per_matched_order,HV_equivalent_operating_seconds,pickup_ETA_objective_value,relative_pickup_ETA_degradation_vs_epsilon_0_reference,cost_enabled,eta_cost_av_to_hv,pickup_cost_epsilon,benchmark_flag,scientific_role,mean_assigned_exposure_static,positive_assigned_exposure_share_static,final_cumulative_mean_exposure_static,maximum_cumulative_mean_exposure_static,binding_epoch_count_static,near_binding_epoch_count_static,minimum_slack_static,mean_slack_static,mean_assigned_exposure_dynamic,positive_assigned_exposure_share_dynamic,final_cumulative_mean_exposure_dynamic,maximum_cumulative_mean_exposure_dynamic,binding_epoch_count_dynamic,near_binding_epoch_count_dynamic,minimum_slack_dynamic,mean_slack_dynamic,mean_assigned_exposure_speed,positive_assigned_exposure_share_speed,final_cumulative_mean_exposure_speed,maximum_cumulative_mean_exposure_speed,binding_epoch_count_speed,near_binding_epoch_count_speed,minimum_slack_speed,mean_slack_speed,reuse_source_scenario_id,runtime_dispatch_epoch_count,runtime_waiting_orders_mean,runtime_waiting_orders_max,runtime_available_vehicles_mean,runtime_available_vehicles_max,runtime_candidate_spatial_pairs,runtime_candidate_topk_pairs,runtime_valid_or_arcs,runtime_peak_topk_pairs_per_epoch,runtime_peak_valid_or_arcs_per_epoch,runtime_assignment_matrix_representation,runtime_gpu_usage,runtime_candidate_reduction_ratio,runtime_matrix_batch_queries,runtime_uncached_arc_evaluations,runtime_arc_cache_hits,runtime_arc_cache_hit_rate,runtime_matrix_failed_arcs,runtime_matrix_arc_failure_rate,runtime_route_fallback_attempts,runtime_route_fallback_successes,runtime_route_fallback_failures,runtime_failed_routing_arcs,runtime_arc_failure_rate,runtime_candidate_generation_time_s,runtime_routing_time_s,runtime_solver_time_s,runtime_fleetpy_time_s,runtime_total_runtime_s,runtime_solver_time_p50,runtime_solver_time_p95,runtime_solver_time_max,runtime_wall_clock_runtime_s,runtime_peak_rss_mb,runtime_enabled_gamma_constraint_count,runtime_cost_level_solve_count
COST_Q50_M_P70_ETA050_EPS000,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,b4233d67221dd32a1590ac5e6c6221f92c3a3165518d4615736ed8e11ff21d9e,2026-08-28T08:46:28.512506+08:00,2026-08-28T09:18:08.521912+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18207,18207,11793,0.6069,0.4684333333333333,0.5315666666666666,0.2604878660563115,0.007907798435265416,11887,177.2819180308123,194.582271,283.1774998,291.73740280000004,15875,2332,0.8719173944087439,0.12808260559125612,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.968233333333333,0.2281540067007195,11051748.27962346,607.0054528271247,11051748.27962346,2583641.8898307984,0.0,True,0.5,0.0,False,normalized_operating_cost_robustness,2.348293037197726,0.8679245283018868,2.3482930371977204,3.476470588235294,,,,,0.15297602924777864,0.4691252144082333,0.15297602924777856,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,51.51987556170066,125,343.131005876253,470,14516309,2709289,53126,2373,111,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8133624050025389,137860,1714528,994761,0.36716681018525527,0,0.0,0,0,0,0,0.0,332.5391955026571,1478.1290454972186,20.948605699944892,68.34955050017743,1899.966397199998,0.004889200004981831,0.02343319999345113,0.033305899996776134,1899.966397199998,1517.25,0,2472
COST_Q50_M_P70_ETA050_EPS005,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,93ce45cb758efed1ff38cbe2d288480fab9d445658bdec05943ddda4cc559e78,2026-08-28T09:21:14.517775+08:00,2026-08-28T09:50:10.401842+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18208,18208,11792,0.6069333333333333,0.47173333333333334,0.5282666666666667,0.25593134780413934,0.0069058447027118075,11874,176.28269868211777,193.228294,282.4016912,291.54411220000003,15612,2596,0.8574253075571178,0.14257469244288226,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.9488666666666665,0.22275922671353252,10875966.654292047,597.3180280257055,10875966.654292047,2582549.3858922254,-0.0004228542441865324,True,0.5,0.05,False,normalized_operating_cost_robustness,2.403808366566966,0.8724961479198767,2.4038083665669614,3.476470588235294,,,,,0.1542556700508014,0.4776579352850539,0.15425567005080137,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,51.31904597303837,125,344.6609056342897,467,14825739,2706108,53024,2379,114,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8174723027297324,137276,1711695,994413,0.3674698127347467,0,0.0,0,0,0,0,0.0,309.25981320669234,1343.9945877935243,19.136276299817837,63.45992519997526,1735.8506025000097,0.004483500000787899,0.021600919999764302,0.034000500003458,1735.8506025000097,1493.3203125,0,2467
COST_Q50_M_P70_ETA075_EPS000,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,31888b47fd42318ddd79e18d675e1c6bf4447de4e6e41865aa65e42720ca0fb9,2026-08-28T09:50:43.163686+08:00,2026-08-28T10:35:46.020258+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18241,18241,11759,0.6080333333333333,0.47203333333333336,0.5279666666666667,0.25759201969821327,0.007595577685880665,11849,176.40409160588786,193.259365,282.629436,291.61464,15918,2323,0.872649525793542,0.12735047420645798,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.9488,0.22367194780987884,11400334.669897854,624.9840836520945,11400334.669897854,2580977.0432552644,0.0,True,0.75,0.0,False,normalized_operating_cost_robustness,2.368516982772446,0.8721480843736548,2.36851698277244,3.476470588235294,,,,,0.1500405023304019,0.46491605682307363,0.15004050233040206,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,51.31835464915313,123,342.61631524369164,473,14394895,2701964,53759,2304,111,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8122970678146663,137388,1710924,991040,0.3667850496897812,0,0.0,0,0,0,0,0.0,584.3982162019529,1995.240116297864,30.692160000035074,92.4891999001411,2702.819692399993,0.005004799997550435,0.036976999996113626,0.11336120001215022,2702.819692399993,1520.578125,0,2471
COST_Q50_M_P70_ETA075_EPS005,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,5bcd45c4d32cb85f14869837dfd00f3aa0a29a01b2b42be398a022ef7cd3ca4b,2026-08-28T09:50:43.264583+08:00,2026-08-28T10:35:19.046846+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18363,18363,11637,0.6121,0.47906666666666664,0.5209333333333334,0.25537496800614284,0.007081911262798635,11720,176.5991443768992,193.519012,282.8264156,291.9039627,15787,2576,0.8597179110167184,0.1402820889832816,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.8965,0.21733921472526277,11361056.817353424,618.6928506972403,11361056.817353424,2619195.0965731535,0.014807591341334136,True,0.75,0.05,False,normalized_operating_cost_robustness,2.364005697387651,0.875388198757764,2.3640056973876424,3.476470588235294,,,,,0.15074707726044578,0.4635093167701863,0.15074707726044576,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,50.77601106118217,120,342.72450743173175,460,14366015,2679513,53306,2277,112,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8134825141140393,135814,1695367,984146,0.36728539850338476,0,0.0,0,0,0,0,0.0,587.9590474993747,1964.0394028002338,30.70944799965946,93.02737150073517,2675.735269800003,0.004966499996953644,0.040757220002706186,0.10305220000736881,2675.735269800003,1507.16015625,0,2465
COST_Q50_M_P70_ETA100_EPS000,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,4d8ec603b3d5fed77d082d30a9e85f8dd12488456ec49d08ec2c1dbb7880b79c,2026-08-28T10:44:22.453359+08:00,2026-08-28T11:16:28.397944+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18327,18327,11673,0.6109,0.47336666666666666,0.5266333333333333,0.2611557693524907,0.008325545832979356,11771,175.6243208319965,192.101156,282.7625276,291.4978381,16065,2262,0.8765755442789327,0.12342445572106728,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.9228,0.22513231843727832,11743925.282211047,640.7991096312024,11743925.282211047,2581726.9362476994,0.0,True,1.0,0.0,False,normalized_operating_cost_robustness,2.3825567561242003,0.8673740053050398,2.382556756124191,3.476470588235294,,,,,0.15323572146528464,0.47524314765694076,0.15323572146528458,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,51.048738333909434,120,342.1099204977532,467,14254176,2688554,53062,2293,108,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8113848180350797,136681,1703837,984717,0.3662626824679735,0,0.0,0,0,0,0,0.0,341.338550299537,1493.1059509006882,21.09373689968197,70.37246130009589,1925.910699400003,0.0048540999996475875,0.023963700002059343,0.038178100003278814,1925.910699400003,1485.14453125,0,2474
COST_Q50_M_P70_ETA100_EPS005,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,718b659c0f13437355d5de0128bcf7b319aff869452b59211912b3ea160a371b,2026-08-28T10:44:22.407823+08:00,2026-08-28T11:16:22.383214+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18286,18286,11714,0.6095333333333334,0.47386666666666666,0.5261333333333333,0.25785605676634565,0.007624534056252118,11804,176.16975973520726,192.01428800000002,282.889866,291.61602525,16104,2182,0.8806737394728207,0.11932626052717926,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.930066666666667,0.22257464727113638,11654429.146254778,637.3416354727539,11654429.146254778,2589304.2348640673,0.0029349729090175636,True,1.0,0.05,False,normalized_operating_cost_robustness,2.439960303553135,0.8753437213565536,2.43996030355313,3.476470588235294,,,,,0.15300084122164176,0.4702108157653529,0.1530008412216417,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,51.12409263740062,126,343.0380228136882,472,14384544,2692565,53361,2429,110,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8128154079823455,136887,1705087,987478,0.3667424927531926,0,0.0,0,0,0,0,0.0,339.6956632020301,1488.4842547974695,20.297651300250436,71.46259050026129,1919.9401598000113,0.004782199990586378,0.02340473999793176,0.03611519999685697,1919.9401598000113,1489.25390625,0,2474
COST_Q50_M_P70_ETA125_EPS000,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,9885a8aa10edaa823670d88589800fdcb888d2f340a700e007b1d6ff0587ca07,2026-08-28T11:16:59.380263+08:00,2026-08-28T11:48:54.281272+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,18120,18120,11880,0.604,0.4657,0.5343,0.2588433464345873,0.008181666388378694,11978,176.4728281353201,193.0437175,282.6619515,291.73117395,16003,2117,0.8831677704194261,0.11683222958057395,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,4.9913,0.22897350993377483,11886967.936796324,656.0136830461547,11886967.936796324,2557790.654031475,0.0,True,1.25,0.0,False,normalized_operating_cost_robustness,2.37444045402762,0.8715162966461975,2.374440454027608,3.476470588235294,,,,,0.15379506342194674,0.4704770902220123,0.15379506342194665,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,51.75907362599378,127,343.86692015209127,468,14663532,2719063,52424,2410,112,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8145697093987997,138666,1721869,997194,0.36674177832584237,0,0.0,0,0,0,0,0.0,334.28441359617864,1491.089467903279,20.570612300056382,68.92193410047912,1914.8664278999931,0.0048614999977871776,0.0223187199968379,0.036359299992909655,1914.8664278999931,1505.796875,0,2478
COST_Q50_M_P70_ETA125_EPS005,COST_ROBUSTNESS,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,bc0f5b736c857fe0e1d3ac6c42f4af37abf2fa647701542c7f631c52e47de607,2026-08-28T11:17:02.041332+08:00,2026-08-28T11:49:11.727669+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,17967,17967,12033,0.5989,0.45666666666666667,0.5433333333333333,0.26177914110429445,0.0071782178217821785,12120,177.60523456331052,194.279262,283.24603740000003,291.7340967,16181,1786,0.9005955362609228,0.0994044637390772,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.7,21031,0.7010333333333333,5.044666666666667,0.2374909556408972,11652115.362796908,648.528711682357,11652115.362796908,2546832.257595039,-0.004284321087483778,True,1.25,0.05,False,normalized_operating_cost_robustness,2.419495449355554,0.868421052631579,2.419495449355553,3.476470588235294,,,,,0.1620699248518519,0.486562150055991,0.1620699248518521,0.3149523691230595,,,,,0.0,0.0,0.0,0.0,,,,,,2893,52.31247839612858,131,346.58555133079847,463,14852414,2748914,51872,2520,109,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8149180328531106,139785,1737429,1011485,0.36795803724670906,0,0.0,0,0,0,0,0.0,337.6073718999105,1502.5213421008375,20.290871099787182,69.23418449946621,1929.6537696000014,0.004804399999557063,0.023392499997862616,0.04443449999962468,1929.6537696000014,1497.73828125,0,2476
