replication_id,hv_vehicle_hours,av_count,av_online_hours_per_vehicle,av_vehicle_hours,av_vehicle_hour_share,unique_hv_agents,peak_concurrent_hv,av_to_unique_hv_ratio,av_to_peak_concurrent_hv_ratio
1,46666.62777777778,102,24.016666666666666,2449.7,0.0498754713724413,30176,4700,0.0033801696712619,0.0217021276595744
2,46593.22277777778,102,24.016666666666666,2449.7,0.0499501224896409,30159,4700,0.0033820750024868,0.0217021276595744
3,46700.98,102,24.016666666666666,2449.7,0.0498406125815553,30009,4700,0.0033989803059082,0.0217021276595744
