strategy,orders,served_orders,match_rate,cancel_rate,mean_waiting_time_sec,mean_pickup_time_sec,platform_profit,mean_passenger_gc,hv_income,hv_stress_burden,av_assignment_share,av_odd_violation,radius_violation_count,served_plus_cancelled
GlobalMatch-MinPickup,112165,103565,0.9233272411179958,0.0766727588820042,66.41872254139912,52.970052135408274,1733573.2857985946,51.098378336256175,2176299.128574174,42119.886005153254,0.22696857046299426,23506,0,112165
ODD-Gated Price-Aware,112165,72803,0.6490705656844827,0.35092943431551726,126.66796697938271,67.66638725204686,1805283.7698835852,59.27554585713506,2503747.992852245,38324.311253239706,0.0,0,0,112165
Three-Stakeholder Balanced,112165,72743,0.6485356394597245,0.3514643605402755,126.28085176580565,68.03719645149899,1804581.6160237317,59.302823545366444,2502865.7202928495,38293.22099008162,0.0,0,0,112165
