field,fold3_reference_mean,full_day_raw_mean,fold3_reference_p50,full_day_raw_p50,fold3_reference_p95,full_day_raw_p95,scale_action
lcs_tail_probability,0.0980311781167984,0.6961217984124723,0.06487344950437546,0.6968846321105957,0.3037936568260191,0.7485949397087097,raw_full_day_stage3_outputs_used_for_capability_gate
pmis_tail_probability,0.10066591948270798,0.40981127739547807,0.057597631588578224,0.40688419342041016,0.3470671743154524,0.463564085960388,raw_full_day_stage3_outputs_used_for_capability_gate
rts_tail_probability,0.10795978456735611,0.47041159681824724,0.07080375403165817,0.4687926769256592,0.3364243030548092,0.5297030448913573,raw_full_day_stage3_outputs_used_for_capability_gate
overall_uncertainty,0.004999999888241291,0.2923486344516278,0.004999999888241291,0.2923486344516278,0.004999999888241291,0.2923486344516278,raw_full_day_stage3_outputs_used_for_capability_gate
