fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,cancellation_reason,orders
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,uncertainty_sensitive_av,cancelled_no_odd_feasible_av,65
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,uncertainty_sensitive_av,cancelled_no_spatial_candidate,15
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,uncertainty_sensitive_av,cancelled_passenger_rejection,157
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,uncertainty_sensitive_av,cancelled_patience_timeout,10
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,,1293
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_no_available_vehicle,3
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_no_odd_feasible_av,24
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_no_spatial_candidate,15
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_passenger_rejection,163
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_patience_timeout,2
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,conservative_av,,1312
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,conservative_av,cancelled_no_available_vehicle,3
