fold,pricing_scenario,dispatch_strategy,mean_passenger_fare,platform_profit,HV_payout,HV_net_income
3,P3_shared_comp,Three-Stakeholder Balanced,46.07395723365464,43780.24366601973,3882.716976371221,2673.911882277004
3,P3_shared_comp,ODD-Gated Price-Aware Matching,46.07905921654728,44232.043807938244,2690.2546287385294,1843.1683345739425
3,P3_shared_comp,ODD-Gated Price-Aware Matching,46.11320308330624,43406.89468237803,5121.704186620927,3527.3732244047824
3,P3_shared_comp,ODD-Gated Price-Aware Matching,45.96849468643114,26675.212364394458,31707.113861416925,22150.226205980267
3,P3_shared_comp,ODD-Gated Price-Aware Matching,46.100376793741404,41200.790430877576,8862.213446989605,6159.303287188703
3,P3_shared_comp,ODD-Gated Price-Aware Matching,46.00196897905471,44188.70498865501,2605.244030679954,1785.6092428467482
3,P3_shared_comp,ODD-Gated Price-Aware Matching,46.0949740612274,38642.81727850117,10904.42871112813,7537.015468915004
3,P3_shared_comp,ODD-Gated Price-Aware Matching,46.094833799569564,45332.19660088872,2032.2320350544005,1403.265894034654
3,P3_shared_comp,ODD-Gated Price-Aware Matching,45.977381660469405,37324.40108982254,13976.264450016344,9682.244948283627
3,P3_shared_comp,ODD-Gated Price-Aware Matching,45.99084517360673,40123.76685188229,8923.841166778111,6164.906519110813
3,P0_uniform,ODD-Gated Price-Aware Matching,45.5477903643264,44134.477992596665,3405.2122367074385,2164.6664494778793
3,P1_platform_funded_comp,ODD-Gated Price-Aware Matching,45.556216654324295,42873.86945356423,3737.22106273394,2577.12125280095
3,P2_passenger_funded_comp,ODD-Gated Price-Aware Matching,47.51388248750614,45999.45519826175,3747.548048580713,2575.693885546535
3,P4_av_discount_hv_comp,ODD-Gated Price-Aware Matching,44.39210352811327,41554.69825203283,4077.5820865714886,2845.70542594251
3,P5_three_stakeholder_balanced,ODD-Gated Price-Aware Matching,44.403218911426286,40821.251639555834,4032.3728204074455,2846.997758718845
