fold,experiment_family,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,mean_passenger_fare,mean_passenger_generalized_cost,platform_profit,HV_net_income,HV_stress_burden,AV_stress_exposure
1,strategy,Random,P3_shared_comp,moderate,0.5,moderate_av,45.523184202092125,47.28445682183079,35762.12568953789,10547.239499009964,0.3320029688340432,0.3327923464952965
1,strategy,Nearest,P3_shared_comp,moderate,0.5,moderate_av,45.49089911385916,46.51854695522148,36601.655189088284,9771.280235568413,0.3352747837505067,0.32985944979674137
1,strategy,GlobalMatch-MinPickup,P3_shared_comp,moderate,0.5,moderate_av,45.55716410577508,46.60596787392198,36322.414097259985,10335.835148529872,0.3345326044572094,0.3303487780467831
1,strategy,GlobalMatch-MinOperatingCost,P3_shared_comp,moderate,0.5,moderate_av,45.55716410577508,46.350153129261635,44470.37175012603,1141.1293184390443,0.32269300861441674,0.3328657622118807
1,strategy,Cost-only,P3_shared_comp,moderate,0.5,moderate_av,45.592995933602296,46.42462342952472,44085.75571142679,1633.4386747689584,0.3386098384549937,0.33180560903655204
1,strategy,Simple Risk Penalty,P3_shared_comp,moderate,0.5,moderate_av,45.409526686301966,46.967529637634485,27933.903592572293,19343.55594410874,0.33391015874037167,0.31748850729839867
1,strategy,ODD Gate Only,P3_shared_comp,moderate,0.5,moderate_av,45.52151188070917,46.679267882517884,35031.041229207905,11593.503321633183,0.34033825030167003,0.3230013860465408
1,strategy,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,45.57235832633118,46.52357012949452,42626.25371125539,3080.642583876957,0.38119021885015153,0.324432921173289
1,strategy,Three-Stakeholder Balanced,P3_shared_comp,moderate,0.5,moderate_av,45.5827050127739,46.54964185210684,42756.55227447426,2833.6638312813548,0.3839040675974754,0.3244095834904501
1,supply,ODD-Gated Price-Aware Matching,P3_shared_comp,abundant,0.5,moderate_av,45.567157479127516,46.25564980815188,43016.7704641138,2396.9354518764126,0.39642565315215017,0.3239514264526413
1,supply,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,45.570341489707246,46.88569684831853,42717.257180758505,2843.724395432977,0.3847484213044072,0.32428678739740097
1,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,45.33485994262031,47.011738939902074,26058.32723329164,21341.52373793331,0.33237736986389727,
1,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,45.490345680343715,46.63668864305876,39654.35309456003,6241.682857973179,0.3515379267957127,0.324474269916667
1,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,45.459448081561675,46.272135028951965,43242.19281830571,1784.1963360912823,0.41529763644596307,0.3239679893238994
1,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,conservative_av,45.44248582883435,46.499771214055016,39198.7380490404,6263.4526228309915,0.38912078405355477,0.30837474650090874
1,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,mature_av,45.51964795603624,46.398320972344294,43562.8652157316,2044.2577787651844,0.35258365981280804,0.33028511372292413
1,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,intersection_sensitive_av,45.38970240952584,46.6393384852218,37510.00698943122,7925.18515407892,0.3696146530596586,0.31048018062453003
1,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,uncertainty_sensitive_av,45.48438507798019,46.594001849529135,40254.48607436569,5179.674936879883,0.38474176770436413,0.3147045992485747
1,pricing,ODD-Gated Price-Aware Matching,P0_uniform,moderate,0.5,moderate_av,44.922872083818454,45.871665283354616,42662.6693686231,2259.817249900391,0.38552789569876195,0.3241857361750326
1,pricing,ODD-Gated Price-Aware Matching,P1_platform_funded_comp,moderate,0.5,moderate_av,44.97103512729812,45.922856470357885,41563.087473179155,3028.6508555017613,0.3831416753431161,0.32397522591436684
