fold,sample_size,initial_fleet_hash,mechanism_id,pricing_scenario,HV_payout,HV_net_income,mean_passenger_fare,supply_scenario,av_penetration,odd_profile,dispatch_strategy
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,6367.406648351467,4401.647451949626,45.14216367759768,moderate,0.5,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,19134.98953266037,13189.625741925023,45.51973333650907,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,19134.98953266037,13189.625741925023,45.51973333650907,moderate,0.5,conservative_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,19134.98953266037,13189.625741925023,45.51973333650907,moderate,0.5,mature_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,19134.98953266037,13189.625741925023,45.51973333650907,moderate,0.5,intersection_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,19134.98953266037,13189.625741925023,45.51973333650907,moderate,0.5,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,12845.85455927664,8859.966455880698,45.27722769190089,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,12845.85455927664,8859.966455880698,45.27722769190089,moderate,0.5,conservative_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,12845.85455927664,8859.966455880698,45.27722769190089,moderate,0.5,mature_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,12845.85455927664,8859.966455880698,45.27722769190089,moderate,0.5,intersection_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P3_shared_comp,12845.85455927664,8859.966455880698,45.27722769190089,moderate,0.5,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P0_uniform,9454.628272932532,6103.685870804718,44.88112036423383,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P1_platform_funded_comp,8685.045757015621,5991.5684229051385,44.84414035244796,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P2_passenger_funded_comp,10379.331297704715,7153.532697568343,45.8077564664287,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P4_av_discount_hv_comp,10871.66773163082,7602.267261686608,44.1115598507684,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,P5_three_stakeholder_balanced,10261.789934006898,7218.879506838564,43.85156567601005,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,P3_shared_comp,30565.264329128004,21235.438973007243,45.84466266028995,moderate,0.0,conservative_av,ODD-Gated Price-Aware Matching
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,P3_shared_comp,30565.264329128004,21235.438973007243,45.84466266028995,moderate,0.0,moderate_av,ODD-Gated Price-Aware Matching
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,P3_shared_comp,30565.264329128004,21235.438973007243,45.84466266028995,moderate,0.0,mature_av,ODD-Gated Price-Aware Matching
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,P3_shared_comp,30565.264329128004,21235.438973007243,45.84466266028995,moderate,0.0,intersection_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,P3_shared_comp,30565.264329128004,21235.438973007243,45.84466266028995,moderate,0.0,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,P3_shared_comp,21027.924017841444,14543.132356143691,45.75118821969262,moderate,0.25,conservative_av,ODD-Gated Price-Aware Matching
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_moderate_av,P3_shared_comp,12473.956426972509,8630.37400632608,45.3232451485048,moderate,0.25,moderate_av,ODD-Gated Price-Aware Matching
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_mature_av,P3_shared_comp,10592.016579549276,7351.819750156232,45.14853448658262,moderate,0.25,mature_av,ODD-Gated Price-Aware Matching
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,P3_shared_comp,21682.620362276662,14988.096748939894,45.59861244509841,moderate,0.25,intersection_sensitive_av,ODD-Gated Price-Aware Matching
