replication_id,strategy,operation_setting,request_time_scenario,orders,served_orders,cancelled_orders,match_rate,cancel_rate,condition_known_orders,condition_unknown_orders,unknown_condition_served,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_gc,av_assignment_share,av_odd_violation,hv_income,hv_stress_burden,av_vehicle_hour_share,empty_vehicle_km,operating_contribution,lost_demand_cost,av_fixed_cost,depot_cost,empty_movement_cost,preassignment_failure_cost,scenario_net_profit,matching_solver,max_matching_runtime_sec,peak_candidate_edge_count,orders_hitting_candidate_cap,candidate_truncation_rate_mean,summary_path
1,ODD-Gated Price-Aware,O3,RT-Base,114356,99819,14537,0.8728794291510721,0.12712057084892792,112165,2191,1882,22.576523507548664,103.6770149107644,23.872457696709482,0.020346827758242418,0,1453512.5106141963,50512.50677330295,0.04987547137244132,59283.55567087284,1080073.4347272564,174444.0,8160.0,400.0,17785.06670126185,0.0,879284.3680259946,sparse_networkx_max_weight_matching,0.4694795000104932,1093,291647,0.705346035213997,stage4\output\decoupled_abm\replication=1\O3\ODD_Gated_Price_Aware\RT-Base\summary.json
1,ODD-Gated Price-Aware,O3,RT-High,114356,98483,15873,0.8611966140823394,0.13880338591766064,112165,2191,1845,22.527299127768245,104.0661457448586,23.880003680773612,0.02129301503812841,0,1432825.4759669686,49807.051633675896,0.04987547137244132,59472.68018078156,1067001.3201665692,190476.0,8160.0,400.0,17841.804054234468,0.0,850123.5161123348,sparse_networkx_max_weight_matching,0.44904539998969994,1136,294290,0.6872510772751882,stage4\output\decoupled_abm\replication=1\O3\ODD_Gated_Price_Aware\RT-High\summary.json
1,ODD-Gated Price-Aware,O3,RT-Low,114356,100290,14066,0.8769981461401238,0.12300185385987618,112165,2191,1897,22.180277196131218,102.76166064969726,23.85184944303633,0.019892312294346397,0,1459901.6781513104,50766.93580714863,0.04987547137244132,59184.31887451733,1084364.9528391603,168792.0,8160.0,400.0,17755.295662355198,0.0,889257.6571768052,sparse_networkx_max_weight_matching,0.49037859999225475,1054,287365,0.7021647841497338,stage4\output\decoupled_abm\replication=1\O3\ODD_Gated_Price_Aware\RT-Low\summary.json
