split,date,scenario_model,scenario_count,route_count,scale,dispersion_multiplier,offset_s,mean_mae_s,mean_rmse_s,p50_coverage,p90_coverage,p95_coverage,p50_mae_s,average_interval_width_p90_minus_p50_s,average_interval_width_p95_minus_p50_s
validation_model,20161019,independent,1000,10000,1.0,1.0,0.0,202.94438736947365,306.7442163006894,0.1689,0.2259,0.2432,203.4230664203644,26.06708629878998,33.91351622882842
validation_model,20161019,shared_route_latent,1000,10000,1.0,1.0,0.0,202.949089776371,306.7340261945527,0.1601,0.3752,0.45,206.75117828350068,100.36258108791353,132.28706072299954
validation_model,20161019,residual_block,1000,10000,1.0,1.0,0.0,202.91845215857583,306.7138098094949,0.1681,0.247,0.2716,203.60588067436217,34.78927041656494,45.30094781024932
validation_model,20161020,independent,1000,10000,1.0,1.0,0.0,207.52416361384755,319.36939689816234,0.164,0.2233,0.2416,207.88576492385863,26.474184294471744,34.81219558423995
validation_model,20161020,shared_route_latent,1000,10000,1.0,1.0,0.0,207.46009437848264,319.12272608608595,0.1551,0.3749,0.451,211.20041110420226,101.10751664360046,133.4783130060005
validation_model,20161020,residual_block,1000,10000,1.0,1.0,0.0,207.46777801657697,319.1435406509505,0.1632,0.2449,0.2706,208.10028689193726,35.2184165158081,46.00188067514418
calibration,20161021,independent,1000,10000,1.0,1.0,0.0,250.45687715290393,382.70759593099905,0.1348,0.1892,0.2062,251.0717113225937,27.699948556022647,36.09785733932494
calibration,20161021,shared_route_latent,1000,10000,1.0,1.0,0.0,250.50016802107982,382.71946467993774,0.128,0.3218,0.3896,254.9753855167389,105.07585312942506,138.63637721446986
calibration,20161021,residual_block,1000,10000,1.0,1.0,0.0,250.44508369213543,382.70690186589877,0.1339,0.2083,0.2299,251.2995231573105,36.73789841056824,47.88185896987914
evaluation,20161022,independent,1000,10000,1.0,1.0,0.0,302.83752318741307,474.14119363051964,0.119,0.1685,0.1845,303.6202420261383,29.090244019660947,38.03577484500884
evaluation,20161022,shared_route_latent,1000,10000,1.0,1.0,0.0,302.8307780502487,474.11348446348205,0.1126,0.292,0.3568,307.7824275089264,107.86069532066347,142.4279267358398
evaluation,20161022,residual_block,1000,10000,1.0,1.0,0.0,302.8229624438023,474.1194200830378,0.1177,0.1852,0.2069,303.85541187324526,38.30858522171021,50.09908459461211
evaluation,20161023,independent,1000,10000,1.0,1.0,0.0,211.2393154789627,316.5658892668784,0.1637,0.2172,0.2338,211.75886271209717,26.29557406871796,34.21141616926192
evaluation,20161023,shared_route_latent,1000,10000,1.0,1.0,0.0,211.24474996746923,316.5658063240896,0.1563,0.3635,0.4378,215.10857320785522,100.0514409829712,131.9660136172294
evaluation,20161023,residual_block,1000,10000,1.0,1.0,0.0,211.23475003575115,316.56074169041915,0.1626,0.2365,0.2628,211.98245920410156,34.98994138004303,45.554676198272695
calibration,20161021,shared_route_latent_calibrated,1000,10000,1.3347980556181929,2.5999999999999996,14.219084764408251,177.79194052189868,274.9141525130969,0.5,0.9045,0.9445,179.0094437544437,364.66311556890633,481.1340735339442
evaluation,20161022,shared_route_latent_frozen_calibrated,1000,10000,1.3347980556181929,2.5999999999999996,14.219084764408251,214.15809514747727,354.44429626595985,0.4532,0.8578,0.9076,218.20261242069444,374.32784061828454,494.2925511490963
evaluation,20161023,shared_route_latent_frozen_calibrated,1000,10000,1.3347980556181929,2.5999999999999996,14.219084764408251,161.00573583376095,231.4071890511664,0.5501,0.926,0.9578,159.9178900762549,347.2260191032576,457.9847437983006
