split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161019,pace_sec_per_m,global_mean,244609,0.04206214830122502,0.05930638040742229,,
validation_model,20161019,pace_sec_per_m,highway_time_bin_mean,244609,0.0394647440493809,0.05704385037014035,0.27391196861826567,0.3167248073748441
validation_model,20161019,pace_sec_per_m,strict_historical_profile,244609,0.030231581738649947,0.04875322669996027,0.5770600344006266,0.6650730002026924
validation_model,20161019,pace_sec_per_m,edge_rolling_mean,244609,0.03458534048847245,0.056551228973746245,0.47286887169881237,0.5806587665752667
validation_model,20161019,pace_sec_per_m,v4_static_entry_time,244609,0.030229232965254153,0.04870090712787952,0.5780081487163679,0.6650735072893079
validation_model,20161019,pace_sec_per_m,hist_gradient_boosting,244609,0.02820295751730918,0.045930250143821676,0.6321468148255539,0.711432471631164
validation_model,20161019,pace_sec_per_m,rc_mstnet_v5_mean,244609,0.02704608349731748,0.04494940318252768,0.651888559518282,0.7323492170493391
validation_model,20161019,pace_sec_per_m,rc_mstnet_v5_p50,244609,0.026710290676651552,0.04520193909059564,0.6523225577710562,0.7334374040217839
validation_model,20161020,pace_sec_per_m,global_mean,245215,0.04217872349910088,0.06669431418199434,,
validation_model,20161020,pace_sec_per_m,highway_time_bin_mean,245215,0.03941102346113961,0.06456956095491731,0.2502607660854166,0.3253412622009851
validation_model,20161020,pace_sec_per_m,strict_historical_profile,245215,0.030020840899720656,0.056770268124732494,0.5377760206973762,0.6700418017133976
validation_model,20161020,pace_sec_per_m,edge_rolling_mean,245215,0.03494902745211603,0.06961323558250979,0.40137755268931735,0.5788374601055395
validation_model,20161020,pace_sec_per_m,v4_static_entry_time,245215,0.030019394340287484,0.056816996552897195,0.5273353239121141,0.6700398444011401
validation_model,20161020,pace_sec_per_m,hist_gradient_boosting,245215,0.02837704769552581,0.05480187400160186,0.5697704705087391,0.7104518832194737
validation_model,20161020,pace_sec_per_m,rc_mstnet_v5_mean,245215,0.0271743234348519,0.05387594233487718,0.5893000525602697,0.7317166073465465
validation_model,20161020,pace_sec_per_m,rc_mstnet_v5_p50,245215,0.026864943955995556,0.05420243008424569,0.5877666759967769,0.733005408732619
calibration,20161021,pace_sec_per_m,global_mean,245859,0.042689282925258296,0.06131981618828383,,
calibration,20161021,pace_sec_per_m,highway_time_bin_mean,245859,0.03998218315551566,0.059031800427732616,0.27239668394213246,0.3121472008207842
calibration,20161021,pace_sec_per_m,strict_historical_profile,245859,0.03068465992568979,0.05013073479116631,0.5795916059775769,0.6656494786368496
calibration,20161021,pace_sec_per_m,edge_rolling_mean,245859,0.036213467731560194,0.05974841804658549,0.45790811241270785,0.580191505985158
calibration,20161021,pace_sec_per_m,v4_static_entry_time,245859,0.030683270938989503,0.0501013662720117,0.5801436703006508,0.6656482668689742
calibration,20161021,pace_sec_per_m,hist_gradient_boosting,245859,0.0295445577484431,0.04798703485598328,0.6215182431733066,0.705687088486884
calibration,20161021,pace_sec_per_m,rc_mstnet_v5_mean,245859,0.02843356813408454,0.04710752634612029,0.640316465283539,0.7246921632914829
calibration,20161021,pace_sec_per_m,rc_mstnet_v5_p50,245859,0.028220053720271355,0.04737986187163348,0.6429377899347476,0.7257856308954727
evaluation,20161022,pace_sec_per_m,global_mean,242193,0.043642225066826884,0.07663676024141164,,
evaluation,20161022,pace_sec_per_m,highway_time_bin_mean,242193,0.041101645705706694,0.07485956995206938,0.21799212675067808,0.2969331514451201
evaluation,20161022,pace_sec_per_m,strict_historical_profile,242193,0.033200659989236,0.0687668669781454,0.44465301061484364,0.6271104105174151
evaluation,20161022,pace_sec_per_m,edge_rolling_mean,242193,0.038192673909155705,0.09146546591756316,0.27135387489998675,0.5754611317115255
evaluation,20161022,pace_sec_per_m,v4_static_entry_time,242193,0.03319452430904305,0.06866589911425909,0.4466821638631386,0.6271104075116194
evaluation,20161022,pace_sec_per_m,hist_gradient_boosting,242193,0.031041550643253993,0.06570712019521992,0.5090959985045477,0.694428645847393
evaluation,20161022,pace_sec_per_m,rc_mstnet_v5_mean,242193,0.029992459911177917,0.06519849515363048,0.5224617676953172,0.7135768917440934
evaluation,20161022,pace_sec_per_m,rc_mstnet_v5_p50,242193,0.02987242987803676,0.06562443813680746,0.5228924689052367,0.7146270034093343
evaluation,20161023,pace_sec_per_m,global_mean,241839,0.042104575196858354,0.06221826552684883,,
evaluation,20161023,pace_sec_per_m,highway_time_bin_mean,241839,0.03982789635679486,0.06026525361121428,0.24966459294995835,0.3019297676873737
evaluation,20161023,pace_sec_per_m,strict_historical_profile,241839,0.031174464710693912,0.05265949966321783,0.542168865345933,0.6476532551829961
evaluation,20161023,pace_sec_per_m,edge_rolling_mean,241839,0.034986085746004675,0.06029880519178826,0.4473458486811423,0.5772407249907436
evaluation,20161023,pace_sec_per_m,v4_static_entry_time,241839,0.031170171670058828,0.05258184263001127,0.5436052355672546,0.6476483199739923
evaluation,20161023,pace_sec_per_m,hist_gradient_boosting,241839,0.02857677505760364,0.04949800246241944,0.6058331170118356,0.703755839260952
evaluation,20161023,pace_sec_per_m,rc_mstnet_v5_mean,241839,0.027399608869072608,0.048568646646105114,0.6251298552534325,0.7251766763359279
evaluation,20161023,pace_sec_per_m,rc_mstnet_v5_p50,241839,0.027115343553459074,0.04892210710991891,0.624191260960864,0.7261427554242438
