scope,date,support_dimension,target,support_group,comparison,n,baseline_mae,candidate_mae,absolute_improvement,relative_improvement
daily,20161027,target_specific,acceleration_rms,low,M3_vs_M1,5560,0.11877832323190925,0.1181681400471706,0.0006101831847386413,0.005137159442361268
daily,20161027,target_specific,acceleration_rms,low,M4_vs_M1,5560,0.11877832323190925,0.11820770914001807,0.0005706140918911723,0.0048040254851642785
daily,20161027,target_specific,acceleration_rms,low,M4_vs_M3,5560,0.1181681400471706,0.11820770914001807,-3.956909284746901e-05,-0.0003348541563882933
daily,20161027,target_specific,acceleration_rms,medium,M3_vs_M1,28024,0.12081289100660722,0.12042840823643164,0.0003844827701755815,0.0031824647764993413
daily,20161027,target_specific,acceleration_rms,medium,M4_vs_M1,28024,0.12081289100660722,0.12042665856392766,0.0003862324426795599,0.003196947274926456
daily,20161027,target_specific,acceleration_rms,medium,M4_vs_M3,28024,0.12042840823643164,0.12042665856392766,1.7496725039783945e-06,1.4528735616461373e-05
daily,20161027,target_specific,acceleration_rms,high,M3_vs_M1,85347,0.11903488949465091,0.11858149789526365,0.0004533915993872595,0.003808896713493682
daily,20161027,target_specific,acceleration_rms,high,M4_vs_M1,85347,0.11903488949465091,0.11859302963463367,0.00044185986001724076,0.003712019743901192
daily,20161027,target_specific,acceleration_rms,high,M4_vs_M3,85347,0.11858149789526365,0.11859302963463367,-1.1531739370018723e-05,-9.724737479875704e-05
aggregate,all,spatial,crawl,unseen,M3_vs_M1,176,0.42265403691933234,0.4142750555871647,0.008378981332167634,0.019824680708697088
aggregate,all,spatial,crawl,unseen,M4_vs_M1,176,0.42265403691933234,0.40083386833165685,0.021820168587675492,0.051626547203286466
aggregate,all,spatial,crawl,unseen,M4_vs_M3,176,0.4142750555871647,0.40083386833165685,0.013441187255507858,0.03244507984304595
aggregate,all,spatial,crawl,low,M3_vs_M1,654,0.36151708365455043,0.345119281977398,0.016397801677152435,0.045358303711095
aggregate,all,spatial,crawl,low,M4_vs_M1,654,0.36151708365455043,0.34734131878780183,0.014175764866748597,0.0392118810083518
aggregate,all,spatial,crawl,low,M4_vs_M3,654,0.345119281977398,0.34734131878780183,-0.002222036810403838,-0.006438460342384927
aggregate,all,spatial,crawl,medium,M3_vs_M1,104020,0.2130634981309897,0.20833035532673608,0.004733142804253632,0.022214705220618004
aggregate,all,spatial,crawl,medium,M4_vs_M1,104020,0.2130634981309897,0.20837638753311213,0.004687110597877575,0.0219986559828093
aggregate,all,spatial,crawl,medium,M4_vs_M3,104020,0.20833035532673608,0.20837638753311213,-4.603220637605654e-05,-0.00022095774907051672
aggregate,all,spatial,crawl,high,M3_vs_M1,675390,0.16533699532155688,0.16322216526709823,0.002114830054458644,0.012791027503225163
aggregate,all,spatial,crawl,high,M4_vs_M1,675390,0.16533699532155688,0.16309166383493734,0.0022453314866195395,0.013580333199189267
aggregate,all,spatial,crawl,high,M4_vs_M3,675390,0.16322216526709823,0.16309166383493734,0.0001305014321608955,0.0007995325386557749
aggregate,all,spatial,stop,unseen,M3_vs_M1,176,0.1023694121026479,0.11144510294260809,-0.009075690839960196,-0.08865627586939559
aggregate,all,spatial,stop,unseen,M4_vs_M1,176,0.1023694121026479,0.1214283698070424,-0.019058957704394502,-0.18617824712408915
aggregate,all,spatial,stop,unseen,M4_vs_M3,176,0.11144510294260809,0.1214283698070424,-0.009983266864434306,-0.0895801304932661
aggregate,all,spatial,stop,low,M3_vs_M1,654,0.10507257220774799,0.10887190255374557,-0.0037993303459975813,-0.03615910666473073
aggregate,all,spatial,stop,low,M4_vs_M1,654,0.10507257220774799,0.11122444784044005,-0.0061518756326920665,-0.05854882490673842
aggregate,all,spatial,stop,low,M4_vs_M3,654,0.10887190255374557,0.11122444784044005,-0.002352545286694485,-0.021608378576218328
aggregate,all,spatial,stop,medium,M3_vs_M1,104020,0.011576704645751073,0.011882224836398482,-0.0003055201906474094,-0.02639094630090115
