scope,date,group,target,n,m1_mae,m3_mae,m4_mae,m3_vs_m1_absolute_improvement,m3_vs_m1_relative_improvement,m4_vs_m1_absolute_improvement,m4_vs_m1_relative_improvement,m4_vs_m3_absolute_improvement,m4_vs_m3_relative_improvement,unique_edge_time_cells,evaluation_traversals,evaluation_share,crawl_valid_count,stop_valid_count,speed_cv_valid_count,acceleration_rms_valid_count
aggregate,all,spatial_high_temporal_sparse,crawl,4333,0.07809910533926949,0.07169750739843998,0.07151265362307288,0.0064015979408295065,0.08196762194676102,0.006586451716196609,0.08433453478864418,0.00018485377536710257,0.002578245493805335,11182,14556,0.00693073879790059,4333,4333,2800,1754
aggregate,all,spatial_high_temporal_sparse,stop,4333,0.0038517868238133043,0.0038250325622729976,0.003948306983184154,2.67542615403067e-05,0.006945935163104311,-9.652015937084996e-05,-0.0250585413434937,-0.00012327442091115666,-0.03222833241396035,11182,14556,0.00693073879790059,4333,4333,2800,1754
aggregate,all,spatial_high_temporal_sparse,speed_cv,2800,0.0699370838619384,0.06909747003286425,0.06914263405146755,0.0008396138290741595,0.01200527363611023,0.0007944498104708597,0.01135949294138671,-4.516401860329977e-05,-0.0006536276738036688,11182,14556,0.00693073879790059,4333,4333,2800,1754
aggregate,all,spatial_high_temporal_sparse,acceleration_rms,1754,0.13915491435493993,0.13858676133475428,0.13865617685648474,0.0005681530201856466,0.004082881462141315,0.0004987374984551929,0.003584045168416202,-6.941552173045373e-05,-0.0005008813328336721,11182,14556,0.00693073879790059,4333,4333,2800,1754
