scope,date,group,target,n,m1_mae,m3_mae,m4_mae,m3_vs_m1_absolute_improvement,m3_vs_m1_relative_improvement,m4_vs_m1_absolute_improvement,m4_vs_m1_relative_improvement,m4_vs_m3_absolute_improvement,m4_vs_m3_relative_improvement
daily,20161025,spatial_high_temporal_sparse,crawl,1467,0.07339979647265159,0.06876971650279515,0.0688658449413152,0.0046300799698564404,0.06308028349345064,0.004533951531336386,0.06177062811101546,-9.612843852005448e-05,-0.0013978309553762279
daily,20161025,spatial_high_temporal_sparse,stop,1467,0.004241718830519628,0.004132588398883981,0.004322613105331731,0.00010913043163564718,0.025727879662942734,-8.089427481210252e-05,-0.019071107266719192,-0.0001900247064477497,-0.045982006458486525
daily,20161025,spatial_high_temporal_sparse,speed_cv,970,0.06975029323809849,0.06889172339776437,0.06895318652842157,0.0008585698403341252,0.012309193273257288,0.0007971067096769202,0.01142800514050786,-6.146313065720499e-05,-0.0008921700260324676
daily,20161025,spatial_high_temporal_sparse,acceleration_rms,618,0.1406277832680632,0.1410919609494676,0.14090818203503452,-0.0004641776814044152,-0.0033007537388227517,-0.0002803987669713348,-0.001993907323681848,0.00018377891443308036,0.001302547028167687
daily,20161025,spatial_high_temporal_high,crawl,185239,0.17379185905431732,0.17198481007540248,0.1718431200543537,0.0018070489789148436,0.010397776908238631,0.0019487389999636173,0.011213062628868904,0.0001416900210487737,0.0008238519494056087
daily,20161025,spatial_high_temporal_high,stop,185239,0.004168631725933288,0.004235634155701142,0.004256336814430529,-6.700242976785415e-05,-0.01607300288750103,-8.770508849724121e-05,-0.021039298806757863,-2.0702658729387056e-05,-0.004887735335102391
daily,20161025,spatial_high_temporal_high,speed_cv,125212,0.06291826452487938,0.06262225264191781,0.06262344145365883,0.0002960118829615638,0.004704705147175724,0.00029482307122054296,0.004685810605980127,-1.1888117410208121e-06,-1.8983854634207944e-05
daily,20161025,spatial_high_temporal_high,acceleration_rms,85455,0.11942206895693638,0.11893273979129797,0.11892841567607065,0.0004893291656384163,0.004097476872678102,0.0004936532808657301,0.004133685550563871,4.324115227313796e-06,3.6357652526139666e-05
daily,20161026,spatial_high_temporal_sparse,crawl,1309,0.0805069975282092,0.07392339775675119,0.07382128650157672,0.006583599771458004,0.08177673958280643,0.006685711026632471,0.08304509212742452,0.00010211125517446684,0.001381311712841843
daily,20161026,spatial_high_temporal_sparse,stop,1309,0.0034039626961104917,0.0032965283991281628,0.003413809877863307,0.00010743429698232892,0.03156153770577092,-9.847181752815383e-06,-0.0028928583042543855,-0.0001172814787351443,-0.035577269337695346
daily,20161026,spatial_high_temporal_sparse,speed_cv,855,0.06967367855437297,0.06797252683968551,0.06789531059092227,0.00170115171468746,0.024415988217988092,0.0017783679634506971,0.025524243880174467,7.721624876323718e-05,0.0011359920302117525
daily,20161026,spatial_high_temporal_sparse,acceleration_rms,511,0.14126761652882472,0.13986691344204635,0.14010537605393344,0.0014007030867783654,0.00991524541289731,0.001162240474891274,0.008227225060133484,-0.0002384626118870914,-0.001704925103576394
daily,20161026,spatial_high_temporal_high,crawl,184216,0.16786265427212993,0.16607564143748405,0.16596280249193696,0.0017870128346458847,0.010645684368536645,0.0018998517801929737,0.011317894313246328,0.00011283894554708906,0.0006794430812995842
daily,20161026,spatial_high_temporal_high,stop,184216,0.004086783849825854,0.004198645887176614,0.00422453645744864,-0.0001118620373507604,-0.027371654939746096,-0.00013775260762278595,-0.033706849367297925,-2.589057027202555e-05,-0.006166409591982929
daily,20161026,spatial_high_temporal_high,speed_cv,124410,0.06283505565563462,0.06254989853420474,0.06256644069568641,0.00028515712142987426,0.004538185228842132,0.0002686149599482046,0.004274921970632759,-1.6542161481669648e-05,-0.00026446344229677277
daily,20161026,spatial_high_temporal_high,acceleration_rms,84748,0.11961090503630013,0.11924875061553054,0.11925224225379989,0.00036215442076958926,0.00302777092656962,0.00035866278250024086,0.002998579288329873,-3.491638269348396e-06,-2.9280292257365228e-05
daily,20161027,spatial_high_temporal_sparse,crawl,1557,0.08050241634248491,0.07258471277087518,0.07206555529178,0.00791770357160973,0.0983536138583108,0.008436861050704902,0.10480258151272875,0.0005191574790951725,0.007152435537410929
daily,20161027,spatial_high_temporal_sparse,stop,1557,0.003860888640977598,0.003979578186709912,0.004044999102435594,-0.00011868954573231432,-0.03074150973239712,-0.0001841104614579963,-0.047686032563575446,-6.542091572568198e-05,-0.016439158286714866
daily,20161027,spatial_high_temporal_sparse,speed_cv,975,0.07035390277793142,0.07028865020334088,0.07042491677569405,6.525257459054357e-05,0.0009274904733644992,-7.101399776263118e-05,-0.00100938249277774,-0.00013626657235317474,-0.0019386710650860937
daily,20161027,spatial_high_temporal_sparse,acceleration_rms,625,0.13597119627627544,0.13506296759280376,0.13524452887210064,0.0009082286834716791,0.006679566763730451,0.0007266674041747911,0.005344274552812636,-0.00018156127929688792,-0.0013442713612236788
daily,20161027,spatial_high_temporal_high,crawl,183406,0.16932654007971426,0.1672829652724597,0.1671875107085903,0.002043574807254561,0.012068839334297522,0.0021390293711239516,0.012632570004188095,9.545456386939044e-05,0.0005706173591191441
daily,20161027,spatial_high_temporal_high,stop,183406,0.003986986253394483,0.004097192624124957,0.0041230552450997405,-0.00011020637073047394,-0.027641522625427982,-0.00013606899170525745,-0.03412828213024551,-2.5862620974783507e-05,-0.006312278515415668
daily,20161027,spatial_high_temporal_high,speed_cv,124013,0.06265906656461226,0.062331032156818254,0.06233340271425234,0.0003280344077940048,0.00523522653271167,0.00032566385035991824,0.005197393900276234,-2.37055743408654e-06,-3.803173719508558e-05
daily,20161027,spatial_high_temporal_high,acceleration_rms,85230,0.11954054646657766,0.11907673010667101,0.11908823459074297,0.00046381635990665193,0.0038799919660425035,0.00045231187583469334,0.003783752786851742,-1.1504484071958587e-05,-9.661404089323473e-05
aggregate,all,spatial_high_temporal_sparse,crawl,4333,0.07809910533926949,0.07169750739843998,0.07151265362307288,0.0064015979408295065,0.08196762194676102,0.006586451716196609,0.08433453478864418,0.00018485377536710257,0.002578245493805335
aggregate,all,spatial_high_temporal_sparse,stop,4333,0.0038517868238133043,0.0038250325622729976,0.003948306983184154,2.67542615403067e-05,0.006945935163104311,-9.652015937084996e-05,-0.0250585413434937,-0.00012327442091115666,-0.03222833241396035
aggregate,all,spatial_high_temporal_sparse,speed_cv,2800,0.0699370838619384,0.06909747003286425,0.06914263405146755,0.0008396138290741595,0.01200527363611023,0.0007944498104708597,0.01135949294138671,-4.516401860329977e-05,-0.0006536276738036688
aggregate,all,spatial_high_temporal_sparse,acceleration_rms,1754,0.13915491435493993,0.13858676133475428,0.13865617685648474,0.0005681530201856466,0.004082881462141315,0.0004987374984551929,0.003584045168416202,-6.941552173045373e-05,-0.0005008813328336721
aggregate,all,spatial_high_temporal_high,crawl,552861,0.17033489486257386,0.16845605699328725,0.1683393184337886,0.0018788378692866092,0.011030258191091467,0.001995576428785256,0.01171560548644649,0.00011673855949864698,0.0006929911668495176
aggregate,all,spatial_high_temporal_high,stop,552861,0.004081100578173799,0.004177382916393656,0.00420152597759006,-9.628233821985712e-05,-0.023592248310366642,-0.00012042539941626174,-0.029508069480157096,-2.4143061196404622e-05,-0.005779470467420636
aggregate,all,spatial_high_temporal_high,speed_cv,373635,0.06280452803855088,0.06250150190775416,0.06250819518794666,0.0003030261307967186,0.004824908971702073,0.0002963328506042223,0.004718335761114649,-6.693280192496265e-06,-0.00010708990965328902
