date,target,model,count,mae,rmse,pearson,spearman
20161031,crawl_time_share,rc_mstnet_v4_frozen,777417,0.15626829661760494,0.2753939614226189,0.5068414010200093,0.48913546957338083
20161031,crawl_time_share,rc_mstnet_v5_frozen,777417,0.15367005136325124,0.2718014929726662,0.520711439616812,0.5056054763582627
20161031,stop_time_share,rc_mstnet_v4_frozen,777417,0.00521336163353095,0.0453689911472604,0.5804259038778905,0.12341794720034663
20161031,stop_time_share,rc_mstnet_v5_frozen,777417,0.005207248083847049,0.045370496857720696,0.5803854979780237,0.12267107920626225
20161031,speed_cv_bounded,rc_mstnet_v4_frozen,524081,0.06423605358030036,0.0802176359978952,0.41403594483045525,0.41254013843199033
20161031,speed_cv_bounded,rc_mstnet_v5_frozen,524081,0.0639466313634086,0.08017742208331456,0.4180164846556869,0.41983332435869186
20161031,acceleration_rms_bounded,rc_mstnet_v4_frozen,357248,0.12112315133038515,0.14908736749071289,0.28162037671400636,0.2741636682795705
20161031,acceleration_rms_bounded,rc_mstnet_v5_frozen,357248,0.12067431740409428,0.14828782619909814,0.2872746742414083,0.27902699347489224
20161031,rts_raw,rc_mstnet_v4_frozen,717805,0.09183069065196678,0.12586208662952617,0.4728727369922779,0.3454284406225054
20161031,rts_raw,rc_mstnet_v5_frozen,717805,0.09104852897839727,0.12547399823064864,0.4814841795051054,0.3594881880490246
20161031,lcs_raw,rc_mstnet_v4_frozen,318221,0.06139785382126194,0.07745024478022437,0.3103827917890482,0.29695823756359235
20161031,lcs_raw,rc_mstnet_v5_frozen,318221,0.0615426864974897,0.07770821236752364,0.30215597601059735,0.2894122885375997
