split,date,target,count,prevalence,average_precision,roc_auc,brier,effective_sample_size_complete_case,effective_sample_size_ipw,ipw_weight_p50,ipw_weight_p90,ipw_weight_p99,ipw_weight_max,ipw_clipped_count,complete_case_deep_mae,stabilized_ipw_deep_mae,complete_case_tree_mae,stabilized_ipw_tree_mae,available_mean_forecast_horizon_s,unavailable_mean_forecast_horizon_s,available_mean_history_support,unavailable_mean_history_support
validation_model,20161025,service_time,701601,0.3385870316604452,0.9196076973916867,0.9622286207492956,0.07270872057380195,237553,87631.3342585921,0.38760550074935257,0.7769481690090664,5.511584626651499,6.771740633208903,0,0.029150676077936023,0.03251439551745364,0.0303584102674035,0.034126059208668055,332.86745274545916,338.5374604521521,91.43123429297883,8681.020691824984
validation_model,20161026,service_time,704876,0.3386567282756116,0.922347353536874,0.9632879505226152,0.07158087720295545,238711,86791.91654226702,0.38574470495464547,0.7672223224651024,5.647381003631166,6.7731345655122315,0,0.028892039853258875,0.03278805524818466,0.02992239463311585,0.03368779125142937,335.96273142668906,341.9366414840312,96.82419746052759,9340.759984125792
calibration,20161027,service_time,693732,0.34191301540075997,0.9228312024972635,0.9630590286392491,0.07199981762985767,237196,87000.52574702023,0.3905397967321564,0.7872263693544198,5.638553441697082,6.838260308015199,0,0.028383555570371696,0.031617062542790245,0.02951630292961493,0.033090681772727386,333.4513775158452,339.41571413721266,96.4615550009275,9853.73039585049
legacy,20161031,service_time,2116712,0.3391132095438586,0.9271026982068228,0.9655629502022759,0.0692850687022977,717805,265404.72622071364,0.38201532076227857,0.7166482966027532,5.111343905397037,6.7822641908771715,0,0.028135204040029185,0.031138905455484076,0.02849286429364225,0.03185099057121185,336.11950935426916,342.1793213905626,97.02132612617633,11091.74498304748
