scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition,eligibility_conversion_n5_over_n0,assignment_conversion_n6_over_n0,acceptance_retention_n1_over_n0
MAIN_Q25_M_P70,2016-10-31 05:45:00+08:00,19067,14524,2787,80,71,71,39,39,5,4543,5466,0,6271,2707,9,0,32,0,34,0.0020454187863848533,0.00026223317774164785,0.7617349347039387
MAIN_Q25_M_P70,2016-10-31 06:00:00+08:00,9268,8658,1067,146,130,130,60,60,8,610,2780,0,4811,921,16,0,70,0,52,0.006473888649115235,0.0008631851532153647,0.9341821320673285
MAIN_Q25_M_P70,2016-10-31 06:15:00+08:00,11625,6281,1047,214,186,186,87,87,6,5344,4894,0,340,833,28,0,99,0,81,0.007483870967741935,0.0005161290322580645,0.5403010752688172
MAIN_Q25_M_P70,2016-10-31 06:30:00+08:00,20739,14560,6112,2348,679,679,110,110,11,6179,8145,0,303,3764,1669,0,569,0,99,0.005304016587106418,0.0005304016587106418,0.7020589228024495
MAIN_Q25_M_P70,2016-10-31 06:45:00+08:00,38999,24348,15826,3967,884,884,41,41,9,14651,6260,0,2262,11859,3083,0,843,0,32,0.0010513090079232801,0.00023077514808072,0.6243237006077079
MAIN_Q25_M_P70,2016-10-31 07:00:00+08:00,44129,30874,13926,3118,616,616,42,42,9,13255,12972,0,3976,10808,2502,0,574,0,33,0.0009517550816923112,0.00020394751750549525,0.6996306283849623
MAIN_Q25_M_P70,2016-10-31 07:15:00+08:00,75458,56538,24934,7543,1301,1301,21,21,8,18920,24402,0,7202,17391,6242,0,1280,0,13,0.000278300511542845,0.00010601924249251239,0.7492644915052082
MAIN_Q25_M_P70,2016-10-31 07:30:00+08:00,69043,46494,25540,12776,1784,1784,58,58,17,22549,14074,0,6880,12764,10992,0,1726,0,41,0.0008400561968628246,0.0002462233680460003,0.6734064278782788
MAIN_Q25_M_P70,2016-10-31 07:45:00+08:00,72149,45193,17161,10122,1289,1289,24,24,8,26956,17413,0,10619,7039,8833,0,1265,0,16,0.0003326449431038545,0.00011088164770128484,0.6263842880705207
MAIN_Q25_M_P70,2016-10-31 08:00:00+08:00,68896,46422,22088,11889,1410,1410,51,51,21,22474,16831,0,7503,10199,10479,0,1359,0,30,0.0007402461681374826,0.0003048072457036693,0.6737981885740827
MAIN_Q25_M_P70,2016-10-31 08:15:00+08:00,82993,56771,32417,20464,2314,2314,53,53,17,26222,17986,0,6368,11953,18150,0,2261,0,36,0.0006386080753798513,0.00020483655248032968,0.6840456424035762
MAIN_Q25_M_P70,2016-10-31 08:30:00+08:00,76754,48057,23470,13039,1549,1549,66,66,14,28697,14726,0,9861,10431,11490,0,1483,0,52,0.0008598900383041926,0.00018240091721604085,0.6261172056179483
MAIN_Q25_M_P70,2016-10-31 08:45:00+08:00,80724,53285,21273,11027,1626,1626,107,107,21,27439,24618,0,7394,10246,9401,0,1519,0,86,0.0013255041871066844,0.00026014568158168577,0.6600886972895298
MAIN_Q25_M_P70,2016-10-31 09:00:00+08:00,88432,60971,30167,19539,2452,2452,143,143,27,27461,17894,0,12910,10628,17087,0,2309,0,116,0.0016170616971232133,0.00030531934141487247,0.6894676135335626
MAIN_Q25_M_P70,2016-10-31 09:15:00+08:00,74783,48604,25933,14141,1669,1669,125,125,23,26179,13382,0,9289,11792,12472,0,1544,0,102,0.001671502881670968,0.00030755653022745814,0.6499338084858858
MAIN_Q25_M_P70,2016-10-31 09:30:00+08:00,59016,44092,25330,13035,1714,1714,154,154,21,14924,14296,0,4466,12295,11321,0,1560,0,133,0.0026094618408567167,0.00035583570557137046,0.7471194252406127
MAIN_Q25_M_P70,2016-10-31 09:45:00+08:00,55727,38717,19995,11416,1569,1569,131,131,29,17010,10431,0,8291,8579,9847,0,1438,0,102,0.002350745599081235,0.0005203940639187468,0.6947619645773144
MAIN_Q25_M_P70,2016-10-31 10:00:00+08:00,67059,45322,24008,12596,1432,1432,83,83,20,21737,13926,0,7388,11412,11164,0,1349,0,63,0.0012377160410981375,0.0002982448291802741,0.6758526074054191
MAIN_Q25_M_P70,2016-10-31 10:15:00+08:00,62787,45808,23378,8988,1207,1207,86,86,20,16979,13213,0,9217,14390,7781,0,1121,0,66,0.001369710290346728,0.0003185372768248204,0.7295777788395686
MAIN_Q25_M_P70,2016-10-31 10:30:00+08:00,71312,50923,24725,16268,1583,1583,54,54,9,20389,16064,0,10134,8457,14685,0,1529,0,45,0.000757235808840027,0.0001262059681400045,0.7140873906214943
MAIN_Q25_M_P70,2016-10-31 10:45:00+08:00,71729,43078,21888,10238,1242,1242,103,103,18,28651,14467,0,6723,11650,8996,0,1139,0,85,0.0014359603507646838,0.00025094452731810006,0.6005660193227286
MAIN_Q25_M_P70,2016-10-31 11:00:00+08:00,74983,53738,21951,11512,1530,1530,130,130,22,21245,19326,0,12461,10439,9982,0,1400,0,108,0.0017337263112972275,0.00029339983729645386,0.7166691116653108
MAIN_Q25_M_P70,2016-10-31 11:15:00+08:00,56287,38039,17267,11391,1331,1331,125,125,16,18248,11588,0,9184,5876,10060,0,1206,0,109,0.002220761454687583,0.00028425746620001067,0.6758043597988879
MAIN_Q25_M_P70,2016-10-31 11:30:00+08:00,83000,60521,26942,11235,1518,1518,80,80,18,22479,21116,0,12463,15707,9717,0,1438,0,62,0.0009638554216867469,0.00021686746987951806,0.7291686746987952
MAIN_Q25_M_P70,2016-10-31 11:45:00+08:00,89706,60848,23713,11402,1684,1684,77,77,18,28858,25390,0,11745,12311,9718,0,1607,0,59,0.0008583595300202885,0.0002006554745501973,0.6783046841905781
MAIN_Q25_M_P70,2016-10-31 12:00:00+08:00,69958,48266,21181,11426,1563,1563,90,90,25,21692,14692,0,12393,9755,9863,0,1473,0,65,0.0012864861774207381,0.0003573572715057606,0.6899282426598816
MAIN_Q25_M_P70,2016-10-31 12:15:00+08:00,73770,51523,28409,18823,1978,1978,146,146,20,22247,12138,0,10976,9586,16845,0,1832,0,126,0.0019791243052731462,0.00027111291853056796,0.6984275450725227
MAIN_Q25_M_P70,2016-10-31 12:30:00+08:00,58048,39960,14137,6166,764,764,108,108,23,18088,15928,0,9895,7971,5402,0,656,0,85,0.001860529217199559,0.00039622381477398013,0.6883958103638368
MAIN_Q25_M_P70,2016-10-31 12:45:00+08:00,41066,26167,10013,5977,802,802,87,87,22,14899,11496,0,4658,4036,5175,0,715,0,65,0.002118540885403984,0.00053572298251595,0.6371937856134028
MAIN_Q25_M_P70,2016-10-31 13:00:00+08:00,51095,32596,12138,5844,928,928,99,99,20,18499,14132,0,6326,6294,4916,0,829,0,79,0.00193756727664155,0.0003914277326548586,0.6379489186808885
MAIN_Q25_M_P70,2016-10-31 13:15:00+08:00,71066,40333,16198,9137,1098,1098,101,101,20,30733,13086,0,11049,7061,8039,0,997,0,81,0.0014212140826837024,0.00028142853122449556,0.567542847493879
MAIN_Q25_M_P70,2016-10-31 13:30:00+08:00,94608,66261,29534,15242,1526,1526,74,74,16,28347,23691,0,13036,14292,13716,0,1452,0,58,0.0007821748689328598,0.00016911889058007779,0.7003741755454084
MAIN_Q25_M_P70,2016-10-31 13:45:00+08:00,95633,68639,33644,14363,1272,1272,62,62,16,26994,22602,0,12393,19281,13091,0,1210,0,46,0.0006483117752240336,0.00016730626457394415,0.7177334183806845
MAIN_Q25_M_P70,2016-10-31 14:00:00+08:00,123864,87824,43067,27664,1825,1825,53,53,9,36040,27694,0,17063,15403,25839,0,1772,0,44,0.00042788865207001226,7.266033714396434e-05,0.7090357165923916
MAIN_Q25_M_P70,2016-10-31 14:15:00+08:00,114315,78954,35106,18683,1792,1792,68,68,16,35361,24562,0,19286,16423,16891,0,1724,0,52,0.0005948475703101081,0.00013996413419061366,0.6906705156803569
MAIN_Q25_M_P70,2016-10-31 14:30:00+08:00,108001,71356,36772,22596,1665,1665,37,37,10,36645,22876,0,11708,14176,20931,0,1628,0,27,0.000342589420468329,9.259173526171053e-05,0.6606975861334617
MAIN_Q25_M_P70,2016-10-31 14:45:00+08:00,113607,80101,35702,17689,1356,1356,56,56,15,33506,29512,0,14887,18013,16333,0,1300,0,41,0.0004929273724330367,0.00013203411761599198,0.7050709903439049
MAIN_Q25_M_P70,2016-10-31 15:00:00+08:00,112998,81305,35003,19041,1681,1681,51,51,14,31693,25233,0,21069,15962,17360,0,1630,0,37,0.00045133542186587375,0.00012389599815925946,0.7195260093098993
MAIN_Q25_M_P70,2016-10-31 15:15:00+08:00,107167,72089,37678,17533,1472,1472,59,59,14,35078,17364,0,17047,20145,16061,0,1413,0,45,0.0005505426110649734,0.00013063722974423095,0.6726790896451333
MAIN_Q25_M_P70,2016-10-31 15:30:00+08:00,125788,77781,31902,15322,1277,1277,79,79,11,48007,35649,0,10230,16580,14045,0,1198,0,68,0.0006280408306038732,8.744872324864056e-05,0.6183499220911375
MAIN_Q25_M_P70,2016-10-31 15:45:00+08:00,133388,90325,37604,21017,1594,1594,74,74,12,43063,31990,0,20731,16587,19423,0,1520,0,62,0.0005547725432572645,8.996311512279965e-05,0.6771598644555732
MAIN_Q25_M_P70,2016-10-31 16:00:00+08:00,135767,86546,41789,25294,1671,1671,57,57,10,49221,29756,0,15001,16495,23623,0,1614,0,47,0.00041983692649907563,7.36556011401887e-05,0.6374597656278772
MAIN_Q25_M_P70,2016-10-31 16:15:00+08:00,154294,102573,56116,31387,1274,1274,31,31,9,51721,32401,0,14056,24729,30113,0,1243,0,22,0.0002009151360389905,5.833020078551337e-05,0.6647892983524959
MAIN_Q25_M_P70,2016-10-31 16:30:00+08:00,139949,108282,51014,30463,1252,1252,53,53,8,31667,34718,0,22550,20551,29211,0,1199,0,45,0.00037870938699097526,5.7163681055241555e-05,0.7737247140029582
MAIN_Q25_M_P70,2016-10-31 16:45:00+08:00,147463,110020,49390,29210,1538,1538,70,70,13,37443,39368,0,21262,20180,27672,0,1468,0,57,0.00047469534730746016,8.815770735709975e-05,0.7460854587252396
MAIN_Q25_M_P70,2016-10-31 17:00:00+08:00,158533,109806,49983,30477,1548,1548,47,47,17,48727,35808,0,24015,19506,28929,0,1501,0,30,0.00029646824320488476,0.000107233194350703,0.6926381258160762
MAIN_Q25_M_P70,2016-10-31 17:15:00+08:00,144759,98552,51189,25966,1353,1353,45,45,10,46207,27341,0,20022,25223,24613,0,1308,0,35,0.00031086150083932607,6.908033351985023e-05,0.6808005029048281
MAIN_Q25_M_P70,2016-10-31 17:30:00+08:00,118852,79209,37460,20566,1130,1130,40,40,10,39643,26957,0,14792,16894,19436,0,1090,0,30,0.00033655302392892,8.413825598223e-05,0.6664507118096457
MAIN_Q25_M_P70,2016-10-31 17:45:00+08:00,174427,122729,60946,32069,1414,1414,16,16,7,51698,44424,0,17359,28877,30655,0,1398,0,9,9.17289181147414e-05,4.013140167519937e-05,0.7036123994565061
MAIN_Q25_M_P70,2016-10-31 18:00:00+08:00,162491,106701,52247,25768,1552,1552,50,50,11,55790,36807,0,17647,26479,24216,0,1502,0,39,0.0003077093500563108,6.769605701238838e-05,0.6566579072071684
MAIN_Q25_M_P70,2016-10-31 18:15:00+08:00,127038,83974,43464,16631,852,852,14,14,2,43064,25114,0,15396,26833,15779,0,838,0,12,0.00011020324627276878,1.5743320896109826e-05,0.6610148144649632
MAIN_Q25_M_P70,2016-10-31 18:30:00+08:00,131231,89233,44339,24453,1411,1411,30,30,8,41998,34087,0,10807,19886,23042,0,1381,0,22,0.00022860452179744115,6.0961205812650974e-05,0.6799689097850355
MAIN_Q25_M_P70,2016-10-31 18:45:00+08:00,141276,97035,43492,27183,1505,1505,26,26,10,44241,30391,0,23152,16309,25678,0,1479,0,16,0.00018403692063761714,7.078343101446814e-05,0.6868470228488915
MAIN_Q25_M_P70,2016-10-31 19:00:00+08:00,152287,104298,59662,29673,1692,1692,50,50,11,47989,29251,0,15385,29989,27981,0,1642,0,39,0.00032832743438376225,7.223203556442769e-05,0.6848778950271527
MAIN_Q25_M_P70,2016-10-31 19:15:00+08:00,141983,85524,50165,27675,1431,1431,36,36,9,56459,22429,0,12930,22490,26244,0,1395,0,27,0.0002535514815153927,6.338787037884817e-05,0.6023538029200679
MAIN_Q25_M_P70,2016-10-31 19:30:00+08:00,132693,90329,48667,27115,1648,1648,73,73,11,42364,27121,0,14541,21552,25467,0,1575,0,62,0.0005501420572298463,8.289811821271657e-05,0.6807367381851341
MAIN_Q25_M_P70,2016-10-31 19:45:00+08:00,117515,76903,37968,21797,1546,1546,39,39,9,40612,24574,0,14361,16171,20251,0,1507,0,30,0.00033187252691145813,7.658596774879802e-05,0.654410075309535
MAIN_Q25_M_P70,2016-10-31 20:00:00+08:00,98720,73840,35084,22431,1354,1354,83,83,15,24880,22190,0,16566,12653,21077,0,1271,0,68,0.0008407617504051864,0.00015194489465153972,0.7479740680713128
MAIN_Q25_M_P70,2016-10-31 20:15:00+08:00,78229,50245,26145,12997,1002,1002,74,74,18,27984,14663,0,9437,13148,11995,0,928,0,56,0.0009459407636554219,0.00023009369926753505,0.6422809955387389
MAIN_Q25_M_P70,2016-10-31 20:30:00+08:00,82134,58445,26432,13024,984,984,49,49,9,23689,22544,0,9469,13408,12040,0,935,0,40,0.0005965860666715368,0.00010957703265395574,0.7115810748289381
MAIN_Q25_M_P70,2016-10-31 20:45:00+08:00,109206,75293,34260,19087,1464,1464,60,60,19,33913,27349,0,13684,15173,17623,0,1404,0,41,0.0005494203615185978,0.00017398311448088932,0.6894584546636632
MAIN_Q25_M_P70,2016-10-31 21:00:00+08:00,117537,86690,40869,23699,1752,1752,55,55,12,30847,30367,0,15454,17170,21947,0,1697,0,43,0.00046793775577052334,0.00010209551034993236,0.737554982686303
MAIN_Q25_M_P70,2016-10-31 21:15:00+08:00,123701,84000,37804,18979,1163,1163,39,39,4,39701,29480,0,16716,18825,17816,0,1124,0,35,0.00031527635184840867,3.233603608701627e-05,0.6790567578273418
MAIN_Q25_M_P70,2016-10-31 21:30:00+08:00,96558,61317,37876,23111,1466,1466,88,88,14,35241,16717,0,6724,14765,21645,0,1378,0,74,0.000911369332421964,0.0001449905756125852,0.6350276517740633
MAIN_Q25_M_P70,2016-10-31 21:45:00+08:00,98932,71580,38309,17859,1470,1470,43,43,12,27352,19088,0,14183,20450,16389,0,1427,0,31,0.00043464197630695833,0.00012129543524845349,0.723527271257025
MAIN_Q25_M_P70,2016-10-31 22:00:00+08:00,132477,91994,42505,19739,1422,1422,53,53,9,40483,34268,0,15221,22766,18317,0,1369,0,44,0.00040006944601704445,6.793632102176227e-05,0.6944148795639998
MAIN_Q25_M_P70,2016-10-31 22:15:00+08:00,88760,67211,34773,17101,1412,1412,42,42,6,21549,18889,0,13549,17672,15689,0,1370,0,36,0.00047318611987381704,6.7598017124831e-05,0.7572217214961694
MAIN_Q25_M_P70,2016-10-31 22:30:00+08:00,69185,43740,24639,13209,1110,1110,84,84,17,25445,12258,0,6843,11430,12099,0,1026,0,67,0.0012141360121413602,0.00024571800245718004,0.6322179663221796
MAIN_Q25_M_P70,2016-10-31 22:45:00+08:00,77320,48871,17771,7954,877,877,66,66,11,28449,20537,0,10563,9817,7077,0,811,0,55,0.0008535954474909467,0.00014226590791515778,0.6320615623383342
MAIN_Q25_M_P70,2016-10-31 23:00:00+08:00,51372,34055,16484,7988,735,735,53,53,6,17317,9076,0,8495,8496,7253,0,682,0,47,0.0010316904150120688,0.000116795141322121,0.6629097562874717
MAIN_Q25_M_P70,2016-10-31 23:15:00+08:00,49875,34697,11080,5361,690,690,94,94,15,15178,18178,0,5439,5719,4671,0,596,0,79,0.0018847117794486216,0.0003007518796992481,0.6956791979949875
MAIN_Q25_M_P70,2016-10-31 23:30:00+08:00,63876,43504,16662,7656,962,962,56,56,8,20372,16834,0,10008,9006,6694,0,906,0,48,0.0008766986035443672,0.00012524265764919532,0.6810695722963241
MAIN_Q25_M_P70,2016-10-31 23:45:00+08:00,109797,76989,44503,24474,2357,2357,109,109,26,32808,20376,0,12110,20029,22117,0,2248,0,83,0.0009927411495760357,0.0002368006411832746,0.7011940216945818
MAIN_Q25_M_P70,2016-11-01 00:00:00+08:00,20796,12528,9802,8102,1499,1499,0,0,0,8268,624,0,2102,1700,6603,0,1499,0,0,0.0,0.0,0.6024235429890363
MAIN_Q50_M_P70,2016-10-31 00:00:00+08:00,29552,19750,6449,470,329,329,231,231,18,9802,9752,0,3549,5979,141,0,98,0,213,0.00781672983216026,0.0006090958310774228,0.6683134813210612
MAIN_Q50_M_P70,2016-10-31 00:15:00+08:00,66722,42039,10664,716,469,469,350,350,26,24683,19954,0,11421,9948,247,0,119,0,324,0.005245646113725608,0.00038967656844818803,0.6300620484997452
MAIN_Q50_M_P70,2016-10-31 00:30:00+08:00,59768,35433,11372,2177,449,449,203,203,16,24335,17973,0,6088,9195,1728,0,246,0,187,0.0033964663365011376,0.0002677017802168384,0.5928423236514523
MAIN_Q50_M_P70,2016-10-31 00:45:00+08:00,51508,36525,9517,371,240,240,200,200,13,14983,18478,0,8530,9146,131,0,40,0,187,0.0038828919779451735,0.0002523879785664363,0.7091131474722373
MAIN_Q50_M_P70,2016-10-31 01:00:00+08:00,50338,33869,14658,778,336,336,173,173,15,16469,13045,0,6166,13880,442,0,163,0,158,0.003436767452024316,0.0002979856172275418,0.6728316579919743
MAIN_Q50_M_P70,2016-10-31 01:15:00+08:00,50734,38977,13987,1377,322,322,111,111,11,11757,20112,0,4878,12610,1055,0,211,0,100,0.00218788189379903,0.0002168171246107147,0.7682619150865297
MAIN_Q50_M_P70,2016-10-31 01:30:00+08:00,37338,23038,6187,292,160,160,105,105,9,14300,8588,0,8263,5895,132,0,55,0,96,0.00281214848143982,0.00024104129840912743,0.6170121591943865
MAIN_Q50_M_P70,2016-10-31 01:45:00+08:00,26147,17848,2199,258,151,151,89,89,8,8299,10161,0,5488,1941,107,0,62,0,81,0.003403832179599954,0.00030596244311010824,0.6826022105786514
MAIN_Q50_M_P70,2016-10-31 02:00:00+08:00,42285,28267,5656,294,200,200,144,144,12,14018,20995,0,1616,5362,94,0,56,0,132,0.003405462930117063,0.00028378857750975523,0.6684876433723542
MAIN_Q50_M_P70,2016-10-31 02:15:00+08:00,28526,22286,5551,437,249,249,168,168,14,6240,8267,0,8468,5114,188,0,81,0,154,0.0058893640889013535,0.0004907803407417794,0.781252190983664
MAIN_Q50_M_P70,2016-10-31 02:30:00+08:00,24747,15824,9153,126,86,86,41,41,5,8923,4471,0,2200,9027,40,0,45,0,36,0.001656766476744656,0.00020204469228593365,0.6394310421465228
MAIN_Q50_M_P70,2016-10-31 02:45:00+08:00,26395,17319,5195,135,84,84,56,56,4,9076,6281,0,5843,5060,51,0,28,0,52,0.002121613942034476,0.00015154385300246258,0.6561469975374123
MAIN_Q50_M_P70,2016-10-31 03:00:00+08:00,43493,30791,6131,207,144,144,105,105,7,12702,19839,0,4821,5924,63,0,39,0,98,0.002414181592440163,0.00016094543949601086,0.7079530039316672
MAIN_Q50_M_P70,2016-10-31 03:15:00+08:00,31602,27619,6185,2018,286,286,64,64,5,3983,15206,0,6228,4167,1732,0,222,0,59,0.002025188279222834,0.0001582178343142839,0.8739636731852415
