scenario_id,experiment_block,requested_q_A,profile_id,acceptance_probability,acceptance_seed,gamma_policy,gamma_static,gamma_dynamic,gamma_speed,cost_enabled,eta_cost_av_to_hv,pickup_cost_epsilon,benchmark_flag,reuse_source_scenario_id,scientific_role,H_base_exact,achieved_q_A,AV_vehicle_count,target_HV_vehicle_hours,achieved_HV_vehicle_hours,HV_vehicle_hour_error_pct,selected_HV_session_count
MAIN_Q75_M_P100,MAIN_STRUCTURAL,0.75,M,1.0,20260827,UNCONSTRAINED,,,,False,1.0,0.0,False,,mixed_fleet_transition,12279.336388888889,0.7505291579387965,384,3063.336388888889,3080.8361111111108,0.5712634853193265,2101
MAIN_Q75_A_P40,MAIN_STRUCTURAL,0.75,A,0.4,20260827,UNCONSTRAINED,,,,False,1.0,0.0,False,,mixed_fleet_transition,12279.336388888889,0.7505291579387965,384,3063.336388888889,3080.8361111111108,0.5712634853193265,2101
MAIN_Q75_A_P70,MAIN_STRUCTURAL,0.75,A,0.7,20260827,UNCONSTRAINED,,,,False,1.0,0.0,False,,mixed_fleet_transition,12279.336388888889,0.7505291579387965,384,3063.336388888889,3080.8361111111108,0.5712634853193265,2101
MAIN_Q75_A_P100,MAIN_STRUCTURAL,0.75,A,1.0,20260827,UNCONSTRAINED,,,,False,1.0,0.0,False,,mixed_fleet_transition,12279.336388888889,0.7505291579387965,384,3063.336388888889,3080.8361111111108,0.5712634853193265,2101
BENCH_HV,BENCHMARK,0.0,M,1.0,20260827,UNCONSTRAINED,,,,False,1.0,0.0,True,,all_hv_benchmark_profile_and_acceptance_inactive,12279.336388888889,0.0,0,12279.336388888889,12279.336388888889,0.0,8435
BENCH_AV_C,BENCHMARK,1.0,C,1.0,20260827,UNCONSTRAINED,,,,False,1.0,0.0,True,,all_av_capability_upper_bound,12279.336388888889,1.0007055439183954,512,0.0,0.0,0.0,0
BENCH_AV_M,BENCHMARK,1.0,M,1.0,20260827,UNCONSTRAINED,,,,False,1.0,0.0,True,,all_av_capability_upper_bound,12279.336388888889,1.0007055439183954,512,0.0,0.0,0.0,0
BENCH_AV_A,BENCHMARK,1.0,A,1.0,20260827,UNCONSTRAINED,,,,False,1.0,0.0,True,,all_av_capability_upper_bound,12279.336388888889,1.0007055439183954,512,0.0,0.0,0.0,0
ODD_Q50_M_P70_STRICT,ODD_POLICY,0.5,M,0.7,20260827,STRICT,0.0,0.0,0.0,False,1.0,0.0,False,,joint_three_family_exposure_policy,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
ODD_Q50_M_P70_REFERENCE,ODD_POLICY,0.5,M,0.7,20260827,REFERENCE,2.145067625590382,0.14934256810554178,0.0,False,1.0,0.0,False,,joint_three_family_exposure_policy,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
ODD_Q50_M_P70_UNCONSTRAINED,ODD_POLICY,0.5,M,0.7,20260827,UNCONSTRAINED,,,,False,1.0,0.0,False,MAIN_Q50_M_P70,unconstrained_odd_policy_reference_reused_from_main,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA050_EPS000,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,0.5,0.0,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA050_EPS005,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,0.5,0.05,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA075_EPS000,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,0.75,0.0,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA075_EPS005,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,0.75,0.05,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA100_EPS000,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,1.0,0.0,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA100_EPS005,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,1.0,0.05,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA125_EPS000,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,1.25,0.0,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
COST_Q50_M_P70_ETA125_EPS005,COST_ROBUSTNESS,0.5,M,0.7,20260827,UNCONSTRAINED,,,,True,1.25,0.05,False,,normalized_operating_cost_robustness,12279.336388888889,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188
