date,order_id,transition_index,from_link_id,to_link_id,bridge_found,bridge_repairable,bridge_distance_m,bridge_link_count,bridge_node_path,bridge_reason
20161023,2851a1026f486cdd1b613d6fde12434a,2,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2851a1026f486cdd1b613d6fde12434a,3,457983472_10329__n0,258248021_10327__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2851a1026f486cdd1b613d6fde12434a,4,258248021_10327__n0,457983491_10324__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2851a1026f486cdd1b613d6fde12434a,5,457983491_10324__n0,457983477_10205__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2851a1026f486cdd1b613d6fde12434a,8,460338576_10200__n0,447556692_10186__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2ca1f93752cdd4e6007723ff67218789,15,447556655_10144__n0,59140289_10148__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2ca1f93752cdd4e6007723ff67218789,16,59140289_10148__n0,263769956_10146__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,31fb79b415b91514cb72b07fed464ff1,14,334802604_9025__n0,378402213_9030__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,31fb79b415b91514cb72b07fed464ff1,16,293499685_9031__n2,266583966_9450__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,31fb79b415b91514cb72b07fed464ff1,18,231866341_9467__n0,266583965_9473__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,31fb79b415b91514cb72b07fed464ff1,19,266583965_9473__n0,266583967_9290__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,31fb79b415b91514cb72b07fed464ff1,20,266583967_9290__n0,335518756_9485__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3683809b94b66a77aeeddeed6f05afcb,22,266577945_3892__n6,447556667_3885__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3683809b94b66a77aeeddeed6f05afcb,23,447556667_3885__n0,266577952_2713__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,38d4b76a45c466a5ec2c22c19d34331a,9,447556678_4223__n2,333403959_4222__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,38d4b76a45c466a5ec2c22c19d34331a,14,333403958_4190__n2,446811235_4189__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,38d4b76a45c466a5ec2c22c19d34331a,35,48795850_3950__n7,277672360_2721__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,38d4b76a45c466a5ec2c22c19d34331a,36,277672360_2721__n0,28258007_2668__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3aceb7861d4fc13b2a9fc10debd7c3e3,14,381956608_8924__n2,293499685_9031__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3aceb7861d4fc13b2a9fc10debd7c3e3,17,293499685_9031__n2,266583966_9450__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3c9597809ab5f22e95e075506f77ea1f,2,335525201_10190__n2,264110603_10196__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3c9597809ab5f22e95e075506f77ea1f,5,457983489_10211__n0,264110607_10341__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3c9597809ab5f22e95e075506f77ea1f,8,457983491_10324__n0,457983477_10205__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3c9597809ab5f22e95e075506f77ea1f,11,460338576_10200__n0,447556692_10186__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3ec6147c7374ef4928278b5c6b81635c,3,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3ec6147c7374ef4928278b5c6b81635c,4,152427999_2561__n0,381429051_2533__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,6,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,7,152427999_2561__n0,381429051_2533__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,15,152427993_8794__n3,155248440_8810__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,16,155248440_8810__n0,263738592_8824__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,17,263738592_8824__n0,152428008_8842__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,18,152428008_8842__n0,263738594_8839__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,19,263738594_8839__n0,152427983_8844__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,33,263486164_8865__n0,152427983_8844__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,43,381956608_8924__n2,293499685_9031__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4ba6f5d5a93e070a9ba46518480a7cce,1,337129350_9474__n1,335518752_9287__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4ba6f5d5a93e070a9ba46518480a7cce,2,335518752_9287__n0,335518753_9286__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,4ba6f5d5a93e070a9ba46518480a7cce,19,334283251_3832__n0,447556665_3836__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4ba6f5d5a93e070a9ba46518480a7cce,20,447556665_3836__n0,266795179_4103__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,13,152427995_2559__n0,263485693_2557__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,22,152427993_8794__n3,264453197_8806__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,23,264453197_8806__n0,152427989_8811__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,24,152427989_8811__n0,263738592_8824__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,25,263738592_8824__n0,152428005_8827__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,30,335697692_8840__n1,152427722_8872__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4d5c36ca0a817bb32263e212b624bdc1,12,28258924_2310__n4,381429050_2567__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4d5c36ca0a817bb32263e212b624bdc1,13,381429050_2567__n0,89567410_2603__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5165dcd2b1cad3453dd52a085c7d1546,1,335518776_10096__n2,156592804_10093__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5165dcd2b1cad3453dd52a085c7d1546,2,156592804_10093__n0,335518776_10096__n2,False,False,,,,no_directed_path_within_distance_cap
20161023,53cdfdf6b4888e7888a02329d6294652,4,142321461_4411__n11,266957158_4432__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,53cdfdf6b4888e7888a02329d6294652,5,266957158_4432__n0,266957157_4431__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5427e1237f31c373c553d9fb8a79c3ca,4,335518753_9286__n1,335518752_9287__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5427e1237f31c373c553d9fb8a79c3ca,5,335518752_9287__n0,335518756_9485__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5427e1237f31c373c553d9fb8a79c3ca,8,335518757_9490__n0,266583951_9494__n0,False,False,,,,no_directed_path_within_distance_cap
