order_id,gps_interval_time_sec,gps_interval_distance_m,raw_start_time,raw_end_time,traversal_time_sec,traversal_distance_m,negative_traversal_time,negative_traversal_distance,date,time_allocation_error_sec,distance_allocation_error_m,relative_time_error,relative_distance_error,raw_elapsed_time_sec,movement_time_allocated_sec
0912c51e4a213a58b1248f6fdfb7425b,1346.0,8555.68170321328,1476885017,1476886363,1346.0,8555.681703213282,0,0,20161019,0.0,1.8189894035458565e-12,0.0,2.1260601628771366e-16,1346,0.0
09df469ec1e15ed8c8d74c2ad29a82f3,935.0,7452.722229626097,1476849782,1476850717,935.0,7452.722229626097,0,0,20161019,0.0,0.0,0.0,0.0,935,0.0
09ffcfcb971132435f0c14ce9562f54e,75.0,533.7120319384156,1476861858,1476861933,75.0,533.7120319384156,0,0,20161019,0.0,0.0,0.0,0.0,75,0.0
0a074b0a1a46b5c57a738a4a3450ff2a,785.0,6245.645923779409,1476848049,1476848834,785.0,6245.645923779408,0,0,20161019,0.0,-9.094947017729282e-13,0.0,1.4562059919377698e-16,785,0.0
0a174e512a511228a2867b844fb266af,1167.0,6646.8916199263585,1476882040,1476883207,1167.0,6646.8916199263585,0,0,20161019,0.0,0.0,0.0,0.0,1167,0.0
0a39c0cfb09e06451867270d77ce6890,811.0,4610.774394342902,1476862244,1476863055,811.0,4610.774394342902,0,0,20161019,0.0,0.0,0.0,0.0,811,0.0
0ad346e6632cfe384ee78450a5132485,567.0,5342.924285931965,1476827296,1476827863,567.0,5342.924285931966,0,0,20161019,0.0,9.094947017729282e-13,0.0,1.7022414189316653e-16,567,0.0
0b373aa2bc01bc21e86d35a4185a6ddb,421.0,2555.1225699113033,1476871708,1476872129,421.0,2555.122569911304,0,0,20161019,0.0,4.547473508864641e-13,0.0,1.7797476968091197e-16,421,0.0
0b452348d3a2adc953c6d19c1ff80100,538.0,2298.0826323317087,1476851029,1476851567,538.0,2298.0826323317087,0,0,20161019,0.0,0.0,0.0,0.0,538,0.0
0b78c92402c571e00fcfbaa76c744763,586.0,2662.4025167343566,1476843598,1476844184,586.0,2662.4025167343566,0,0,20161019,0.0,0.0,0.0,0.0,586,0.0
0bd453e937f3462a2cdba1f29875f884,2084.0,11270.57013087626,1476831345,1476833429,2084.0,11270.57013087626,0,0,20161019,0.0,0.0,0.0,0.0,2084,0.0
0c0ad0bcd5ce60d662c99901804eaa09,417.0,2737.113515850729,1476863357,1476863774,417.0,2737.113515850729,0,0,20161019,0.0,0.0,0.0,0.0,417,0.0
0c7345de747db8c44a8433d052ae9685,1344.0,9897.36534653453,1476884924,1476886268,1344.0,9897.365346534532,0,0,20161019,0.0,1.8189894035458565e-12,0.0,1.837852135248052e-16,1344,0.0
0c9217e79bd9e00209875873f6378105,347.0,1788.0835520507696,1476881619,1476881966,347.0,1788.0835520507696,0,0,20161019,0.0,0.0,0.0,0.0,347,0.0
0d2dd0c9cde40a63e15b8700a4ed656d,380.0,1147.0162437165673,1476857409,1476857789,380.0,1147.0162437165673,0,0,20161019,0.0,0.0,0.0,0.0,380,0.0
0d4c7b69b9dac17dbb4d150795c73a01,478.0,3450.4149286263823,1476835898,1476836376,478.0,3450.4149286263823,0,0,20161019,0.0,0.0,0.0,0.0,478,0.0
0d6f4bb7240ad5bbcfdc4373804f6d37,196.0,2158.300574292234,1476863784,1476863980,196.0,2158.300574292234,0,0,20161019,0.0,0.0,0.0,0.0,196,0.0
0e0a0340439fc45f28972fb8fabe66b2,1204.0,5013.367609835441,1476886665,1476887869,1204.0,5013.367609835441,0,0,20161019,0.0,0.0,0.0,0.0,1204,0.0
0e19340f4580d59408f9ca0ebe696c9c,660.0,2503.184186089657,1476869939,1476870599,660.0,2503.184186089657,0,0,20161019,0.0,0.0,0.0,0.0,660,0.0
0e694f1a5d35319e788973febaa3a00e,258.0,2516.624738982419,1476817863,1476818121,258.0,2516.624738982419,0,0,20161019,0.0,0.0,0.0,0.0,258,0.0
0e9ece4d02340541c2944b3c7bc088f7,630.0,2677.108701681775,1476869088,1476869718,630.0,2677.108701681775,0,0,20161019,0.0,0.0,0.0,0.0,630,0.0
0ebed35816942e9a5990013015cf7a5d,932.0,6263.589487340255,1476873573,1476874505,932.0,6263.589487340255,0,0,20161019,0.0,0.0,0.0,0.0,932,0.0
0ecbcd5a80d4f1e8c2c7cb819edcdcba,476.0,1905.1520875059973,1476877153,1476877629,476.0,1905.1520875059975,0,0,20161019,0.0,2.2737367544323206e-13,0.0,1.1934673191413455e-16,476,0.0
0f7b9ccd87b0217dc103c909c0d73ab6,1085.0,4962.774712626287,1476876295,1476877380,1085.0,4962.774712626287,0,0,20161019,0.0,0.0,0.0,0.0,1085,0.0
0f8ed7bdcb7d690daab23a081ce6b707,314.0,1579.5577112611752,1476869713,1476870027,314.0,1579.5577112611752,0,0,20161019,0.0,0.0,0.0,0.0,314,0.0
0fac109f86bf6c52882d8ba5ffd861f5,586.0,2261.746776856253,1476844799,1476845385,586.0,2261.746776856253,0,0,20161019,0.0,0.0,0.0,0.0,586,0.0
1007b0f0c9d96e9a68ac1dccb7baf866,447.0,1885.791524097352,1476833822,1476834269,447.0,1885.791524097352,0,0,20161019,0.0,0.0,0.0,0.0,447,0.0
1023ffa1bbce4805639338f90a051590,300.0,1270.6218282293607,1476861710,1476862010,300.0,1270.6218282293607,0,0,20161019,0.0,0.0,0.0,0.0,300,0.0
102a605bb178cc3802fdac1e1914896a,813.0,8361.950785040193,1476859195,1476860008,813.0,8361.950785040193,0,0,20161019,0.0,0.0,0.0,0.0,813,0.0
10b839ec15ba03092f3f538fe0fc9f17,908.0,5049.874367142784,1476882470,1476883378,908.0,5049.874367142784,0,0,20161019,0.0,0.0,0.0,0.0,908,0.0
10b949601fdf526eb45adbc62816f396,1463.0,5622.715788544092,1476835254,1476836717,1463.0,5622.715788544092,0,0,20161019,0.0,0.0,0.0,0.0,1463,0.0
10dda032c86bcce1a71737acf01ce34b,468.0,2404.0594526995887,1476860818,1476861286,468.0,2404.0594526995883,0,0,20161019,0.0,-4.547473508864641e-13,0.0,1.8915811352993578e-16,468,0.0
1114cd676820e192d409029179b06c72,240.0,1310.9024543834955,1476835897,1476836137,240.0,1310.9024543834955,0,0,20161019,0.0,0.0,0.0,0.0,240,0.0
1123d0e313a7919514dbfed35ef57f49,138.0,275.78016464023415,1476834972,1476835110,138.0,275.78016464023415,0,0,20161019,0.0,0.0,0.0,0.0,138,0.0
11d59ffe092d5c42fc642e64a8b30567,468.0,2575.446099763999,1476856457,1476856925,468.0,2575.446099763999,0,0,20161019,0.0,0.0,0.0,0.0,468,0.0
129bcc433f492f51a5e36f39c4667709,661.0,4899.656750137189,1476858937,1476859598,661.0,4899.656750137189,0,0,20161019,0.0,0.0,0.0,0.0,661,0.0
12b610d0b0f7d9f39fdbef635f512f38,541.0,2584.7989296509663,1476857805,1476858346,541.0,2584.7989296509663,0,0,20161019,0.0,0.0,0.0,0.0,541,0.0
12f23efffa5e52b8f5cff448558a9c1b,926.0,5344.733019101486,1476887887,1476888813,926.0,5344.733019101485,0,0,20161019,0.0,-9.094947017729282e-13,0.0,1.7016653563844901e-16,926,0.0
132143902bf1937c25abb0ddaf3ad31f,1181.0,6808.576652229549,1476845933,1476847114,1181.0,6808.576652229549,0,0,20161019,0.0,0.0,0.0,0.0,1181,0.0
134dbaef6d319c66d48361e46db8146d,615.0,2657.9739395105767,1476839504,1476840119,615.0,2657.9739395105767,0,0,20161019,0.0,0.0,0.0,0.0,615,0.0
136563e44df32479fbe3439e44f9db69,565.0,3015.170671974984,1476857781,1476858346,565.0,3015.170671974984,0,0,20161019,0.0,0.0,0.0,0.0,565,0.0
