date,order_id,from_link_id,to_link_id,reason
20161019,10b949601fdf526eb45adbc62816f396,290629742_2712,59140309_2692,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,59140309_2692,247811774_2691,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,247811774_2691,290629737_2664,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,290629737_2664,187184112_2679,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,187184112_2679,187184116_2655,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,187184116_2655,310063377_2687,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,28461936_2686,187184122_2652,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,187184122_2652,187184131_2651,flagged_direction_gap
20161019,10b949601fdf526eb45adbc62816f396,187184131_2651,335518633_2650,flagged_direction_gap
20161019,18560c9726e3423f1f46ae178311fc06,278244726_2646,335518633_2650,flagged_direction_gap
20161019,18560c9726e3423f1f46ae178311fc06,381473317_2629,162532768_2499,flagged_direction_gap
20161019,18560c9726e3423f1f46ae178311fc06,162532768_2499,258738965_2521,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,30525582_2363,212724759_2361,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,212724759_2361,55696746_2360,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,55696746_2360,334648915_2358,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,334648915_2358,335527364_2362,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,152428516_2373,162532783_2416,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,162532783_2416,162532761_2422,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,162532761_2422,162532768_2499,flagged_direction_gap
20161019,18e5b589c40096211a03fdf11e6ab22e,162658756_2525,310063377_2687,flagged_direction_gap
