date,overlap_orders,status,lcs_mean_delta,lcs_spearman,iis_mean_delta,iis_spearman,gns_mean_delta,gns_spearman,rts_mean_delta,rts_spearman,pmis_mean_delta,pmis_spearman
20161019,1000,COMPARED,0.1183925981605945,0.6165815193225823,0.0702746135143437,0.3031009260046654,-0.2380884584201318,0.0284336786298741,0.0469585975856897,0.4937600809479404,0.1162757873506952,0.5884533742409818
20161020,1000,COMPARED,0.120253104820233,0.6157954004579591,0.0522252178314729,0.1975714657878252,-0.2443809431403303,0.0212836749402471,0.0642752199402114,0.4881300701533119,0.1245580094360635,0.5218230510063425
20161022,1000,COMPARED,0.1256830750286263,0.6109360675922327,0.0641994955463943,0.2649786669214649,-0.238939302575674,-0.0272703842473505,0.0962446966221877,0.5122595859588859,0.1391944046400613,0.5121321508600808
20161023,1000,COMPARED,0.1297734161751985,0.572679590810951,0.0702479441582864,0.2231971097309072,-0.2359400659727153,0.0081983832675328,0.0583519621600578,0.5446167591920847,0.1316802598963756,0.5686038401292933
