arc_id,routing_mode,batch_size,focal_source_position,repeat_id,success,raw_time_s,distance_m,returned_source_count,returned_target_count,failure_reason
92e1b3db977f88671bd4,SCALAR_ROUTE,1,ONLY,0,True,60.804,522.0,1,1,
92e1b3db977f88671bd4,SINGLE_SOURCE_MATRIX,1,ONLY,0,True,60.0,522.0,1,1,
92e1b3db977f88671bd4,SCALAR_ROUTE,1,ONLY,1,True,60.804,522.0,1,1,
92e1b3db977f88671bd4,SINGLE_SOURCE_MATRIX,1,ONLY,1,True,60.0,522.0,1,1,
92e1b3db977f88671bd4,SCALAR_ROUTE,1,ONLY,2,True,60.804,522.0,1,1,
92e1b3db977f88671bd4,SINGLE_SOURCE_MATRIX,1,ONLY,2,True,60.0,522.0,1,1,
92e1b3db977f88671bd4,SCALAR_ROUTE,1,ONLY,3,True,60.804,522.0,1,1,
92e1b3db977f88671bd4,SINGLE_SOURCE_MATRIX,1,ONLY,3,True,60.0,522.0,1,1,
92e1b3db977f88671bd4,SCALAR_ROUTE,1,ONLY,4,True,60.804,522.0,1,1,
92e1b3db977f88671bd4,SINGLE_SOURCE_MATRIX,1,ONLY,4,True,60.0,522.0,1,1,
0ef535a24cd8a41c2b3b,SCALAR_ROUTE,1,ONLY,0,True,48.857,630.0,1,1,
0ef535a24cd8a41c2b3b,SINGLE_SOURCE_MATRIX,1,ONLY,0,True,48.0,631.0,1,1,
0ef535a24cd8a41c2b3b,SCALAR_ROUTE,1,ONLY,1,True,48.857,630.0,1,1,
0ef535a24cd8a41c2b3b,SINGLE_SOURCE_MATRIX,1,ONLY,1,True,48.0,631.0,1,1,
0ef535a24cd8a41c2b3b,SCALAR_ROUTE,1,ONLY,2,True,48.857,630.0,1,1,
0ef535a24cd8a41c2b3b,SINGLE_SOURCE_MATRIX,1,ONLY,2,True,48.0,631.0,1,1,
0ef535a24cd8a41c2b3b,SCALAR_ROUTE,1,ONLY,3,True,48.857,630.0,1,1,
0ef535a24cd8a41c2b3b,SINGLE_SOURCE_MATRIX,1,ONLY,3,True,48.0,631.0,1,1,
0ef535a24cd8a41c2b3b,SCALAR_ROUTE,1,ONLY,4,True,48.857,630.0,1,1,
0ef535a24cd8a41c2b3b,SINGLE_SOURCE_MATRIX,1,ONLY,4,True,48.0,631.0,1,1,
1a6714a7a4b55ee76245,SCALAR_ROUTE,1,ONLY,0,True,64.393,353.0,1,1,
1a6714a7a4b55ee76245,SINGLE_SOURCE_MATRIX,1,ONLY,0,True,64.0,353.0,1,1,
1a6714a7a4b55ee76245,SCALAR_ROUTE,1,ONLY,1,True,64.393,353.0,1,1,
