split,date,target,quantile,empirical_coverage,coverage_error,pinball_loss,count
validation_model,20161021,pace_sec_per_m,0.5,0.5353719001541534,0.03537190015415337,0.014267408273551368,245859
validation_model,20161021,pace_sec_per_m,0.9,0.9190104897522564,0.019010489752256388,0.008183187267824509,245859
validation_model,20161021,pace_sec_per_m,0.95,0.9594360995529958,0.009436099552995847,0.005400516541046487,245859
validation_model,20161022,pace_sec_per_m,0.5,0.5254115519441107,0.02541155194411071,0.015013328360455776,242193
validation_model,20161022,pace_sec_per_m,0.9,0.9176937401163535,0.017693740116353496,0.009037287661504445,242193
validation_model,20161022,pace_sec_per_m,0.95,0.9579715350980417,0.007971535098041715,0.0062214394413953,242193
calibration,20161023,pace_sec_per_m,0.5,0.5533268000611977,0.05332680006119772,0.013768400061231102,241839
calibration,20161023,pace_sec_per_m,0.9,0.9245655167280712,0.02456551672807117,0.007949678324181478,241839
calibration,20161023,pace_sec_per_m,0.95,0.9622517459963034,0.01225174599630341,0.005273702951157183,241839
evaluation,20161024,pace_sec_per_m,0.5,0.5452804296947349,0.04528042969473489,0.014307803961513314,237564
evaluation,20161024,pace_sec_per_m,0.9,0.9240541496186291,0.02405414961862906,0.008336436957336194,237564
evaluation,20161024,pace_sec_per_m,0.95,0.9618376521695207,0.011837652169520707,0.005579868326466574,237564
evaluation,20161025,pace_sec_per_m,0.5,0.5396732518637946,0.039673251863794556,0.014650873013324338,237553
evaluation,20161025,pace_sec_per_m,0.9,0.9232381826371379,0.02323818263713784,0.00857700848354066,237553
evaluation,20161025,pace_sec_per_m,0.95,0.9616506632204181,0.01165066322041819,0.005777612209701432,237553
