split,date,left_model,right_model,left_minus_right_absolute_error,ci95,replicates,order_count
validation_model,20161021,rc_mstnet_v5_mean,hist_gradient_boosting,-0.00011771286565524268,"[-0.00017472420973805677, -6.573688535448425e-05]",500,10000
validation_model,20161022,rc_mstnet_v5_mean,hist_gradient_boosting,-0.00030684996274743444,"[-0.0003604420106062478, -0.00024813171381413303]",500,10000
calibration,20161023,rc_mstnet_v5_mean,hist_gradient_boosting,-0.00016744390708085515,"[-0.00022365242055671263, -0.0001138351674044319]",500,10000
evaluation,20161024,rc_mstnet_v5_mean,hist_gradient_boosting,-0.00010011084160201088,"[-0.00015632631887201607, -5.0470212948498065e-05]",500,10000
evaluation,20161025,rc_mstnet_v5_mean,hist_gradient_boosting,-0.00021092059126117676,"[-0.000269952034435447, -0.00015414392379219075]",500,10000
