split,date,scenario_model,scenario_count,route_count,scale,dispersion_multiplier,offset_s,mean_mae_s,mean_rmse_s,p50_coverage,p90_coverage,p95_coverage,p50_mae_s,average_interval_width_p90_minus_p50_s,average_interval_width_p95_minus_p50_s
validation_model,20161021,independent,1000,10000,1.0,1.0,0.0,238.93413094046443,368.1547694795443,0.1624,0.2222,0.2393,239.51969627571106,30.544105153274536,39.69526722476958
validation_model,20161021,shared_route_latent,1000,10000,1.0,1.0,0.0,238.96881795325734,368.17382684358756,0.1532,0.3728,0.4494,243.78546459732055,118.96732301006317,157.17821363685604
validation_model,20161021,residual_block,1000,10000,1.0,1.0,0.0,238.93473080697805,368.1584495941558,0.1617,0.241,0.2695,239.78899516296386,40.859732913360595,53.21207390691755
validation_model,20161022,independent,1000,10000,1.0,1.0,0.0,289.702279997818,458.8949249518089,0.1397,0.1972,0.2156,290.41758619766233,31.83358036090851,41.41205096679687
validation_model,20161022,shared_route_latent,1000,10000,1.0,1.0,0.0,289.66394906651306,458.8571088178325,0.1319,0.3358,0.4137,295.0811411525726,121.80265362602235,160.96225892257686
validation_model,20161022,residual_block,1000,10000,1.0,1.0,0.0,289.67714181283304,458.8740063480299,0.1396,0.2173,0.2427,290.67923883781435,42.36459320106506,55.23205147712706
calibration,20161023,independent,1000,10000,1.0,1.0,0.0,200.2130435591629,301.2427441407189,0.1908,0.2543,0.2728,200.73037268486024,29.32819676551819,38.12700507759093
calibration,20161023,shared_route_latent,1000,10000,1.0,1.0,0.0,200.23286251061572,301.2493821014343,0.1825,0.4194,0.4986,204.4135020965576,113.97551321529387,150.6056509143829
calibration,20161023,residual_block,1000,10000,1.0,1.0,0.0,200.22075405483514,301.24076646958616,0.1903,0.2759,0.306,200.98497537498474,39.306171518096924,51.15626371477125
evaluation,20161024,independent,1000,10000,1.0,1.0,0.0,243.82801440335578,374.42740693706247,0.1705,0.23,0.2496,244.4076646434784,30.409660813369754,39.55645094301223
evaluation,20161024,shared_route_latent,1000,10000,1.0,1.0,0.0,243.75027803259468,374.3826085732432,0.1619,0.3771,0.4462,248.40458079185487,116.37496346553802,153.8111816442489
evaluation,20161024,residual_block,1000,10000,1.0,1.0,0.0,243.7998854743931,374.4138488458491,0.1698,0.2518,0.2769,244.66700252285003,40.671643503875735,52.98918137760161
evaluation,20161025,independent,1000,10000,1.0,1.0,0.0,269.1673450027935,435.46064899135666,0.1624,0.2249,0.2437,269.8148994682312,31.264669766464237,40.693803177413926
evaluation,20161025,shared_route_latent,1000,10000,1.0,1.0,0.0,269.2319270259249,435.52336055517605,0.1543,0.3694,0.4389,274.18321332492826,119.0152036447525,157.33504529895777
evaluation,20161025,residual_block,1000,10000,1.0,1.0,0.0,269.15735632092094,435.4589826503616,0.1612,0.2465,0.2708,270.09558268756865,41.699143414573676,54.33156063911435
calibration,20161023,shared_route_latent_calibrated,1000,10000,1.2592889976476629,2.1999999999999997,13.222366393994946,158.03369086934617,231.7028804238172,0.5,0.8993,0.9412,158.16925272124035,315.76184154518387,417.24328619610344
evaluation,20161024,shared_route_latent_frozen_calibrated,1000,10000,1.2592889976476629,2.1999999999999997,13.222366393994946,186.73391565145377,290.1933660699944,0.4483,0.8511,0.9017,189.2280370103551,322.40936440636165,426.12400327153534
evaluation,20161025,shared_route_latent_frozen_calibrated,1000,10000,1.2592889976476629,2.1999999999999997,13.222366393994946,208.04268060630667,346.12737787713155,0.4384,0.8361,0.8899,211.3562309770037,329.7239803057922,435.8866412766231
