split,date,target,count,prevalence,average_precision,roc_auc,brier,effective_sample_size_complete_case,effective_sample_size_ipw,ipw_weight_p50,ipw_weight_p90,ipw_weight_p99,ipw_weight_max,ipw_clipped_count,complete_case_deep_mae,stabilized_ipw_deep_mae,complete_case_tree_mae,stabilized_ipw_tree_mae,available_mean_forecast_horizon_s,unavailable_mean_forecast_horizon_s,available_mean_history_support,unavailable_mean_history_support
validation_model,20161021,service_time,719805,0.3415633400712693,0.9203087210852294,0.9622881598652708,0.07255140613262256,245859,86513.80312622085,0.3911220131204694,0.8210348831760089,6.722130647120332,6.831266801425386,0,0.029284280287251815,0.032675829449821774,0.02940199315290706,0.03296651741725521,336.38287579069964,343.3395449788669,87.40624097551849,7323.868761420077
validation_model,20161022,service_time,713631,0.3393812768783867,0.913337004156246,0.9600548650606803,0.07454901822954832,242193,86678.36360763875,0.39246349805021796,0.8254784501745083,6.60775144429648,6.787625537567734,0,0.030705511998087697,0.03376471501513289,0.031012361960835132,0.034096122208226255,336.96045336352773,345.0870024049417,212.9582729476079,2863.7785520047173
calibration,20161023,service_time,707742,0.34170502810346143,0.92407518638683,0.9639981878857078,0.07064887304009047,241839,85038.84535192198,0.38900049891933797,0.8053071318249586,6.61369779143191,6.834100562069228,0,0.028403708375314616,0.03217224962629746,0.028571152282395467,0.03227867944250902,340.859619328059,351.5528055970912,150.72892296114358,3626.408099969307
evaluation,20161024,service_time,697204,0.3407381483755113,0.9197034301902027,0.962258033760162,0.07249921019205459,237564,84652.48253728906,0.39072325188860424,0.8090802642006344,6.286772323180605,6.814762967510226,0,0.029453180758175043,0.03350313290245511,0.029553291599777053,0.03380991395856418,332.75858904876986,338.1463348621084,93.01817194524423,7953.215834131059
evaluation,20161025,service_time,701601,0.3385870316604452,0.9161724150250717,0.9608406955336445,0.07391499728284989,237553,84676.3781902326,0.390662670896108,0.8182020540891938,6.424331125332639,6.771740633208903,0,0.03008019812998417,0.03366089258707548,0.03029111872124535,0.03389059799177828,332.86745274545916,338.5374604521521,91.43123429297883,8681.020691824984
