eta_cost_av_to_hv,epsilon_low,epsilon_high,cost_per_matched_eps0,cost_per_matched_eps005,delta_cost_per_matched,percent_cost_change,service_rate_eps0,service_rate_eps005,delta_service_rate,p95_wait_eps0,p95_wait_eps005,delta_p95_wait_s,pickup_objective_eps0,pickup_objective_eps005,delta_pickup_objective,AV_share_eps0,AV_share_eps005,delta_AV_assignment_share
0.5,0.0,0.05,607.0054528271247,597.3180280257055,-9.687424801419183,-0.0159593703092782,0.6069,0.6069333333333333,3.333333333332966e-05,291.73740280000004,291.54411220000003,-0.19329060000001164,2583641.8898307984,2582549.3858922254,-1092.503938572947,0.1280826055912561,0.1425746924428822,0.014492086851626118
0.75,0.0,0.05,624.9840836520945,618.6928506972403,-6.291232954854195,-0.010066229075933223,0.6080333333333333,0.6121,0.004066666666666663,291.61464,291.9039627,0.2893227000000138,2580977.0432552644,2619195.096573153,38218.05331788864,0.1273504742064579,0.1402820889832816,0.012931614776823697
1.0,0.0,0.05,640.7991096312024,637.3416354727539,-3.4574741584485764,-0.005395566420868543,0.6109,0.6095333333333334,-0.0013666666666666272,291.4978381,291.61602525,0.11818714999998292,2581726.9362476994,2589304.2348640678,7577.298616368324,0.1234244557210672,0.1193262605271792,-0.004098195193887988
1.25,0.0,0.05,656.0136830461547,648.528711682357,-7.48497136379774,-0.011409779334238559,0.604,0.5989,-0.005099999999999993,291.73117395,291.7340967,0.0029227499999819884,2557790.654031475,2546832.257595039,-10958.396436436102,0.1168322295805739,0.0994044637390772,-0.017427765841496703
