scenario_id,time_bin_start,new_requests,matched_request_cohort,cohort_patience_expired,patience_expirations,first_window_matches,AV_assignments,HV_assignments,accepted_requests,accepted_request_share,available_vehicles_mean,waiting_queue_mean,waiting_queue_max,matches_executed,epoch_count,time_bin_service_rate,cohort_expiration_rate,first_window_match_rate,available_vehicles_per_request,queue_pressure,AV_assignment_share,nominal_AV_count,scenario_service_rate,scenario_accepted_order_share,availability_split_observed
BENCH_HV,2016-10-31 00:00:00+08:00,68,44,24,13,34,0,38,68,1.0,8.2,7.433333333333334,15,38,30,0.6470588235294118,0.35294117647058826,0.5,0.12058823529411763,0.9065040650406505,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 00:15:00+08:00,103,79,24,29,61,0,84,103,1.0,35.2,13.666666666666666,21,84,30,0.7669902912621359,0.23300970873786409,0.5922330097087378,0.34174757281553403,0.3882575757575757,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 00:30:00+08:00,91,77,14,18,74,0,75,91,1.0,54.43333333333333,8.266666666666667,15,75,30,0.8461538461538461,0.15384615384615385,0.8131868131868132,0.5981684981684982,0.15186772810777713,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 00:45:00+08:00,94,80,14,11,68,0,78,94,1.0,57.233333333333334,7.5,11,78,30,0.851063829787234,0.14893617021276595,0.723404255319149,0.6088652482269503,0.1310425160163075,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 01:00:00+08:00,68,50,18,18,44,0,50,68,1.0,69.96666666666667,8.466666666666667,13,50,30,0.7352941176470589,0.2647058823529412,0.6470588235294118,1.028921568627451,0.12101000476417341,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 01:15:00+08:00,69,46,23,18,41,0,47,69,1.0,65.53333333333333,8.6,17,47,30,0.6666666666666666,0.3333333333333333,0.5942028985507246,0.9497584541062801,0.13123092573753814,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 01:30:00+08:00,52,37,15,23,35,0,40,52,1.0,66.26666666666667,7.4,16,40,30,0.7115384615384616,0.28846153846153844,0.6730769230769231,1.2743589743589743,0.11167002012072436,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 01:45:00+08:00,47,33,14,10,31,0,32,47,1.0,63.7,5.266666666666667,8,32,30,0.7021276595744681,0.2978723404255319,0.6595744680851063,1.3553191489361702,0.08267922553636839,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 02:00:00+08:00,52,35,17,23,31,0,35,52,1.0,50.7,8.233333333333333,16,35,30,0.6730769230769231,0.3269230769230769,0.5961538461538461,0.9750000000000001,0.16239316239316237,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 02:15:00+08:00,45,28,17,14,27,0,30,45,1.0,48.8,6.033333333333333,11,30,30,0.6222222222222222,0.37777777777777777,0.6,1.0844444444444443,0.12363387978142076,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 02:30:00+08:00,39,27,12,8,25,0,27,39,1.0,49.86666666666667,4.4,11,27,30,0.6923076923076923,0.3076923076923077,0.6410256410256411,1.2786324786324788,0.08823529411764706,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 02:45:00+08:00,34,25,9,14,24,0,25,34,1.0,45.3,5.066666666666666,8,25,30,0.7352941176470589,0.2647058823529412,0.7058823529411765,1.3323529411764705,0.11184694628403238,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 03:00:00+08:00,44,27,17,12,21,0,26,44,1.0,34.0,5.833333333333333,12,26,30,0.6136363636363636,0.38636363636363635,0.4772727272727273,0.7727272727272727,0.1715686274509804,0.0,0,0.7889,1.0,False
BENCH_HV,2016-10-31 03:15:00+08:00,29,20,9,9,18,0,20,29,1.0,36.0,3.6333333333333333,8,20,30,0.6896551724137931,0.3103448275862069,0.6206896551724138,1.2413793103448276,0.10092592592592592,0.0,0,0.7889,1.0,False
