effect_axis,fixed_profile,fixed_q_A,fixed_p_A,outcome,low_level,high_level,comparison,low_value,high_value,absolute_change,relative_change,response_class
q_A_marginal_mean,,0.25,,AV_assignment_share,0.25,0.25,marginal_mean,0.05018004231349953,0.05018004231349953,0.0,0.0,not_applicable
q_A_marginal_mean,,0.25,,first_window_match_rate,0.25,0.25,marginal_mean,0.6073370370370371,0.6073370370370371,0.0,0.0,not_applicable
q_A_marginal_mean,,0.5,,service_rate,0.5,0.5,marginal_mean,0.5983814814814814,0.5983814814814814,0.0,0.0,not_applicable
q_A_marginal_mean,,0.5,,request_to_pickup_p95,0.5,0.5,marginal_mean,291.7716660388889,291.7716660388889,0.0,0.0,not_applicable
q_A_marginal_mean,,0.5,,AV_assignment_share,0.5,0.5,marginal_mean,0.11009234767655997,0.11009234767655997,0.0,0.0,not_applicable
q_A_marginal_mean,,0.5,,first_window_match_rate,0.5,0.5,marginal_mean,0.45720740740740734,0.45720740740740734,0.0,0.0,not_applicable
q_A_marginal_mean,,0.75,,service_rate,0.75,0.75,marginal_mean,0.39238518518518517,0.39238518518518517,0.0,0.0,not_applicable
q_A_marginal_mean,,0.75,,request_to_pickup_p95,0.75,0.75,marginal_mean,292.7150059111111,292.7150059111111,0.0,0.0,not_applicable
q_A_marginal_mean,,0.75,,AV_assignment_share,0.75,0.75,marginal_mean,0.2311017235224203,0.2311017235224203,0.0,0.0,not_applicable
q_A_marginal_mean,,0.75,,first_window_match_rate,0.75,0.75,marginal_mean,0.2708777777777778,0.2708777777777778,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.4,service_rate,0.4,0.4,marginal_mean,0.5592111111111111,0.5592111111111111,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.4,request_to_pickup_p95,0.4,0.4,marginal_mean,291.48189755,291.48189755,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.4,AV_assignment_share,0.4,0.4,marginal_mean,0.09812898435321993,0.09812898435321993,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.4,first_window_match_rate,0.4,0.4,marginal_mean,0.4293888888888888,0.4293888888888888,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.7,service_rate,0.7,0.7,marginal_mean,0.5752740740740739,0.5752740740740739,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.7,request_to_pickup_p95,0.7,0.7,marginal_mean,291.2915185222222,291.2915185222222,0.0,0.0,not_applicable
p_A_marginal_mean,,,0.7,AV_assignment_share,0.7,0.7,marginal_mean,0.13468233214759356,0.13468233214759356,0.0,0.0,not_applicable
