gate,E,U,M,delta_E,delta_U,delta_M
G0_SPATIAL,95563,720,718,0,0,0
G1_PASSENGER,65700,493,493,29863,227,225
G2_STRUCTURAL,31277,238,238,34423,255,255
G3_EVIDENCE,15843,124,124,15434,114,114
TOPK_COMPRESSION,1315,124,124,14528,0,0
ROUTE_RETURNED,1315,124,124,0,0,0
G4_PATIENCE,57,14,14,1258,110,110
G5_SOLVER,57,14,14,0,0,0
