split,metric,count,mean,std,min,max
test,excess_time_ratio,717805,0.14895582139641325,0.3449239657813255,0.0,48.17839010920412
test,observed_sec_per_m,717805,0.131977225339659,0.061429839359744366,0.029727116490398785,5.433872238216316
test,reference_sec_per_m,777417,0.1257329946601143,0.031969121327578794,0.06028545154511139,0.2754540694467349
test,rts_pct,717805,0.4913620189122197,0.2689366966019334,0.0,1.0
test,rts_raw,717805,0.09532934563536695,0.14199647122271922,0.0,0.9796658654791377
train,excess_time_ratio,3877832,0.16376313389886937,0.40272936824756933,0.0,137.15944273127158
train,observed_sec_per_m,3877832,0.13452635395965595,0.06620026699450869,0.027343787876479213,17.328074775237923
train,reference_sec_per_m,3877832,0.1253765363233799,0.032356069781715,0.05911090799836637,0.27546774061872775
train,rts_pct,3877832,0.507162712058146,0.27251754080950796,0.005,0.9999817218058856
train,rts_raw,3877832,0.10349952089741336,0.14748331576555943,0.0,0.9927619858604594
validation,excess_time_ratio,713460,0.18444629809627225,0.43688927077155876,0.0,129.4696478757817
validation,observed_sec_per_m,713460,0.13839514737227532,0.06995129815154913,0.034290820678782225,15.94405594405595
validation,reference_sec_per_m,780240,0.12607825482286336,0.03214738062327798,0.06028545154511139,0.2754540694467349
validation,rts_pct,713460,0.5300879216154823,0.2771420326509198,0.0,1.0
validation,rts_raw,713460,0.11512545972819437,0.15333169436961283,0.0,0.9923353820886213
