split,metric,count,mean,std,min,max
test,acceleration_pair_count,777417,2.1282644964028314,2.6030819025198912,0.0,38.0
test,acceleration_rms_bounded,357248,0.3977280230776979,0.15429329540425424,0.0,0.9022473503462685
test,acceleration_rms_mps2,357248,0.794566165437972,0.5637538535098667,0.0,9.229901731996957
test,acceleration_weight_s,777417,6.881845907666027,8.605050363928328,0.0,226.0
test,crawl_time_share,777417,0.1723508571988624,0.31131200163035055,0.0,1.0
test,lcs_pct,318221,0.5058836069600523,0.28990792447078345,0.0,1.0
test,lcs_raw,318221,0.174060440376544,0.07989019539737521,0.0,0.569978213653981
test,maximum_absolute_acceleration_mps2,357248,1.2384920656680236,0.8874832781151292,0.0,15.246431372549011
test,speed_cv_bounded,775950,0.1029568498691791,0.1016765448648842,0.0,0.83477169460188
test,stop_time_share,777417,0.003846360665528222,0.0557132350608587,0.0,1.0
train,acceleration_pair_count,4217873,2.137064344990947,2.6069262279097383,0.0,39.0
train,acceleration_rms_bounded,1942715,0.39231697921662284,0.15380763395404898,0.0,0.9347090814347475
train,acceleration_rms_mps2,1942715,0.7757323778982295,0.5530333857171004,0.0,14.316065725137397
train,acceleration_weight_s,4217873,6.920593981848197,8.647593111325575,0.0,695.0
train,crawl_time_share,4217873,0.18313214735844396,0.3198978823211621,0.0,1.0
train,lcs_pct,1720264,0.5053702419469512,0.29018399289324776,0.00010544074230282581,0.9999589760420086
train,lcs_raw,1720264,0.17382025740575477,0.08038124927370782,0.0,0.5812863503717323
train,maximum_absolute_acceleration_mps2,1942715,1.2110392541177408,0.8758394944717792,0.0,30.109771999999996
train,speed_cv_bounded,4208295,0.10271458714749918,0.10118271509823905,0.0,0.8917304279841404
train,stop_time_share,4217873,0.004215352598665004,0.05844849499440043,0.0,1.0
validation,acceleration_pair_count,780240,2.183461499025941,2.664592280039247,0.0,39.0
validation,acceleration_rms_bounded,363917,0.38759472006496387,0.15334135500545268,0.0,0.9157278917762498
validation,acceleration_rms_mps2,363917,0.7597661183568888,0.5450362059538015,0.0,10.866322334608132
validation,acceleration_weight_s,780240,7.100860632625858,8.899729269047821,0.0,309.0
validation,crawl_time_share,780240,0.2016622503140778,0.33261732359831503,0.0,1.0
validation,lcs_pct,320248,0.5143556014477777,0.2911403941406175,0.0,1.0
validation,lcs_raw,320248,0.17632424079920284,0.08121343942803562,0.0,0.5613167588251318
validation,maximum_absolute_acceleration_mps2,363917,1.1898278484778249,0.8646879595491472,0.0,11.167108333333355
validation,speed_cv_bounded,778589,0.10365216490676929,0.101037850319,0.0,0.8925496490747342
validation,stop_time_share,780240,0.0042006301190917585,0.05874301949472803,0.0,1.0
