epoch_id,comparison,counts_D13,counts_previous,pstar_D13,pstar_previous,served_added,served_removed,A1_D13,A1_previous,A1_gap_s_D13,A1_gap_s_previous
1730,D0,"[0,6,1]","[0,4,0]",1042.8676651117112,963.3808003928309,2,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
1730,D1,"[0,6,1]","[0,6,1]",1042.8676651117112,1042.8676651117112,0,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
1730,D3,"[0,6,1]","[0,6,2]",1042.8676651117112,1042.8676651117112,1,1,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
1730,D4,"[0,6,1]","[0,14,6]",1042.8676651117112,1767.7878713479008,0,8,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,104.92266142892208
1800,D0,"[0,6,2]","[0,3,0]",956.7041086885783,384.15917877842526,3,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",11.081514772454511,
1800,D1,"[0,6,2]","[0,6,2]",956.7041086885783,956.7041086885783,0,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}",11.081514772454511,11.081514772454511
1800,D3,"[0,6,2]","[0,3,0]",956.7041086885783,373.07766400597063,3,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",11.081514772454511,11.081514772454568
1800,D4,"[0,6,2]","[0,11,6]",956.7041086885783,1492.3106560238825,0,5,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":true,""0.02"":true,""0.05"":true}",11.081514772454511,11.081514772454511
1830,D0,"[0,5,1]","[0,3,0]",737.3300096025938,450.22805896087596,2,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",26.10017733106531,
1830,D1,"[0,5,1]","[0,5,1]",737.3300096025938,737.3300096025938,0,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",26.10017733106531,26.10017733106531
1830,D3,"[0,5,1]","[0,5,2]",737.3300096025938,590.5165121153518,1,1,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",26.10017733106531,26.100177331065197
1830,D4,"[0,5,1]","[0,9,4]",737.3300096025938,1099.4699700711246,0,4,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",26.10017733106531,26.100177331065197
2100,D0,"[0,8,3]","[0,4,1]",1154.8397617662592,750.8573542619451,4,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",29.61127594272466,29.61127594272466
2100,D1,"[0,8,3]","[0,7,3]",1154.8397617662592,934.8702833345908,1,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",29.61127594272466,29.61127594272466
2100,D3,"[0,8,3]","[0,9,3]",1154.8397617662592,1324.0470528675428,0,1,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}",29.61127594272466,29.61127594272466
2100,D4,"[0,8,3]","[0,13,7]",1154.8397617662592,1656.1163616538115,1,6,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}",29.61127594272466,29.61127594272466
2300,D0,"[0,1,0]","[0,1,0]",260.50910094171064,260.50910094171064,0,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
2300,D1,"[0,1,0]","[0,1,0]",260.50910094171064,260.50910094171064,0,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
2300,D3,"[0,1,0]","[0,1,0]",260.50910094171064,260.50910094171064,0,0,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
2300,D4,"[0,1,0]","[0,5,3]",260.50910094171064,701.9272997596092,1,5,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}","{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}",,
