fold,split,date,target,model,count,mae,rmse,pearson,spearman
fold_1,evaluation,20161022,pace_sec_per_m,global_mean,242193,0.0436422250668268,0.0766367602414116,,
fold_1,evaluation,20161022,pace_sec_per_m,highway_time_bin_mean,242193,0.0411016457057066,0.0748595699520693,0.217992126750678,0.2969331514451201
fold_1,evaluation,20161022,pace_sec_per_m,strict_historical_profile,242193,0.033200659989236,0.0687668669781454,0.4446530106148436,0.6271104105174151
fold_1,evaluation,20161022,pace_sec_per_m,edge_rolling_mean,242193,0.0381926739091557,0.0914654659175631,0.2713538748999867,0.5754611317115255
fold_1,evaluation,20161022,pace_sec_per_m,v4_static_entry_time,242193,0.033194524309043,0.068665899114259,0.4466821638631386,0.6271104075116194
fold_1,evaluation,20161022,pace_sec_per_m,hist_gradient_boosting,242193,0.0310415506432539,0.0657071201952199,0.5090959985045477,0.694428645847393
fold_1,evaluation,20161022,pace_sec_per_m,rc_mstnet_v5_mean,242193,0.0299924599111779,0.0651984951536304,0.5224617676953172,0.7135768917440934
fold_1,evaluation,20161022,pace_sec_per_m,rc_mstnet_v5_p50,242193,0.0298724298780367,0.0656244381368074,0.5228924689052367,0.7146270034093343
fold_1,evaluation,20161023,pace_sec_per_m,global_mean,241839,0.0421045751968583,0.0622182655268488,,
fold_1,evaluation,20161023,pace_sec_per_m,highway_time_bin_mean,241839,0.0398278963567948,0.0602652536112142,0.2496645929499583,0.3019297676873737
fold_1,evaluation,20161023,pace_sec_per_m,strict_historical_profile,241839,0.0311744647106939,0.0526594996632178,0.542168865345933,0.6476532551829961
fold_1,evaluation,20161023,pace_sec_per_m,edge_rolling_mean,241839,0.0349860857460046,0.0602988051917882,0.4473458486811423,0.5772407249907436
fold_1,evaluation,20161023,pace_sec_per_m,v4_static_entry_time,241839,0.0311701716700588,0.0525818426300112,0.5436052355672546,0.6476483199739923
fold_1,evaluation,20161023,pace_sec_per_m,hist_gradient_boosting,241839,0.0285767750576036,0.0494980024624194,0.6058331170118356,0.703755839260952
fold_1,evaluation,20161023,pace_sec_per_m,rc_mstnet_v5_mean,241839,0.0273996088690726,0.0485686466461051,0.6251298552534325,0.7251766763359279
fold_1,evaluation,20161023,pace_sec_per_m,rc_mstnet_v5_p50,241839,0.027115343553459,0.0489221071099189,0.624191260960864,0.7261427554242438
fold_2,evaluation,20161024,pace_sec_per_m,global_mean,237564,0.0428329706115759,0.0699688497275219,,
fold_2,evaluation,20161024,pace_sec_per_m,highway_time_bin_mean,237564,0.0402706751575421,0.067937577575436,0.2384658213433526,0.3105640734046624
fold_2,evaluation,20161024,pace_sec_per_m,strict_historical_profile,237564,0.0308797360306277,0.0558690383464516,0.6016465983250472,0.6655718715304005
fold_2,evaluation,20161024,pace_sec_per_m,edge_rolling_mean,237564,0.0365124305243838,0.0654630376422541,0.4813731913701374,0.5781438925762671
fold_2,evaluation,20161024,pace_sec_per_m,v4_static_entry_time,237564,0.0309101424704434,0.0593921042456897,0.52867512012909,0.6655718722621303
fold_2,evaluation,20161024,pace_sec_per_m,hist_gradient_boosting,237564,0.029553291599777,0.0580100200947771,0.5579906529126962,0.7084308992065211
fold_2,evaluation,20161024,pace_sec_per_m,rc_mstnet_v5_mean,237564,0.029453180758175,0.0576020080262988,0.5685319539266142,0.7183881967780581
fold_2,evaluation,20161024,pace_sec_per_m,rc_mstnet_v5_p50,237564,0.0286156079230266,0.0575616004427434,0.5684586326300163,0.7216026607177857
fold_2,evaluation,20161025,pace_sec_per_m,global_mean,237553,0.0436450749515066,0.0702816836154727,,
fold_2,evaluation,20161025,pace_sec_per_m,highway_time_bin_mean,237553,0.0408933960721954,0.0679702633937533,0.2537825637281,0.3247262347071322
fold_2,evaluation,20161025,pace_sec_per_m,strict_historical_profile,237553,0.0314329823311444,0.0566794851435387,0.5908335146249499,0.6695234233729871
fold_2,evaluation,20161025,pace_sec_per_m,edge_rolling_mean,237553,0.0375821944496812,0.0676324321028152,0.4656020182407981,0.5817768920517018
fold_2,evaluation,20161025,pace_sec_per_m,v4_static_entry_time,237553,0.0314663950816134,0.0594983911967783,0.5313361142019791,0.6695234194628595
