split,date,target,model,count,mae,rmse,pearson,spearman,history_recent_gate_mean
validation_model,20161025,pace_sec_per_m,horizon_gate,237553,0.02902863914909624,0.053688223604932084,0.6442354679425857,0.7332477313474421,0.6728188897197523
validation_model,20161025,pace_sec_per_m,ordinary_concatenation,237553,0.02915067606475258,0.05517005772209259,0.6177471381594121,0.733150022085862,0.5
validation_model,20161025,pace_sec_per_m,without_recent,237553,0.029167039468534973,0.05551404965280807,0.6109016143988978,0.73280180631253,0.0
validation_model,20161025,pace_sec_per_m,without_profile,237553,0.029133977008625914,0.055438592268983095,0.6124470671331554,0.7328743261061843,1.0
validation_model,20161026,pace_sec_per_m,horizon_gate,238711,0.02887424121883248,0.07118063669602151,0.41208702610576065,0.7284626164154019,0.6730942046042042
validation_model,20161026,pace_sec_per_m,ordinary_concatenation,238711,0.028892039857464556,0.06550078181553445,0.48422769529295046,0.7291027987383235,0.5
validation_model,20161026,pace_sec_per_m,without_recent,238711,0.02891599067605452,0.06269918735095129,0.5335636584009752,0.7282273036789552,0.0
validation_model,20161026,pace_sec_per_m,without_profile,238711,0.028906942634010502,0.06852579498161325,0.4426022594941661,0.7293266863614373,1.0
calibration,20161027,pace_sec_per_m,horizon_gate,237196,0.028298565534668123,0.051389530575016946,0.6188775678869131,0.7360600640189778,0.6736101919965861
calibration,20161027,pace_sec_per_m,ordinary_concatenation,237196,0.02838355556632285,0.051353917806566785,0.6193284334169952,0.7362913666955871,0.5
calibration,20161027,pace_sec_per_m,without_recent,237196,0.028422727897484158,0.05134700789422928,0.6194077464295166,0.7352777347583255,0.0
calibration,20161027,pace_sec_per_m,without_profile,237196,0.028382672811311935,0.051382411831871956,0.6187872317283152,0.7357877668453555,1.0
