split,date,target,model,count,positive_count,average_precision,roc_auc,brier,ece,ndcg_at_5pct,precision_at_5pct,recall_at_5pct,lift_at_5pct,ndcg_at_10pct,precision_at_10pct,recall_at_10pct,lift_at_10pct
validation_model,20161025,lcs_tail_event,rc_mstnet_v4,106386,12240,0.23125472967878227,0.643168539314337,0.09715910148666186,0.008187245612222843,0.372100941661951,0.3469924812030075,0.15081699346405228,3.0159429824561403,0.29143856470731455,0.269950183287903,0.234640522875817,2.3463170097440234
validation_model,20161025,lcs_tail_event,rc_mstnet_v5,106386,12240,0.23017152378965022,0.643578794631173,0.09717121206240055,0.005428512857517558,0.36984088718526376,0.3451127819548872,0.15,2.9996052631578944,0.29239797382632227,0.2715480778268634,0.23602941176470588,2.3602053764451543
validation_model,20161025,rts_tail_event,rc_mstnet_v4,237553,31657,0.407222901132814,0.7450981063956519,0.09825998559898504,0.005736999281021008,0.6175621634711342,0.5907560195319077,0.22165713744195598,4.433012120790449,0.4729505946378949,0.44544536117191447,0.33427046150930284,3.3426061181562305
validation_model,20161025,rts_tail_event,rc_mstnet_v5,237553,31657,0.4081282804565422,0.7459719460849178,0.09816766475357974,0.007909959632713908,0.6175378199210878,0.5905034517595554,0.22156237167135232,4.4311168612261955,0.4746058019280986,0.4471712409496548,0.33556559370755284,3.3555570585119674
validation_model,20161026,lcs_tail_event,rc_mstnet_v4,106761,11857,0.2312693568175474,0.6412238461400048,0.09401503086170795,0.010132375627177176,0.3752534474991104,0.34800524442779546,0.15670068314076074,3.1334560091385573,0.29039501035851856,0.2674908682214105,0.24087037193219196,2.4085006816383574
validation_model,20161026,lcs_tail_event,rc_mstnet_v5,106761,11857,0.22686590304675783,0.6376729151551421,0.09416529668002092,0.003980193357258949,0.36990207415629794,0.34369732159580446,0.15476090073374377,3.0946672641384567,0.28750051573135255,0.2653367050669664,0.238930589525175,2.389104492675584
validation_model,20161026,rts_tail_event,rc_mstnet_v4,238711,30494,0.39717408316420133,0.7413784443315656,0.09515253757975028,0.005259724744892876,0.6006204385106912,0.572553619302949,0.22410966091690168,4.48202423484706,0.45621297694144275,0.4281166219839142,0.3351478979471371,3.3513526251197656
validation_model,20161026,rts_tail_event,rc_mstnet_v5,238711,30494,0.39712692533505967,0.7410436551684673,0.09514129762463354,0.005677498525219592,0.6017560092942837,0.573558981233244,0.22450318095363023,4.4898943388590835,0.4548655056920132,0.42644101876675605,0.3338361644913754,3.338235785099728
calibration,20161027,lcs_tail_event,rc_mstnet_v4,107101,11784,0.22252521770818798,0.6336422852587201,0.09369756776763628,0.011171015440895118,0.3615029507042102,0.33401792382374906,0.15181602172437203,3.035781878771839,0.27881838170189227,0.25609186817290636,0.23277325186693823,2.3275369291570303
calibration,20161027,lcs_tail_event,rc_mstnet_v5,107101,11784,0.2201480923560246,0.6338583323965585,0.09367735877482603,0.0027291781509709147,0.3555762922402243,0.328790141896938,0.1494399185336049,2.9882682440006754,0.2744645924979449,0.2521706656708057,0.22920909708078752,2.2918983761039513
calibration,20161027,rts_tail_event,rc_mstnet_v4,237196,29908,0.38796195446214143,0.7341615646156323,0.09469288841342374,0.007755408261732829,0.5985791810711926,0.5707419898819561,0.2263274040390531,4.52647174776115,0.4456675304170851,0.4168212478920742,0.33058044670322323,3.305748719907999
calibration,20161027,rts_tail_event,rc_mstnet_v5,237196,29908,0.3885683733590871,0.7338866151213328,0.0945273138552816,0.004902281893822996,0.5996859849989353,0.5716694772344013,0.2266951986090678,4.533827515116058,0.4460793877474296,0.4170741989881956,0.33078106192323126,3.307754838277519
