scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition
MAIN_Q75_M_P70,2016-10-31 00:00:00+08:00,58145,39040,9723,721,357,357,264,264,18,19105,22538,0,6779,9002,364,0,93,0,246
MAIN_Q75_M_P70,2016-10-31 00:15:00+08:00,145664,94302,22361,1119,510,510,390,390,26,51362,46681,0,25260,21242,609,0,120,0,364
MAIN_Q75_M_P70,2016-10-31 00:30:00+08:00,133197,70531,15451,683,327,327,256,256,17,62666,37580,0,17500,14768,356,0,71,0,239
MAIN_Q75_M_P70,2016-10-31 00:45:00+08:00,131094,92518,26790,554,257,257,236,236,13,38576,39958,0,25770,26236,297,0,21,0,223
MAIN_Q75_M_P70,2016-10-31 01:00:00+08:00,107193,80152,40062,1158,371,371,199,199,15,27041,27146,0,12944,38904,787,0,172,0,184
MAIN_Q75_M_P70,2016-10-31 01:15:00+08:00,108248,77141,27460,2043,372,372,159,159,12,31107,38760,0,10921,25417,1671,0,213,0,147
MAIN_Q75_M_P70,2016-10-31 01:30:00+08:00,82142,52038,17427,422,179,179,133,133,9,30104,18672,0,15939,17005,243,0,46,0,124
MAIN_Q75_M_P70,2016-10-31 01:45:00+08:00,53928,33701,5723,387,166,166,99,99,9,20227,15774,0,12204,5336,221,0,67,0,90
MAIN_Q75_M_P70,2016-10-31 02:00:00+08:00,72529,49788,11845,453,228,228,171,171,12,22741,31614,0,6329,11392,225,0,57,0,159
MAIN_Q75_M_P70,2016-10-31 02:15:00+08:00,58132,49668,10776,643,274,274,189,189,14,8464,18027,0,20865,10133,369,0,85,0,175
MAIN_Q75_M_P70,2016-10-31 02:30:00+08:00,45768,27767,13415,2810,267,267,41,41,4,18001,7783,0,6569,10605,2543,0,226,0,37
MAIN_Q75_M_P70,2016-10-31 02:45:00+08:00,47126,33403,9039,2857,260,260,57,57,4,13723,13434,0,10930,6182,2597,0,203,0,53
MAIN_Q75_M_P70,2016-10-31 03:00:00+08:00,74422,52446,9241,299,156,156,120,120,7,21976,31832,0,11373,8942,143,0,36,0,113
MAIN_Q75_M_P70,2016-10-31 03:15:00+08:00,51492,45481,6631,273,118,118,91,91,6,6011,28147,0,10703,6358,155,0,27,0,85
MAIN_Q75_M_P70,2016-10-31 03:30:00+08:00,35736,24481,3571,126,77,77,69,69,4,11255,13785,0,7125,3445,49,0,8,0,65
MAIN_Q75_M_P70,2016-10-31 03:45:00+08:00,65792,38045,7808,229,98,98,79,79,5,27747,23266,0,6971,7579,131,0,19,0,74
MAIN_Q75_M_P70,2016-10-31 04:00:00+08:00,37064,21895,26,26,20,20,11,11,1,15169,10577,0,11292,0,6,0,9,0,10
MAIN_Q75_M_P70,2016-10-31 04:15:00+08:00,26032,18952,152,152,94,94,57,57,5,7080,11306,0,7494,0,58,0,37,0,52
MAIN_Q75_M_P70,2016-10-31 04:30:00+08:00,27932,19702,8820,251,116,116,82,82,6,8230,5693,0,5189,8569,135,0,34,0,76
MAIN_Q75_M_P70,2016-10-31 04:45:00+08:00,38016,24260,12524,2253,260,260,60,60,3,13756,8777,0,2959,10271,1993,0,200,0,57
MAIN_Q75_M_P70,2016-10-31 05:00:00+08:00,33464,29419,6867,299,138,138,97,97,7,4045,13939,0,8613,6568,161,0,41,0,90
MAIN_Q75_M_P70,2016-10-31 05:15:00+08:00,36650,17890,2223,205,100,100,87,87,5,18760,5902,0,9765,2018,105,0,13,0,82
MAIN_Q75_M_P70,2016-10-31 05:30:00+08:00,41867,26021,6380,193,80,80,69,69,4,15846,12355,0,7286,6187,113,0,11,0,65
MAIN_Q75_M_P70,2016-10-31 05:45:00+08:00,71084,45071,11747,232,98,98,79,79,5,26013,16050,0,17274,11515,134,0,19,0,74
MAIN_Q75_M_P70,2016-10-31 06:00:00+08:00,53654,39649,13053,716,275,275,217,217,14,14005,13610,0,12986,12337,441,0,58,0,203
MAIN_Q75_M_P70,2016-10-31 06:15:00+08:00,69898,35541,9556,663,271,271,207,207,12,34357,21869,0,4116,8893,392,0,64,0,195
MAIN_Q75_M_P70,2016-10-31 06:30:00+08:00,104982,68090,19527,1287,565,565,391,391,26,36892,36348,0,12215,18240,722,0,174,0,365
MAIN_Q75_M_P70,2016-10-31 06:45:00+08:00,189684,118265,55917,2813,573,573,157,157,19,71419,41198,0,21150,53104,2240,0,416,0,138
MAIN_Q75_M_P70,2016-10-31 07:00:00+08:00,237564,148174,59229,6340,832,832,165,165,24,89390,64139,0,24806,52889,5508,0,667,0,141
MAIN_Q75_M_P70,2016-10-31 07:15:00+08:00,321514,214377,80565,12099,1878,1878,114,114,33,107137,95504,0,38308,68466,10221,0,1764,0,81
MAIN_Q75_M_P70,2016-10-31 07:30:00+08:00,302180,188719,92786,29067,3001,3001,200,200,39,113461,53774,0,42159,63719,26066,0,2801,0,161
MAIN_Q75_M_P70,2016-10-31 07:45:00+08:00,350909,208921,84009,36059,3189,3189,109,109,32,141988,85855,0,39057,47950,32870,0,3080,0,77
MAIN_Q75_M_P70,2016-10-31 08:00:00+08:00,403982,258898,99634,44110,4091,4091,133,133,36,145084,111486,0,47778,55524,40019,0,3958,0,97
MAIN_Q75_M_P70,2016-10-31 08:15:00+08:00,514510,329296,156229,75431,6675,6675,179,179,37,185214,126392,0,46675,80798,68756,0,6496,0,142
MAIN_Q75_M_P70,2016-10-31 08:30:00+08:00,542938,330158,127160,42291,4530,4530,226,226,45,212780,126527,0,76471,84869,37761,0,4304,0,181
MAIN_Q75_M_P70,2016-10-31 08:45:00+08:00,517361,331760,133320,38310,4368,4368,340,340,66,185601,153434,0,45006,95010,33942,0,4028,0,274
MAIN_Q75_M_P70,2016-10-31 09:00:00+08:00,624904,423241,168141,74474,7796,7796,395,395,63,201663,156446,0,98654,93667,66678,0,7401,0,332
MAIN_Q75_M_P70,2016-10-31 09:15:00+08:00,554049,351073,124225,47857,4881,4881,382,382,52,202976,150909,0,75939,76368,42976,0,4499,0,330
MAIN_Q75_M_P70,2016-10-31 09:30:00+08:00,506903,338105,151287,45924,4675,4675,410,410,57,168798,122655,0,64163,105363,41249,0,4265,0,353
MAIN_Q75_M_P70,2016-10-31 09:45:00+08:00,500614,349225,124584,60674,6428,6428,438,438,56,151389,164748,0,59893,63910,54246,0,5990,0,382
MAIN_Q75_M_P70,2016-10-31 10:00:00+08:00,546724,352894,160765,74978,6799,6799,208,208,45,193830,128014,0,64115,85787,68179,0,6591,0,163
MAIN_Q75_M_P70,2016-10-31 10:15:00+08:00,496632,344936,134927,44957,4937,4937,282,282,51,151696,135392,0,74617,89970,40020,0,4655,0,231
MAIN_Q75_M_P70,2016-10-31 10:30:00+08:00,572285,398770,187802,90974,7737,7737,155,155,26,173515,130991,0,79977,96828,83237,0,7582,0,129
MAIN_Q75_M_P70,2016-10-31 10:45:00+08:00,585095,382490,178669,70472,6275,6275,274,274,44,202605,148262,0,55559,108197,64197,0,6001,0,230
MAIN_Q75_M_P70,2016-10-31 11:00:00+08:00,528619,363155,144956,60871,5931,5931,333,333,54,165464,150008,0,68191,84085,54940,0,5598,0,279
MAIN_Q75_M_P70,2016-10-31 11:15:00+08:00,478377,307193,137052,57674,5746,5746,380,380,48,171184,112783,0,57358,79378,51928,0,5366,0,332
MAIN_Q75_M_P70,2016-10-31 11:30:00+08:00,641343,389813,171664,48803,5117,5117,214,214,35,251530,147130,0,71019,122861,43686,0,4903,0,179
MAIN_Q75_M_P70,2016-10-31 11:45:00+08:00,612081,396034,140814,50756,5377,5377,238,238,43,216047,173457,0,81763,90058,45379,0,5139,0,195
MAIN_Q75_M_P70,2016-10-31 12:00:00+08:00,546091,372160,152510,58322,6226,6226,266,266,52,173931,136952,0,82698,94188,52096,0,5960,0,214
MAIN_Q75_M_P70,2016-10-31 12:15:00+08:00,571544,355060,151493,76099,7643,7643,487,487,64,216484,126253,0,77314,75394,68456,0,7156,0,423
MAIN_Q75_M_P70,2016-10-31 12:30:00+08:00,495743,311642,126828,38705,3876,3876,277,277,50,184101,126966,0,57848,88123,34829,0,3599,0,227
MAIN_Q75_M_P70,2016-10-31 12:45:00+08:00,390891,244944,97242,34268,3774,3774,354,354,53,145947,109806,0,37896,62974,30494,0,3420,0,301
MAIN_Q75_M_P70,2016-10-31 13:00:00+08:00,494475,311801,120745,38049,4578,4578,347,347,49,182674,126223,0,64833,82696,33471,0,4231,0,298
MAIN_Q75_M_P70,2016-10-31 13:15:00+08:00,540222,328935,124645,47774,4985,4985,360,360,54,211287,137676,0,66614,76871,42789,0,4625,0,306
MAIN_Q75_M_P70,2016-10-31 13:30:00+08:00,618230,412270,178819,64564,5740,5740,219,219,40,205960,170204,0,63247,114255,58824,0,5521,0,179
MAIN_Q75_M_P70,2016-10-31 13:45:00+08:00,609187,421034,200310,82230,7353,7353,240,240,45,188153,146809,0,73915,118080,74877,0,7113,0,195
MAIN_Q75_M_P70,2016-10-31 14:00:00+08:00,692631,482812,216879,113648,9696,9696,184,184,38,209819,179384,0,86549,103231,103952,0,9512,0,146
MAIN_Q75_M_P70,2016-10-31 14:15:00+08:00,702270,502931,212038,105233,9402,9402,274,274,46,199339,185857,0,105036,106805,95831,0,9128,0,228
MAIN_Q75_M_P70,2016-10-31 14:30:00+08:00,676358,454328,209026,112629,9020,9020,158,158,33,222030,167266,0,78036,96397,103609,0,8862,0,125
MAIN_Q75_M_P70,2016-10-31 14:45:00+08:00,735608,490916,194870,92140,7369,7369,168,168,32,244692,192811,0,103235,102730,84771,0,7201,0,136
MAIN_Q75_M_P70,2016-10-31 15:00:00+08:00,759024,527787,219090,106243,9088,9088,246,246,39,231237,196943,0,111754,112847,97155,0,8842,0,207
MAIN_Q75_M_P70,2016-10-31 15:15:00+08:00,722668,494130,224662,100016,8400,8400,157,157,42,228538,168200,0,101268,124646,91616,0,8243,0,115
MAIN_Q75_M_P70,2016-10-31 15:30:00+08:00,720220,476414,198296,93402,7752,7752,248,248,44,243806,193742,0,84376,104894,85650,0,7504,0,204
MAIN_Q75_M_P70,2016-10-31 15:45:00+08:00,795016,526797,198650,82975,7732,7732,326,326,53,268219,213426,0,114721,115675,75243,0,7406,0,273
MAIN_Q75_M_P70,2016-10-31 16:00:00+08:00,764590,473124,204160,105888,9255,9255,280,280,50,291466,195085,0,73879,98272,96633,0,8975,0,230
MAIN_Q75_M_P70,2016-10-31 16:15:00+08:00,777826,527609,251720,132896,9203,9203,144,144,33,250217,184290,0,91599,118824,123693,0,9059,0,111
MAIN_Q75_M_P70,2016-10-31 16:30:00+08:00,665468,491373,193980,93451,7022,7022,236,236,47,174095,195809,0,101584,100529,86429,0,6786,0,189
MAIN_Q75_M_P70,2016-10-31 16:45:00+08:00,710590,503366,207925,110534,8369,8369,156,156,37,207224,188102,0,107339,97391,102165,0,8213,0,119
MAIN_Q75_M_P70,2016-10-31 17:00:00+08:00,761103,522251,218253,113663,8539,8539,159,159,36,238852,197909,0,106089,104590,105124,0,8380,0,123
MAIN_Q75_M_P70,2016-10-31 17:15:00+08:00,728708,485000,217072,96871,6855,6855,133,133,28,243708,178092,0,89836,120201,90016,0,6722,0,105
MAIN_Q75_M_P70,2016-10-31 17:30:00+08:00,625371,415524,178752,93957,6808,6808,160,160,31,209847,152192,0,84580,84795,87149,0,6648,0,129
MAIN_Q75_M_P70,2016-10-31 17:45:00+08:00,798176,556660,265054,137973,9373,9373,64,64,22,241516,205446,0,86160,127081,128600,0,9309,0,42
MAIN_Q75_M_P70,2016-10-31 18:00:00+08:00,766031,498982,241992,114408,8195,8195,99,99,19,267049,169360,0,87630,127584,106213,0,8096,0,80
MAIN_Q75_M_P70,2016-10-31 18:15:00+08:00,626799,423510,211419,88027,5827,5827,67,67,22,203289,133970,0,78121,123392,82200,0,5760,0,45
MAIN_Q75_M_P70,2016-10-31 18:30:00+08:00,679679,465227,245953,113882,7876,7876,123,123,32,214452,155586,0,63688,132071,106006,0,7753,0,91
MAIN_Q75_M_P70,2016-10-31 18:45:00+08:00,756757,520461,234934,122475,8224,8224,91,91,34,236296,160342,0,125185,112459,114251,0,8133,0,57
