scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition
MAIN_Q50_M_P70,2016-10-31 00:00:00+08:00,29552,19750,6449,470,329,329,231,231,18,9802,9752,0,3549,5979,141,0,98,0,213
MAIN_Q50_M_P70,2016-10-31 00:15:00+08:00,66722,42039,10664,716,469,469,350,350,26,24683,19954,0,11421,9948,247,0,119,0,324
MAIN_Q50_M_P70,2016-10-31 00:30:00+08:00,59768,35433,11372,2177,449,449,203,203,16,24335,17973,0,6088,9195,1728,0,246,0,187
MAIN_Q50_M_P70,2016-10-31 00:45:00+08:00,51508,36525,9517,371,240,240,200,200,13,14983,18478,0,8530,9146,131,0,40,0,187
MAIN_Q50_M_P70,2016-10-31 01:00:00+08:00,50338,33869,14658,778,336,336,173,173,15,16469,13045,0,6166,13880,442,0,163,0,158
MAIN_Q50_M_P70,2016-10-31 01:15:00+08:00,50734,38977,13987,1377,322,322,111,111,11,11757,20112,0,4878,12610,1055,0,211,0,100
MAIN_Q50_M_P70,2016-10-31 01:30:00+08:00,37338,23038,6187,292,160,160,105,105,9,14300,8588,0,8263,5895,132,0,55,0,96
MAIN_Q50_M_P70,2016-10-31 01:45:00+08:00,26147,17848,2199,258,151,151,89,89,8,8299,10161,0,5488,1941,107,0,62,0,81
MAIN_Q50_M_P70,2016-10-31 02:00:00+08:00,42285,28267,5656,294,200,200,144,144,12,14018,20995,0,1616,5362,94,0,56,0,132
MAIN_Q50_M_P70,2016-10-31 02:15:00+08:00,28526,22286,5551,437,249,249,168,168,14,6240,8267,0,8468,5114,188,0,81,0,154
MAIN_Q50_M_P70,2016-10-31 02:30:00+08:00,24747,15824,9153,126,86,86,41,41,5,8923,4471,0,2200,9027,40,0,45,0,36
MAIN_Q50_M_P70,2016-10-31 02:45:00+08:00,26395,17319,5195,135,84,84,56,56,4,9076,6281,0,5843,5060,51,0,28,0,52
MAIN_Q50_M_P70,2016-10-31 03:00:00+08:00,43493,30791,6131,207,144,144,105,105,7,12702,19839,0,4821,5924,63,0,39,0,98
MAIN_Q50_M_P70,2016-10-31 03:15:00+08:00,31602,27619,6185,2018,286,286,64,64,5,3983,15206,0,6228,4167,1732,0,222,0,59
MAIN_Q50_M_P70,2016-10-31 03:30:00+08:00,21111,14920,2391,93,73,73,60,60,4,6191,9119,0,3410,2298,20,0,13,0,56
MAIN_Q50_M_P70,2016-10-31 03:45:00+08:00,35697,20071,3732,144,85,85,62,62,5,15626,12454,0,3885,3588,59,0,23,0,57
MAIN_Q50_M_P70,2016-10-31 04:00:00+08:00,22177,12189,21,21,19,19,9,9,1,9988,5702,0,6466,0,2,0,10,0,8
MAIN_Q50_M_P70,2016-10-31 04:15:00+08:00,17392,14435,1938,1938,263,263,51,51,4,2957,7528,0,4969,0,1675,0,212,0,47
MAIN_Q50_M_P70,2016-10-31 04:30:00+08:00,16754,12756,5487,164,105,105,68,68,6,3998,3810,0,3459,5323,59,0,37,0,62
