split,date,target,quantile,empirical_coverage,coverage_error,pinball_loss,count
validation_model,20161023,pace_sec_per_m,0.5,0.5032687035589793,0.0032687035589793467,0.013475876117507583,241839
validation_model,20161023,pace_sec_per_m,0.9,0.8974193575064402,-0.002580642493559826,0.007751849939446116,241839
validation_model,20161023,pace_sec_per_m,0.95,0.944810390383685,-0.005189609616314983,0.005165774999619979,241839
validation_model,20161024,pace_sec_per_m,0.5,0.4982531023219006,-0.0017468976780993795,0.014024125169730716,237564
validation_model,20161024,pace_sec_per_m,0.9,0.8970340624000269,-0.002965937599973101,0.008351201110578845,237564
validation_model,20161024,pace_sec_per_m,0.95,0.9456988432590797,-0.004301156740920242,0.0060733365380692735,237564
calibration,20161025,pace_sec_per_m,0.5,0.4911746010364003,-0.008825398963599684,0.01440447241639194,237553
calibration,20161025,pace_sec_per_m,0.9,0.8959853169608466,-0.004014683039153422,0.008376751082085509,237553
calibration,20161025,pace_sec_per_m,0.95,0.9452290646718837,-0.0047709353281162326,0.005686277760593033,237553
evaluation,20161026,pace_sec_per_m,0.5,0.4896632329469526,-0.010336767053047424,0.014259409249444,238711
evaluation,20161026,pace_sec_per_m,0.9,0.8944707198243902,-0.00552928017560983,0.008414529387190589,238711
evaluation,20161026,pace_sec_per_m,0.95,0.9441249041728282,-0.005875095827171717,0.005893675243091165,238711
evaluation,20161027,pace_sec_per_m,0.5,0.48432519941314356,-0.01567480058685644,0.014048202403591262,237196
evaluation,20161027,pace_sec_per_m,0.9,0.8949392063947116,-0.005060793605288438,0.008050773631452299,237196
evaluation,20161027,pace_sec_per_m,0.95,0.945121334255215,-0.004878665744784905,0.00538545313958581,237196
