epoch_id,condition,pstar_s,mode,status,gap_s,gap_relative,same_order_swap_count,served_set_changed,budget_exists
1300,D4,1760.6986620677428,A1,OPTIMAL,46.004003046900834,0.026128266033254265,1,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}"
1300,D4,1760.6986620677428,A2,OPTIMAL,46.004003046900834,0.026128266033254265,1,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":true}"
1700,D0,72.78351935108732,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D0,72.78351935108732,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D1,383.5131596576524,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D1,383.5131596576524,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D2,72.78351935108732,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D2,72.78351935108732,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D3,232.34738869770183,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D3,232.34738869770183,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D4,1164.536309617397,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1700,D4,1164.536309617397,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D0,963.3808003928309,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D0,963.3808003928309,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D1,1042.8676651117112,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D1,1042.8676651117112,A2,OPTIMAL,136.71740731647446,0.13109756097560987,0,True,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D2,963.3808003928309,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D2,963.3808003928309,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D3,1042.8676651117112,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D3,1042.8676651117112,A2,OPTIMAL,136.71740731647446,0.13109756097560987,0,True,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D4,1767.7878713479008,A1,OPTIMAL,104.92266142892208,0.05935251798561146,1,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1730,D4,1767.7878713479008,A2,OPTIMAL,104.92266142892208,0.05935251798561146,1,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1800,D0,384.15917877842526,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1800,D0,384.15917877842526,A2,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
1800,D1,956.7041086885783,A1,OPTIMAL,11.081514772454511,0.011583011583011516,1,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}"
1800,D1,956.7041086885783,A2,OPTIMAL,11.081514772454511,0.011583011583011516,1,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":true,""0.05"":true}"
1800,D2,384.15917877842526,A1,INFEASIBLE,,,0,False,"{""0"":false,""0.005"":false,""0.01"":false,""0.02"":false,""0.05"":false}"
