epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0730,D2,PASSENGER,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,PASSENGER,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,26,1982,15,15,15,1249
0730,D2,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,CAPABILITY_HARD,ORIGINAL_REVERSE,26,1982,15,15,15,1249
0730,D2,CAPABILITY_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D2,CAPABILITY_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,26,1247,10,10,10,1249
0730,D2,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,2,132,1,1,1,114
0730,D2,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D2,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,26,0,0,0,0,1249
0730,D2,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D2,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,13,0,0,0,0,507
0730,D2,TOPK,ORIGINAL_REVERSE,26,0,0,0,0,457
0730,D2,TOPK,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D2,TOPK,FALLBACK_EVIDENCE,13,0,0,0,0,228
0730,D2,VALID_ETA,ORIGINAL_REVERSE,26,0,0,0,0,457
0730,D2,VALID_ETA,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D2,VALID_ETA,FALLBACK_EVIDENCE,13,0,0,0,0,228
0730,D2,PATIENCE,ORIGINAL_REVERSE,26,0,0,0,0,2
0730,D2,PATIENCE,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D2,PATIENCE,FALLBACK_EVIDENCE,13,0,0,0,0,2
0730,D2,SESSION,ORIGINAL_REVERSE,26,0,0,0,0,1
0730,D2,SESSION,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D2,SESSION,FALLBACK_EVIDENCE,13,0,0,0,0,1
0730,D3,SPATIAL,ORIGINAL_REVERSE,26,3638,26,26,26,1249
0730,D3,SPATIAL,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D3,SPATIAL,FALLBACK_EVIDENCE,13,1463,13,13,13,507
0730,D3,PASSENGER,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D3,PASSENGER,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D3,PASSENGER,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D3,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D3,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D3,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D3,CAPABILITY_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D3,CAPABILITY_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D3,CAPABILITY_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D3,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,26,1115,9,9,9,1249
0730,D3,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D3,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
