comparison,rare_count,rare_denominator,common_count,common_denominator,rare_rate,common_rate,percentage_point_difference,rate_ratio,difference_ci_low,difference_ci_high,ratio_ci_low,ratio_ci_high
processing_opportunity,7881,44001,209035,1154455,0.17910956569168882,0.18106812305373532,-0.0019585573620465035,0.9891833121754663,-0.004374258274670965,0.0003904980255436042,0.9759720898280775,1.0021150345548002
prefilter_pass_given_processed,7612,7881,204599,209035,0.9658672757264306,0.9787786734278948,-0.012911397701464211,0.9868086646634364,-0.01688579863487026,-0.008907613398411946,0.982748725816826,0.990901038924434
core_acceptance_given_raw,4308,44001,128898,1154455,0.09790686575305106,0.11165268460009269,-0.013745818847041624,0.8768876995992069,-0.016821134744892056,-0.011065179860504277,0.8562129176990716,0.897620466101029
core_acceptance_given_processed,4308,7881,128898,209035,0.546631138180434,0.6166335781089292,-0.0700024399284952,0.8864764384982468,-0.08041865427140837,-0.05984927169884409,0.8696510198715619,0.903044699039527
