date,dimension,stratum,count,mean_rank,median_rank,p10_rank,p90_rank
20161009,time_bin,0,721,0.4982441263695324,0.5228001497081702,0.07057020605104239,0.886692157517272
20161009,time_bin,1,699,0.5051956775304074,0.5155372803690104,0.10358085758504536,0.9063383202338685
20161009,time_bin,2,552,0.5065004381148323,0.5115416906907818,0.1061016194782468,0.8741369020524182
20161009,time_bin,3,421,0.5309871260536402,0.5562821796700351,0.12318048938386995,0.903928827926643
20161009,time_bin,4,389,0.4957343624950921,0.49535702363972933,0.09697549034483456,0.8809041159631394
20161009,time_bin,5,233,0.5224269212139698,0.5460453777602444,0.1210380440829869,0.8867528500187136
20161009,time_bin,6,232,0.503365556168294,0.5350195733317149,0.09734874922869946,0.8956817285224411
20161009,time_bin,7,176,0.49148402591753726,0.4694210946904177,0.1056302410503849,0.8980821169544503
20161009,time_bin,8,165,0.5167467163977345,0.5349386499964596,0.10814695677682357,0.899316197817093
20161009,time_bin,9,125,0.5091539667607401,0.5323895649359188,0.09790003945012594,0.9165144296422177
20161009,time_bin,10,155,0.4738734443875588,0.4663561233676246,0.12919713936009872,0.8764250093567606
20161009,time_bin,11,233,0.49565597111106396,0.4683083988306578,0.14068622988296464,0.8945194671198373
20161009,time_bin,12,335,0.5123219667752338,0.5124116165447758,0.10073235618406012,0.9285618911783449
20161009,time_bin,13,841,0.5002641434847712,0.49928180539960954,0.10856371195338815,0.8984766182138196
20161009,time_bin,14,1488,0.5053437205068977,0.4970260674293691,0.09446787849361216,0.9086122659545414
20161009,time_bin,15,1754,0.49243907188546976,0.48538322256951816,0.10312262919916244,0.8897793827572604
20161009,time_bin,16,2169,0.5032312857523616,0.5001820775043243,0.09935463640133928,0.9006716636826188
20161009,time_bin,17,2835,0.5025072925109003,0.5042687059347151,0.09812257862207792,0.9007768640184505
20161009,time_bin,18,3523,0.5052278415540505,0.5044507834390395,0.10486956169898544,0.9060348577266613
20161009,time_bin,19,3258,0.4965978325896763,0.49231228315075004,0.10732457338229195,0.8923143062341315
20161009,time_bin,20,2834,0.5062816167902728,0.5101457631576285,0.11183807240615423,0.8984573989216968
20161009,time_bin,21,2550,0.5048801293345305,0.5081378529016074,0.096028687322348,0.9070555032925682
20161009,time_bin,22,2548,0.5044810383810518,0.5034088954976279,0.10514065487209057,0.9021950454687991
20161009,time_bin,23,2770,0.5066790856232793,0.518718578986233,0.10576578763693746,0.8955825974367533
20161009,time_bin,24,2746,0.49204043040045403,0.48559564632456326,0.09337541346766606,0.901743897874751
20161009,time_bin,25,2334,0.49867009571498716,0.49748126119018,0.1044548296058022,0.8966619124207206
20161009,time_bin,26,2492,0.4983274734544589,0.49150810750665086,0.1045094528570995,0.895194165427528
20161009,time_bin,27,2806,0.49612046003704835,0.49765322327759737,0.09757331148403281,0.8992555053156516
20161009,time_bin,28,3014,0.5074688828598678,0.5105200335831841,0.10495149657593139,0.9028697437764898
20161009,time_bin,29,2999,0.4946865931002987,0.48609130175300175,0.10220313780232455,0.9061643350630696
20161009,time_bin,30,3155,0.491715585768644,0.48664764968288166,0.0950737919663359,0.8993667749016276
20161009,time_bin,31,3361,0.5048720825776528,0.5084767193679888,0.09367381826641985,0.9065891825731598
20161009,time_bin,32,3304,0.49528177644943333,0.49488159904510465,0.09339564430147988,0.8925560646982067
20161009,time_bin,33,3001,0.49272983650483004,0.4908354322823415,0.09765929252774153,0.8931154472531585
20161009,time_bin,34,3137,0.4877514973743302,0.4731739143628805,0.10103784177464875,0.8905056696911765
20161009,time_bin,35,3140,0.5126015673226418,0.5274937031529754,0.09963382190796993,0.9081398759849887
20161009,time_bin,36,3250,0.5071874581280098,0.511956422783965,0.10406943222164904,0.9071161957940096
20161009,time_bin,37,3494,0.5113666829769803,0.5144650461768782,0.10332898370406338,0.9111138085556196
20161009,time_bin,38,3685,0.4995685205096529,0.497147452432252,0.09839569487856442,0.901893606044973
20161009,time_bin,39,2944,0.5087211214467949,0.51887536794829,0.10456002994163405,0.905590790924448
20161009,time_bin,40,2768,0.4967050783544286,0.49198353210127554,0.09750452664906584,0.8968480360918075
20161009,time_bin,41,2922,0.48921926768272667,0.48281896438361704,0.09333798642511053,0.8942706278639274
20161009,time_bin,42,3074,0.49524493468524006,0.49970665290969973,0.09908556631161554,0.8910458329540052
20161009,time_bin,43,2910,0.4975687682366454,0.5004956554284385,0.09850494138115905,0.8961753608674982
20161009,time_bin,44,2626,0.4879877729339594,0.47365945437441204,0.08988053692632941,0.8954015314741197
20161009,time_bin,45,1973,0.4918949722158516,0.48908546515744644,0.10555134079851101,0.8931397242537351
20161009,time_bin,46,1549,0.5068403727329344,0.5035302805005109,0.10215256071778998,0.9123266470427579
20161009,time_bin,47,1169,0.49162324068000834,0.4842199496252238,0.10194620621288907,0.8885331633943293
20161009,origin_grid,OE307_N3786,310,0.49459745372115194,0.5166348031034099,0.09648792724992161,0.9133847196512205
20161009,origin_grid,OE307_N3787,928,0.5125331759513986,0.5172113818671036,0.09736088772898775,0.9038509392164599
20161009,origin_grid,OE307_N3788,3560,0.5036134570732962,0.4988215539303452,0.10586795334769723,0.9022041493440153
20161009,origin_grid,OE307_N3789,1818,0.49247754057514614,0.4926258610748642,0.08937173145591196,0.8975470114000749
20161009,origin_grid,OE307_N3790,3544,0.5064961641220228,0.5075106970533791,0.10802759485732205,0.9044689911894719
20161009,origin_grid,OE307_N3791,1557,0.49992508614492387,0.5086284506215923,0.09398739619053399,0.902555154310685
