dimension,stratum,count,weighted_rank,mean_rank
raw_sparsity_group,high,1154455,577547.4135191536,0.5002771121604165
raw_sparsity_group,low,43990,22018.858468352457,0.500542361181006
raw_sparsity_group,medium,801059,400185.95363985584,0.499571134760181
time_bin,0,14165,7155.900063571206,0.5051817905803887
time_bin,1,13310,6739.409002211964,0.5063417732691183
time_bin,10,3350,1657.9307652322473,0.4949047060394768
time_bin,11,4386,2185.559811417305,0.49830365057394094
time_bin,12,6815,3394.4224912604363,0.49808106988414325
time_bin,13,15286,7615.257623561036,0.4981851121000285
time_bin,14,28784,14396.462986459395,0.5001550509470329
time_bin,15,37986,18893.108038632054,0.49737029533596727
time_bin,16,48616,24293.953952689037,0.49971108179794793
time_bin,17,59765,30057.219011584657,0.5029234336415068
time_bin,18,56711,28327.627415728202,0.4995085153802296
time_bin,19,55063,27503.052919983802,0.4994833721370758
time_bin,2,10326,5144.570112216207,0.498215195837324
time_bin,20,53029,26373.391018785805,0.497339022398797
time_bin,21,52206,26189.11734149841,0.5016495678944645
time_bin,22,53321,26642.185307432286,0.4996565200846249
time_bin,23,56981,28504.39436353108,0.5002438420443845
time_bin,24,56905,28341.026527377235,0.49804106014194244
time_bin,25,52437,26211.550365045852,0.49986746696122686
time_bin,26,55034,27416.875717269377,0.4981806831643961
time_bin,27,62202,31061.29441116858,0.4993616670069866
time_bin,28,63618,31809.31041750905,0.5000048793974826
time_bin,29,64261,32172.67043311084,0.5006562368016502
time_bin,3,7828,3944.2670851314715,0.5038665157296208
time_bin,30,65520,32814.654748322544,0.5008341689304417
time_bin,31,68706,34363.62058005755,0.5001545800957347
time_bin,32,67960,33984.26660881101,0.500062781177325
time_bin,33,63107,31651.083325494677,0.5015463153928198
time_bin,34,63262,31616.456285476484,0.4997701034661643
time_bin,35,62700,31356.31126023103,0.5001006580579112
time_bin,36,61329,30667.042430020647,0.5000414555923078
time_bin,37,63079,31573.918331543937,0.5005456385095505
time_bin,38,64334,32205.940385611808,0.5006052846956789
time_bin,39,62886,31404.46776356854,0.49938726844716697
time_bin,4,6865,3371.59236458143,0.49112780256102406
time_bin,40,58582,29332.9732658794,0.5007164874172851
time_bin,41,58702,29453.45487361088,0.501745338721183
time_bin,42,61412,30660.63714902783,0.4992613357165998
time_bin,43,60137,29929.78034333478,0.4976932727494684
time_bin,44,55757,27986.71820179974,0.5019408899653809
time_bin,45,44758,22355.990379839262,0.49948591044817153
time_bin,46,32096,15964.926800486519,0.4974117273332041
time_bin,47,26290,13179.621675150622,0.5013169142316707
time_bin,5,5425,2711.2745166464024,0.4997741044509498
time_bin,6,4788,2382.873814428714,0.49767623526080074
time_bin,7,3579,1804.6519042112525,0.5042335580361141
time_bin,8,3097,1581.773600216452,0.5107438166665974
time_bin,9,2759,1372.9122092409584,0.49761225416489974
