time_bin,target,raw_count,raw_share,processed_count,processed_share,accepted_count,accepted_share,target_valid_traversals,target_valid_share,acceptance_rate
0,crawl,14165,0.00708421792284629,2482,0.006857016562374816,1444,0.0065636363636363635,28721,0.004972876948089612,0.10194140487116131
0,stop,14165,0.00708421792284629,2482,0.006857016562374816,1444,0.0065636363636363635,28721,0.004972876948089612,0.10194140487116131
0,speed_cv,14165,0.00708421792284629,2482,0.006857016562374816,1444,0.0065636363636363635,18240,0.004672781075851482,0.10194140487116131
0,acceleration_rms,14165,0.00708421792284629,2482,0.006857016562374816,1444,0.0065636363636363635,11767,0.004417241016862621,0.10194140487116131
1,crawl,13310,0.006656614228950521,2364,0.0065310181923666655,1372,0.006236363636363636,36259,0.006278038552306022,0.10308039068369647
1,stop,13310,0.006656614228950521,2364,0.0065310181923666655,1372,0.006236363636363636,36259,0.006278038552306022,0.10308039068369647
1,speed_cv,13310,0.006656614228950521,2364,0.0065310181923666655,1372,0.006236363636363636,22683,0.0058110029135712265,0.10308039068369647
1,acceleration_rms,13310,0.006656614228950521,2364,0.0065310181923666655,1372,0.006236363636363636,14776,0.005546796402240341,0.10308039068369647
2,crawl,10326,0.005164252331190313,1889,0.005218736618181316,1067,0.00485,28578,0.004948117315640296,0.10333139647491768
2,stop,10326,0.005164252331190313,1889,0.005218736618181316,1067,0.00485,28578,0.004948117315640296,0.10333139647491768
2,speed_cv,10326,0.005164252331190313,1889,0.005218736618181316,1067,0.00485,17867,0.004577224752315704,0.10333139647491768
2,acceleration_rms,10326,0.005164252331190313,1889,0.005218736618181316,1067,0.00485,11395,0.0042775950868657745,0.10333139647491768
3,crawl,7828,0.003914949375223492,1383,0.003820811404417554,810,0.003681818181818182,21526,0.00372710383289499,0.10347470618293306
3,stop,7828,0.003914949375223492,1383,0.003820811404417554,810,0.003681818181818182,21526,0.00372710383289499,0.10347470618293306
3,speed_cv,7828,0.003914949375223492,1383,0.003820811404417554,810,0.003681818181818182,13492,0.0034564233703611954,0.10347470618293306
3,acceleration_rms,7828,0.003914949375223492,1383,0.003820811404417554,810,0.003681818181818182,8649,0.003246767872426686,0.10347470618293306
4,crawl,6865,0.003433332583151414,1238,0.003420220187034658,700,0.003181818181818182,17908,0.003100667817499,0.10196649672250546
4,stop,6865,0.003433332583151414,1238,0.003420220187034658,700,0.003181818181818182,17908,0.003100667817499,0.10196649672250546
4,speed_cv,6865,0.003433332583151414,1238,0.003420220187034658,700,0.003181818181818182,11146,0.0028554176464605603,0.10196649672250546
4,acceleration_rms,6865,0.003433332583151414,1238,0.003420220187034658,700,0.003181818181818182,7014,0.0026330014865534484,0.10196649672250546
5,crawl,5425,0.0027131579408006443,957,0.0026439020347271145,543,0.002468181818181818,13925,0.002411034138858252,0.10009216589861751
5,stop,5425,0.0027131579408006443,957,0.0026439020347271145,543,0.002468181818181818,13925,0.002411034138858252,0.10009216589861751
5,speed_cv,5425,0.0027131579408006443,957,0.0026439020347271145,543,0.002468181818181818,8641,0.002213678798050036,0.10009216589861751
5,acceleration_rms,5425,0.0027131579408006443,957,0.0026439020347271145,543,0.002468181818181818,5425,0.0020365031457873477,0.10009216589861751
6,crawl,4788,0.0023945806858163103,898,0.0024809028497230394,514,0.0023363636363636364,12744,0.0022065507407978144,0.1073517126148705
6,stop,4788,0.0023945806858163103,898,0.0024809028497230394,514,0.0023363636363636364,12744,0.0022065507407978144,0.1073517126148705
6,speed_cv,4788,0.0023945806858163103,898,0.0024809028497230394,514,0.0023363636363636364,7757,0.001987212873101971,0.1073517126148705
6,acceleration_rms,4788,0.0023945806858163103,898,0.0024809028497230394,514,0.0023363636363636364,4919,0.0018465546496088411,0.1073517126148705
7,crawl,3579,0.0017899340590093098,646,0.0017847029408920752,346,0.0015727272727272727,8795,0.0015228039677743861,0.09667504889633977
7,stop,3579,0.0017899340590093098,646,0.0017847029408920752,346,0.0015727272727272727,8795,0.0015228039677743861,0.09667504889633977
7,speed_cv,3579,0.0017899340590093098,646,0.0017847029408920752,346,0.0015727272727272727,5439,0.001393380278045845,0.09667504889633977
7,acceleration_rms,3579,0.0017899340590093098,646,0.0017847029408920752,346,0.0015727272727272727,3416,0.001282340045347388,0.09667504889633977
8,crawl,3097,0.001548875602333566,515,0.0014227894962220104,291,0.0013227272727272727,7473,0.0012939072258303568,0.09396189861155957
8,stop,3097,0.001548875602333566,515,0.0014227894962220104,291,0.0013227272727272727,7473,0.0012939072258303568,0.09396189861155957
8,speed_cv,3097,0.001548875602333566,515,0.0014227894962220104,291,0.0013227272727272727,4539,0.0011628154223294889,0.09396189861155957
8,acceleration_rms,3097,0.001548875602333566,515,0.0014227894962220104,291,0.0013227272727272727,2787,0.001046218298121537,0.09396189861155957
9,crawl,2759,0.0013798346098928991,510,0.0014089760059674279,275,0.00125,5796,0.0010035442634701924,0.09967379485320768
9,stop,2759,0.0013798346098928991,510,0.0014089760059674279,275,0.00125,5796,0.0010035442634701924,0.09967379485320768
9,speed_cv,2759,0.0013798346098928991,510,0.0014089760059674279,275,0.00125,3564,0.0009130368286367699,0.09967379485320768
9,acceleration_rms,2759,0.0013798346098928991,510,0.0014089760059674279,275,0.00125,2238,0.0008401279336907068,0.09967379485320768
10,crawl,3350,0.0016754062860243608,591,0.0016327545480916664,330,0.0015,7405,0.0012821334145957167,0.09850746268656717
10,stop,3350,0.0016754062860243608,591,0.0016327545480916664,330,0.0015,7405,0.0012821334145957167,0.09850746268656717
10,speed_cv,3350,0.0016754062860243608,591,0.0016327545480916664,330,0.0015,4589,0.0011756245809803976,0.09850746268656717
10,acceleration_rms,3350,0.0016754062860243608,591,0.0016327545480916664,330,0.0015,2907,0.0010912653723140681,0.09850746268656717
11,crawl,4386,0.002193531931493387,806,0.0022267346290387193,470,0.0021363636363636363,11273,0.0019518555007072944,0.10715914272685818
11,stop,4386,0.002193531931493387,806,0.0022267346290387193,470,0.0021363636363636363,11273,0.0019518555007072944,0.10715914272685818
11,speed_cv,4386,0.002193531931493387,806,0.0022267346290387193,470,0.0021363636363636363,6949,0.0017802168693032867,0.10715914272685818
11,acceleration_rms,4386,0.002193531931493387,806,0.0022267346290387193,470,0.0021363636363636363,4420,0.0016592338994248991,0.10715914272685818
12,crawl,6815,0.0034083265191809015,1219,0.003367728924067244,721,0.003277272727272727,16230,0.0028101317108559735,0.1057960381511372
12,stop,6815,0.0034083265191809015,1219,0.003367728924067244,721,0.003277272727272727,16230,0.0028101317108559735,0.1057960381511372
12,speed_cv,6815,0.0034083265191809015,1219,0.003367728924067244,721,0.003277272727272727,9993,0.0025600384479706065,0.1057960381511372
12,acceleration_rms,6815,0.0034083265191809015,1219,0.003367728924067244,721,0.003277272727272727,6399,0.002402135231316726,0.1057960381511372
13,crawl,15286,0.007644853877065188,2762,0.007630572016631442,1766,0.008027272727272727,37654,0.0065195748268990035,0.1155305508308256
13,stop,15286,0.007644853877065188,2762,0.007630572016631442,1766,0.008027272727272727,37654,0.0065195748268990035,0.1155305508308256
